[DARBY | EN | NT | Romans | Chapter 10 | Verse 1] Brethren, the delight of my own heart and my supplication which [I address] to God for them is for salvation.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 2] For I bear them witness that they have zeal for God, but not according to knowledge.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 3] For they, being ignorant of God's righteousness, and seeking to establish their own [righteousness], have not submitted to the righteousness of God.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 4] For Christ is [the] end of law for righteousness to every one that believes.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 5] For Moses lays down in writing the righteousness which is of the law, The man who has practised those things shall live by them.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 6] But the righteousness of faith speaks thus: Do not say in thine heart, Who shall ascend to the heavens? that is, to bring Christ down;
[DARBY | EN | NT | Romans | Chapter 10 | Verse 7] or, Who shall descend into the abyss? that is, to bring up Christ from among [the] dead.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 8] But what says it? The word is near thee, in thy mouth and in thy heart: that is, the word of faith, which we preach:
[DARBY | EN | NT | Romans | Chapter 10 | Verse 9] that if thou shalt confess with thy mouth Jesus as Lord, and shalt believe in thine heart that God has raised him from among [the] dead, thou shalt be saved.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 10] For with [the] heart is believed to righteousness; and with [the] mouth confession made to salvation.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 11] For the scripture says, No one believing on him shall be ashamed.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 12] For there is no difference of Jew and Greek; for the same Lord of all [is] rich towards all that call upon him.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 13] For every one whosoever, who shall call on the name of the Lord, shall be saved.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 14] How then shall they call upon him in whom they have not believed? and how shall they believe on him of whom they have not heard? and how shall they hear without one who preaches?
[DARBY | EN | NT | Romans | Chapter 10 | Verse 15] and how shall they preach unless they have been sent? according as it is written, How beautiful the feet of them that announce glad tidings of peace, of them that announce glad tidings of good things!
[DARBY | EN | NT | Romans | Chapter 10 | Verse 16] But they have not all obeyed the glad tidings. For Esaias says, Lord, who has believed our report?
[DARBY | EN | NT | Romans | Chapter 10 | Verse 17] So faith then [is] by a report, but the report by God's word.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 18] But I say, Have they not heard? Yea, surely, Their voice has gone out into all the earth, and their words to the extremities of the habitable world.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 19] But I say, Has not Israel known? First, Moses says, I will provoke you to jealousy through [them that are] not a nation: through a nation without understanding I will anger you.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 20] But Esaias is very bold, and says, I have been found by those not seeking me; I have become manifest to those not inquiring after me.
[DARBY | EN | NT | Romans | Chapter 10 | Verse 21] But unto Israel he says, All the day long I have stretched out my hands unto a people disobeying and opposing.
