[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 1] And there is a word of Jehovah unto me, saying, 'Son of man,
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 2] Two women were daughters of one mother,
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 3] And they go a-whoring in Egypt, In their youth they have gone a-whoring, There they have bruised their breasts, And there they have dealt with the loves of their virginity.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 4] And their names [are] Aholah the elder, And Aholibah her sister, And they are Mine, and bear sons and daughters. As to their names — Samaria [is] Aholah, And Jerusalem [is] Aholibah.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 5] And go a-whoring doth Aholah under Me, And she doteth on her lovers, On the neighbouring Assyrians,
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 6] Clothed with blue — governors and prefects, Desirable young men all of them, Horsemen, riding on horses,
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 7] And she giveth her whoredoms on them, The choice of the sons of Asshur, All of them — even all on whom she doted, By all their idols she hath been defiled.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 8] And her whoredoms out of Egypt she hath not forsaken, For with her they lay in her youth, And they dealt with the loves of her virginity, And they pour out their whoredoms on her.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 9] Therefore I have given her into the hand of her lovers, Into the hand of sons of Asshur on whom she doted.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 10] They have uncovered her nakedness, Her sons and her daughters they have taken, And her by sword they have slain, And she is a name for women, And judgments they have done with her.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 11] And see doth her sister Aholibah, And she maketh her doting love more corrupt than she, And her whoredoms than the whoredoms of her sister.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 12] On sons of Asshur she hath doted, Governors and prefects, Neighbouring ones — clothed in perfection, Horsemen, riding on horses, Desirable young men all of them.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 13] And I see that she hath been defiled, One way [is] to them both.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 14] And she doth add unto her whoredoms, And she seeth graved men on the wall, Pictures of Chaldeans, graved with red lead,
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 15] Girded with a girdle on their loins, Dyed attire spread out on their heads, The appearance of rulers — all of them, The likeness of sons of Babylon, Chaldea is the land of their birth.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 16] And she doteth on them at the sight of her eyes, And sendeth messengers to them, to Chaldea.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 17] And come in unto her do sons of Babylon, To the bed of loves, And they defile her with their whoredoms, And she is defiled with them, And her soul is alienated from them.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 18] And she revealeth her whoredoms, And she revealeth her nakedness, And alienated is My soul from off her, As alienated was My soul from off her sister.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 19] And she multiplieth her whoredoms, To remember the days of her youth, When she went a-whoring in the land of Egypt.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 20] And she doteth on their paramours, Whose flesh [is] the flesh of asses, And the issue of horses — their issue.
[YLT | EN | OT | Ezekiel | Chapter 23 | Verse 21] Thou lookest after the wickedness of thy youth, In dealing out of Egypt thy loves, For the sake of the breasts of thy youth.
