[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 1] नंतर परमेश्वराचे वचन मजकडे आले आणि म्हणाले,
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 2] “मानवाच्या मुला, सोरेच्या राज्यकर्त्याला सांग, प्रभू परमेश्वर असे म्हणतो, तुझे हृदय गर्विष्ठ आहे. तू म्हणाला मी देव आहे. मी समुद्राच्या हृदयामध्ये देवाच्या आसनावर बसलो आहे. जरी तू मानव आहेस व देव नाही, तरी तू आपले हृदय देवाच्या हृदयासारखे करतो.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 3] तू स्वत:ला दानीएलापेक्षा बुद्धिमान समजतोस आणि कोणतेही रहस्य तुला आश्चर्यचकित करीत नाही.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 4] तू तुझ्या शहाणपणाने व अकलेने स्वत:ला संपन्न केले आहेस आणि तुझ्या खजिन्यात तू चांदी सोने संपादन केले आहेस.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 5] तुझ्या मोठ्या शहाणपणाने आणि व्यापाराने तू तुझी संपत्ती वाढवली, म्हणून तुझे हृदय संपत्तीमुळे गर्विष्ठ झाले आहे.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 6] म्हणून प्रभू परमेश्वर म्हणतो, कारण तू आपले हृदय देवाच्या हृदयासारखे केले आहे,
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 7] मी परक्यांना तुझ्याविरूद्ध आणीन, दुसऱ्या राष्ट्रांतून भयंकर माणसे आणीन. आणि ते तुझ्या शहाणपणाच्या सुंदरतेवर आपल्या तलवारी उपसतील आणि ते तुझे वैभव भ्रष्ट करतील.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 8] ते तुला खाचेत पाठवतील आणि तू समुद्राच्या हृदयामध्ये मरण पावलेल्या वधलेल्यांच्या मरणाने मरशील.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 9] तू आपल्या वधणाऱ्यासमोर, मी देव आहे. असे खचित म्हणशील काय? ज्या कोणी तुला भोसकले त्यांच्या हाती तू आहेस तो तू देव नव्हे व मानव आहेस.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 10] परक्यांच्या हातून बेसुंतीच्या मरणाने मरशील कारण मी हे बोललो आहे. असे प्रभू परमेश्वर म्हणतो.”
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 11] परमेश्वराचे वचन पुन्हा मजकडे आले व म्हणाले,
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 12] “मानवाच्या मुला, सोरेच्या राजाविषयी ओरडून विलाप कर आणि त्यास सांग, प्रभू परमेश्वर असे म्हणतो, तू परीपूर्णतेची प्रतीकृतीच आहेस, तू ज्ञानपूर्ण आणि सुंदरतेत परिपूर्ण आहेस.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 13] देवाची बाग एदेनमध्ये तू होतास. प्रत्येक मौल्यवान खड्यांनी तू आच्छादलेला होतास. अलाक, पुष्कराज, हिरे, लसणा, गोमेद, यास्फे, नीलमणी, पाचू, माणिक, सोने अशी सर्व प्रकारची जवाहीर तुझ्या अंगभर होती, तुला निर्माण केले त्याच दिवशी तुला घालण्यासाठी ते तयार केले होते.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 14] मी तुला देवाच्या पर्वतावर एक अभिषिक्त करुब म्हणून मानवजातीच्या रक्षणासाठी ठेवले. तू अग्नीप्रमाणे धगधगणाऱ्या पाषाणांतून इकडेतिकडे चालत होतास.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 15] मी तुला निर्मिले, त्या दिवसापासून तुझ्यामध्ये अन्याय सापडेपर्यंत तू आपल्या मार्गात परिपूर्ण होतास.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 16] तुझा व्यापार खूप मोठा असल्यामुळे तू बलात्काराने भरला आहे, तू पाप केले आहे म्हणून मी तुला भ्रष्ट समजून देवाच्या पर्वतावरुन फेकून दिले आणि हे पाखर घालणाऱ्या करुबा, मी तुला अग्नीप्रमाणे धगधगणाऱ्या पाषाणातून, काढून मी तुला नष्ट केले आहे.
