[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 1] परमेश्वर देवाचा शब्द माझ्याकडे आला आणि मला म्हणाला,
[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 2] “मानवाच्या मुला, तू या बंडखोर घराण्याच्या लोकात राहतो, जेथे त्यांच्याकडे बघण्याचे डोळे आहेत पण ते बघू शकत नाहीत, आणि त्यांच्याकडे कान आहेत पण ते ऐकू शकत नाही, कारण ते बंडखोर घराणे आहेत.
[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 3] तथापि मानवाच्या मुला तुझ्यासाठी सर्व काही हद्दपार करण्याची तयारी कर, आणि त्यांच्या डोळ्यांदेखत बाहेर निघून जा, मी तुला तुझ्या ठिकाणापासून दुसऱ्या ठिकाणावर हद्दपार करीन. कदाचित त्यांना कळून येईल ते फितुर घराण्यातले आहेत.
[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 4] आणि तू बाहेर हद्दपार जातांना आपल्या वस्तू दिवसा ढवळ्या त्यांच्या डोळ्यांदेखत घेऊन जाशील; बाहेर हद्दपार होतांना सायंकाळी त्यांच्या नजरे देखत निघून जा.
[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 5] त्यांच्या नजरे देखत भिंतीला (वेशीला) एक भगदड पाड, आणि त्यातून बाहेर निघ.
[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 6] त्यांच्या डोळ्यादेखत आपले सामान वस्तू आपल्या खांद्यावर घे, आणि त्यांना अंधारात घेऊन जा, आणि तोंड झाकून घे म्हणजे तुला जमीन दिसणार नाही, मी तुला इस्राएलाच्या घराण्यासाठी हे चिन्ह ठेवले आहे.”
[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 7] म्हणून मी हे केले, जसे तू मला बजावले, दिवसा ढवळ्या मी सर्व वस्तू बाहेर हद्दपार आणल्या, आणि सायंकाळी आपल्या हातांनी वेशीला भगदड पाडले. मी माझ्या सर्व वस्तू अंधारात बाहेर काढल्या आणि त्यांच्या डोळ्यांदेखत सर्व आपल्या खांद्यावर घेऊन आलो.
[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 8] मग परमेश्वर देवाचे शब्द मला प्रभात समयी आले,
[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 9] “मानवाच्या मुला, हे इस्राएलाच्या घराण्या तू काय करतोस, बंडखोर पणा तू केला नाहीस काय?”
[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 10] त्यांना सांग, परमेश्वर प्रभू देव हे सांगतो ही भविष्यात्मक कृती यरूशलेमेच्या राजपुत्रांना, आणि सर्व येथे जमलेल्या इस्राएलाच्या घराण्यासाठी आहे.
[IRV | MR | OT | Ezekiel | Chapter 12 | Verse 11] असे सांग, मी तुम्हासाठी खुण देतो की, जे मी केले ते सर्वांसाठी होईल; ते सर्वजण सरहद्दपार गुलामगिरीत जातील.
