[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 1] Behold, the LORD maketh the earth empty, and maketh it waste, and turneth it upside down, and scattereth abroad its inhabitants.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 2] And it shall be, as with the people, so with the priest; as with the servant, so with his master; as with the maid, so with her mistress; as with the buyer, so with the seller; as with the lender, so with the borrower; as with the taker of interest, so with the giver of interest to him.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 3] The land shall be utterly emptied, and utterly spoiled: for the LORD hath spoken this word.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 4] The earth mourneth and fadeth away, the world languisheth and fadeth away, the haughty people of the earth do languish.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 5] The earth also is defiled under its inhabitants; because they have transgressed the laws, changed the ordinance, broken the everlasting covenant.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 6] Therefore hath the curse devoured the earth, and they that dwell in it are desolate: therefore the inhabitants of the earth are burned, and few men left.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 7] The new wine mourneth, the vine languisheth, all the merry-hearted do sigh.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 8] The mirth of tabrets ceaseth, the noise of them that rejoice endeth, the joy of the harp ceaseth.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 9] They shall not drink wine with a song; strong drink shall be bitter to them that drink it.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 10] The city of confusion is broken down: every house is shut up, that no man may enter.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 11] There is a crying for wine in the streets; all joy is darkened, the mirth of the land is gone.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 12] In the city is left desolation, and the gate is smitten with destruction.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 13] When thus it shall be in the midst of the land among the people, there shall be as the shaking of an olive-tree, and as the gleaning grapes when the vintage is done.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 14] They shall lift up their voice, they shall sing for the majesty of the LORD, they shall cry aloud from the sea.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 15] Wherefore glorify ye the LORD in the fires, even the name of the LORD God of Israel in the isles of the sea.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 16] From the uttermost part of the earth have we heard songs, even glory to the righteous. But I said, My leanness, my leanness, woe to me! the treacherous dealers have dealt treacherously; yes, the treacherous dealers have dealt very treacherously.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 17] Fear, and the pit, and the snare, are upon thee, O inhabitant of the earth.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 18] And it shall come to pass, that he who fleeth from the noise of the fear shall fall into the pit; and he that cometh up out of the midst of the pit shall be taken in the snare: for the windows from on high are open, and the foundations of the earth do shake.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 19] The earth is utterly broken down, the earth is entirely dissolved, the earth is exceedingly moved.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 20] The earth shall reel to and fro like a drunkard, and shall be removed like a cottage; and the transgression of it shall be heavy upon it; and it shall fall, and not rise again.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 21] And it shall come to pass in that day, that the LORD shall punish the host of the high ones that are on high, and the kings of the earth upon the earth.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 22] And they shall be gathered, as prisoners are gathered in the pit, and shall be shut up in the prison, and after many days shall they be visited.
[WEBSTER | EN | OT | Isaiah | Chapter 24 | Verse 23] Then the moon shall be confounded, and the sun ashamed, when the LORD of hosts shall reign on mount Zion, and in Jerusalem, and before his ancients gloriously.
