[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 1] Woe to thee that layest waste, and thou wast not laid waste; and dealest treacherously, and they dealt not treacherously with thee! when thou shalt cease to lay waste, thou shalt be wasted; and when thou shalt make an end to deal treacherously, they shall deal treacherously with thee.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 2] O LORD, be gracious to us; we have waited for thee: be thou their arm every morning, our salvation also in the time of trouble.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 3] At the noise of the tumult the people fled; at the lifting up of thyself the nations were scattered.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 4] And your spoil shall be gathered like the gathering of the caterpillar: as the running to and fro of locusts shall he run upon them.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 5] The LORD is exalted; for he dwelleth on high: he hath filled Zion with judgment and righteousness.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 6] And wisdom and knowledge shall be the stability of thy times, and strength of salvation: the fear of the LORD is his treasure.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 7] Behold, their valiant ones shall cry without: the embassadors of peace shall weep bitterly.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 8] The highways lie waste, the way-faring man ceaseth: he hath broken the covenant, he hath despised the cities, he regardeth no man.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 9] The earth mourneth and languisheth: Lebanon is ashamed and hewn down: Sharon is like a wilderness; and Bashan and Carmel shake off their fruits .
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 10] Now will I rise, saith the LORD; now will I be exalted; now will I lift up myself.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 11] Ye shall conceive chaff, ye shall bring forth stubble: your breath, as fire, shall devour you.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 12] And the people shall be as the burnings of lime: as thorns cut up shall they be burned in the fire.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 13] Ye that are far off, hear what I have done; and ye that are near, acknowledge my might.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 14] The sinners in Zion are afraid; fearfulness hath surprised the hypocrites. Who among us shall dwell with the devouring fire? who among us shall dwell with everlasting burnings?
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 15] He that walketh righteously, and speaketh uprightly; he that despiseth the gain of oppressions, that shaketh his hands from holding of bribes, that stoppeth his ears from hearing of blood, and shutteth his eyes from seeing evil;
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 16] He shall dwell on high: his place of defense shall be the munitions of rocks: bread shall be given him; his waters shall be sure.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 17] Thy eyes shall see the king in his beauty: they shall behold the land that is very far off.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 18] Thy heart shall meditate terror. Where is the scribe? where is the receiver? where is he that counted the towers?
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 19] Thou shalt not see a fierce people, a people of deeper speech than thou canst perceive; of a stammering tongue, that thou canst not understand.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 20] Look upon Zion, the city of our solemnities: thy eyes shall see Jerusalem a quiet habitation, a tabernacle that shall not be taken down; not one of its stakes shall ever be removed, neither shall any of its cords be broken.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 21] But there the glorious LORD will be to us a place of broad rivers and streams; in which shall go no galley with oars, neither shall gallant ship pass through it.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 22] For the LORD is our judge, the LORD is our lawgiver, the LORD is our king; he will save us.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 23] Thy tacklings are loosed; they could not well strengthen their mast, they could not spread the sail: then is the prey of a great spoil divided; the lame take the prey.
[WEBSTER | EN | OT | Isaiah | Chapter 33 | Verse 24] And the inhabitants shall not say, I am sick: the people that dwell therein shall be forgiven their iniquity.
