[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 1] Who is this that cometh from Edom, with dyed garments from Bozrah? this that is glorious in his apparel, traveling in the greatness of his strength? I that speak in righteousness, mighty to save.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 2] Why art thou red in thy apparel, and thy garments like him that treadeth in the wine-vat.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 3] I have trodden the wine-press alone; and of the people there was none with me: for I will tread them in my anger, and trample them in my fury, and their blood shall be sprinkled upon my garments, and I will stain all my raiment.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 4] For the day of vengeance is in my heart, and the year of my redeemed is come.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 5] And I looked, and there was none to help; and I wondered that there was none to uphold: therefore my own arm brought salvation to me; and my fury, it upheld me.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 6] And I will tread down the people in my anger, and make them drunk in my fury, and I will bring down their strength to the earth.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 7] I will mention the loving-kindnesses of the LORD, and the praises of the LORD, according to all that the LORD hath bestowed on us, and the great goodness towards the house of Israel, which he hath bestowed on them according to his mercies, and according to the multitude of his loving-kindnesses.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 8] For he said, Surely they are my people, children that will not lie: so he was their Savior.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 9] In all their affliction he was afflicted, and the angel of his presence saved them: in his love and in his pity he redeemed them; and he bore them, and carried them all the days of old.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 10] But they rebelled, and vexed his holy Spirit: therefore he was turned to be their enemy, and he fought against them.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 11] Then he remembered the days of old, Moses, and his people, saying , Where is he that brought them out of the sea with the shepherd of his flock? where is he that put his holy Spirit within him?
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 12] That led them by the right hand of Moses with his glorious arm, dividing the water before them, to make himself an everlasting name?
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 13] That led them through the deep, as a horse in the wilderness, that they should not stumble?
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 14] As a beast goeth down in the valley, the Spirit of the LORD caused him to rest: so didst thou lead thy people, to make thyself a glorious name.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 15] Look down from heaven, and behold from the habitation of thy holiness and of thy glory: where is thy zeal and thy strength, the sounding of thy bowels and of thy mercies towards me? are they restrained?
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 16] Doubtless thou art our father, though Abraham be ignorant of us, and Israel acknowledge us not: thou, O LORD, art our father, our Redeemer; thy name is from everlasting.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 17] O LORD, why hast thou made us to err from thy ways, and hardened our heart from thy fear? Return for thy servants' sake, the tribes of thy inheritance.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 18] The people of thy holiness have possessed it but a little while: our adversaries have trodden down thy sanctuary.
[WEBSTER | EN | OT | Isaiah | Chapter 63 | Verse 19] We are thine : thou never didst bear rule over them; they were not called by thy name.
