[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 1] But now thus saith the LORD that created thee, O Jacob, and he that formed thee, O Israel, Fear not: for I have redeemed thee, I have called thee by thy name; thou art mine.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 2] When thou passest through the waters, I will be with thee; and through the rivers, they shall not overflow thee: when thou walkest through the fire, thou shalt not be burned; neither shall the flame kindle upon thee.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 3] For I am the LORD thy God, the Holy One of Israel, thy Savior: I gave Egypt for thy ransom, Cush and Seba for thee.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 4] Since thou hast been precious in my sight, thou hast been honorable, and I have loved thee: therefore will I give men for thee, and people for thy life.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 5] Fear not: for I am with thee: I will bring thy seed from the east, and gather thee from the west;
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 6] I will say to the north, Give up; and to the south, Keep not back: bring my sons from far, and my daughters from the ends of the earth;
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 7] Even every one that is called by my name: for I have created him for my glory, I have formed him; verily, I have made him.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 8] Bring forth the blind people that have eyes, and the deaf that have ears.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 9] Let all the nations be collected, and let the people be assembled: who among them can declare this, and show us former things? let them bring forth their witnesses, that they may be justified: or let them hear, and say, It is truth.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 10] Ye are my witnesses, saith the LORD, and my servant whom I have chosen: that ye may know and believe me, and understand that I am he: before me there was no god formed, neither shall there be after me.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 11] I, even I, am the LORD; and besides me there is no savior.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 12] I have declared, and have saved, and I have shown, when there was no strange god among you: therefore ye are my witnesses, saith the LORD, that I am God.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 13] Yes, before the day was , I am he; and there is none that can deliver out of my hand: I will work, and who shall hinder it?
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 14] Thus saith the LORD, your Redeemer, the Holy One of Israel; For your sake I have sent to Babylon, and have brought down all their nobles, and the Chaldeans, whose cry is in the ships.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 15] I am the LORD, your Holy One, the Creator of Israel, your King.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 16] Thus saith the LORD, who maketh a way in the sea, and a path in the mighty waters;
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 17] Who bringeth forth the chariot and horse, the army and the power; they shall lie down together, they shall not rise: they are extinct, they are quenched as tow.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 18] Remember ye not the former things, neither consider the things of old.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 19] Behold, I will do a new thing; now it shall spring forth; shall ye not know it? I will even make a way in the wilderness, and rivers in the desert.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 20] The beast of the field shall honor me, the dragons and the owls: because I give waters in the wilderness, and rivers in the desert, to give drink to my people, my chosen.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 21] This people have I formed for myself; they shall show forth my praise.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 22] But thou hast not called upon me, O Jacob; but thou hast been weary of me, O Israel.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 23] Thou hast not brought me the small cattle of thy burnt-offerings; neither hast thou honored me with thy sacrifices. I have not caused thee to serve with an offering, nor wearied thee with incense.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 24] Thou hast bought me no sweet cane with money, neither hast thou filled me with the fat of thy sacrifices: but thou hast made me to serve with thy sins, thou hast wearied me with thy iniquities.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 25] I, even I, am he that blotteth out thy transgressions for my own sake, and will not remember thy sins.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 26] Put me in remembrance: let us plead together: declare thou, that thou mayest be justified.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 27] Thy first father hath sinned, and thy teachers have transgressed against me.
[WEBSTER | EN | OT | Isaiah | Chapter 43 | Verse 28] Therefore I have profaned the princes of the sanctuary, and have given Jacob to the curse, and Israel to reproaches.
