[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 1] For Zion's sake I will not hold my peace, and for Jerusalem's sake I will not rest, until its righteousness shall go forth as brightness, and its salvation as a lamp that burneth.
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 2] And the Gentiles shall see thy righteousness, and all kings thy glory: and thou shalt be called by a new name, which the mouth of the LORD shall name.
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 3] Thou shalt also be a crown of glory in the hand of the LORD, and a royal diadem in the hand of thy God.
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 4] Thou shalt no more be termed Forsaken; neither shall thy land any more be termed Desolate: but thou shalt be called Hephzi-bah, and thy land Beulah: for the LORD delighteth in thee, and thy land shall be married.
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 5] For as a young man marrieth a virgin, so shall thy sons marry thee: and as the bridegroom rejoiceth over the bride, so will thy God rejoice over thee.
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 6] I have set watchmen upon thy walls, O Jerusalem, which shall never hold their peace day nor night: ye that make mention of the LORD, keep not silence,
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 7] And give him no rest, till he shall establish, and till he shall make Jerusalem a praise in the earth.
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 8] The LORD hath sworn by his right hand, and by the arm of his strength, Surely I will no more give thy corn to be food for thy enemies; and the sons of the stranger shall not drink thy wine, for which thou hast labored:
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 9] But they that have gathered it shall eat it, and praise the LORD; and they that have collected it shall drink it in the courts of my holiness.
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 10] Go through, go through the gates; prepare ye the way of the people; cast up, cast up the highway; gather out the stones; lift up a standard for the people.
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 11] Behold, the LORD hath proclaimed to the end of the world, Say ye to the daughter of Zion, Behold, thy salvation cometh; Behold, his reward is with him, and his work before him.
[WEBSTER | EN | OT | Isaiah | Chapter 62 | Verse 12] And they shall call them, The holy people, The redeemed of the LORD: and thou shalt be called, Sought out, A city not forsaken.
