[IRV | UR | NT | James | Chapter 5 | Verse 1] ऐ, दौलतमन्दों ज़रा सुनो; तुम अपनी मुसीबतों पर जो आने वाली हैं रोओ; और मातम करो;
[IRV | UR | NT | James | Chapter 5 | Verse 2] तुम्हारा माल बिगड़ गया और तुम्हारी पोशाकों को कीड़ा खा गया।
[IRV | UR | NT | James | Chapter 5 | Verse 3] तुम्हारे सोने चाँदी को ज़ँग लग गया और वो ज़ँग तुम पर गवाही देगा और आग की तरह तुम्हारा गोश्त खाएगा; तुम ने आख़िर ज़माने में ख़ज़ाना जमा किया है।
[IRV | UR | NT | James | Chapter 5 | Verse 4] देखो जिन मज़दूरों ने तुम्हारे खेत काटे उनकी वो मज़दूरी जो तुम ने धोखा करके रख छोड़ी चिल्लाती है और फ़सल काटने वालों की फ़रियाद रब्ब'उल अफ़्वाज के कानों तक पहुँच गई है।
[IRV | UR | NT | James | Chapter 5 | Verse 5] तुम ने ज़मीन पर ऐश'ओ — अशरत की और मज़े उड़ाए तुम ने अपने दिलों को ज़बह के दिन मोटा ताज़ा किया।
[IRV | UR | NT | James | Chapter 5 | Verse 6] तुम ने रास्तबाज़ शख़्स को क़ुसूरवार ठहराया और क़त्ल किया वो तुम्हारा मुक़ाबिला नहीं करता।
[IRV | UR | NT | James | Chapter 5 | Verse 7] पस, ऐ भाइयों; ख़ुदावन्द की आमद तक सब्र करो देखो किसान ज़मीन की क़ीमती पैदावार के इन्तज़ार में पहले और पिछले बारिश के बरसने तक सब्र करता रहता है।
[IRV | UR | NT | James | Chapter 5 | Verse 8] तुम भी सब्र करो और अपने दिलों को मज़बूत रखो, क्यूँकि ख़ुदावन्द की आमद क़रीब है।
[IRV | UR | NT | James | Chapter 5 | Verse 9] ऐ, भाइयों! एक दूसरे की शिकायत न करो ताकि तुम सज़ा न पाओ, देखो मुन्सिफ़ दरवाज़े पर खड़ा है।
[IRV | UR | NT | James | Chapter 5 | Verse 10] ऐ, भाइयों! जिन नबियों ने ख़ुदावन्द के नाम से कलाम किया उनको दु:ख उठाने और सब्र करने का नमूना समझो।
[IRV | UR | NT | James | Chapter 5 | Verse 11] देखो सब्र करने वालों को हम मुबारिक़ कहते हैं; तुम ने अय्यूब के सब्र का हाल तो सुना ही है और ख़ुदावन्द की तरफ़ से जो इसका अन्जाम हुआ उसे भी मा'लूम कर लिया जिससे ख़ुदावन्द का बहुत तरस और रहम ज़ाहिर होता है।
[IRV | UR | NT | James | Chapter 5 | Verse 12] मगर ऐ, मेरे भाइयों; सब से बढ़कर ये है क़सम न खाओ, न आसमान की न ज़मीन की न किसी और चीज़ की बल्कि हाँ की जगह हाँ करो और नहीं की जगह नहीं ताकि सज़ा के लायक़ न ठहरो।
[IRV | UR | NT | James | Chapter 5 | Verse 13] अगर तुम में कोई मुसीबत ज़दा हो तो दुआ करे, अगर ख़ुश हो तो हम्द के गीत गाए।
[IRV | UR | NT | James | Chapter 5 | Verse 14] अगर तुम में कोई बीमार हो तो कलीसिया के बुज़ुर्गों को बुलाए और वो ख़ुदावन्द के नाम से उसको तेल मलकर उसके लिए दु:आ करें।
[IRV | UR | NT | James | Chapter 5 | Verse 15] जो दु:आ ईमान के साथ होगी उसके ज़रिए बीमार बच जाएगा; और ख़ुदावन्द उसे उठा कर खड़ा करेगा, और अगर उसने गुनाह किए हों, तो उनकी भी मु'आफ़ी हो जाएगी।
[IRV | UR | NT | James | Chapter 5 | Verse 16] पस तुम आपस में एक दूसरे से अपने अपने गुनाहों का इक़रार करो और एक दूसरे के लिए दु:आ करो ताकि शिफ़ा पाओ रास्तबाज़ की दु:आ के असर से बहुत कुछ हो सकता है।
[IRV | UR | NT | James | Chapter 5 | Verse 17] एलियाह हमारी तरह इंसान था, उसने बड़े जोश से दु:आ की कि पानी न बरसे, चुनाँचे साढ़े तीन बरस तक ज़मीन पर पानी न बरसा।
[IRV | UR | NT | James | Chapter 5 | Verse 18] फिर उसी ने दु:आ की तो आसमान से पानी बरसा और ज़मीन में पैदावार हुई।
[IRV | UR | NT | James | Chapter 5 | Verse 19] ऐ, मेरे भाइयों! अगर तुम में कोई राहे हक़ से गुमराह हो जाए और कोई उसको वापस लाए।
[IRV | UR | NT | James | Chapter 5 | Verse 20] तो वो ये जान ले कि जो कोई किसी गुनाहगार को उसकी गुमराही से फेर लाएगा; वो एक जान को मौत से बचा लेगा और बहुत से गुनाहों पर पर्दा डालेगा।
