[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 1] And these are the priests and the Levites that went up with Zerubbabel the son of Shealtiel, and Jeshua: Seraiah, Jeremiah, Ezra,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 2] Amariah, Malluch, Hattush,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 3] Shechaniah, Rehum, Meremoth,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 4] Iddo, Ginnethoi, Abijah,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 5] Mijamin, Maadiah, Bilgah,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 6] Shemaiah, and Joiarib, Jedaiah,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 7] Sallu, Amok, Hilkijah, Jedaiah. These were the chief of the priests and of their brethren in the days of Jeshua.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 8] And the Levites: Jeshua, Binnui, Kadmiel, Sherebiah, Judah, Mattaniah, [who was] over the thanksgiving, he and his brethren;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 9] and Bakbukiah and Unni, their brethren, were over against them as watches.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 10] And Jeshua begot Joiakim, and Joiakim begot Eliashib, and Eliashib begot Joiada,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 11] and Joiada begot Jonathan, and Jonathan begot Jaddua.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 12] And in the days of Joiakim were priests, chief fathers: of Seraiah, Meraiah; of Jeremiah, Hananiah;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 13] of Ezra, Meshullam; of Amariah, Jehohanan;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 14] of Melicu, Jonathan; of Shebaniah, Joseph;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 15] of Harim, Adna; of Meraioth, Helkai;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 16] of Iddo, Zechariah; of Ginnethon, Meshullam;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 17] of Abijah, Zichri; of Miniamin [and] Moadiah, Piltai;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 18] of Bilgah, Shammua; of Shemaiah, Jehonathan;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 19] and of Joiarib, Mattenai; of Jedaiah, Uzzi;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 20] of Sallai, Kallai; of Amok, Eber;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 21] of Hilkijah, Hashabiah; of Jedaiah, Nethaneel.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 22] of the Levites, the chief fathers were recorded in the days of Eliashib, Joiada, and Johanan, and Jaddua, and the priests, until the reign of Darius the Persian.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 23] The children of Levi, the chief fathers, were recorded in the book of the chronicles, even until the days of Johanan the son of Eliashib.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 24] And the chief Levites: Hashabiah, Sherebiah, and Jeshua the son of Kadmiel, with their brethren over against them, to praise [and] to give thanks, according to the commandment of David the man of God, ward over against ward.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 25] Mattaniah and Bakbukiah, Obadiah, Meshullam, Talmon, Akkub, were doorkeepers keeping the ward at the storehouses of the gates.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 26] These were in the days of Joiakim the son of Jeshua the son of Jozadak, and in the days of Nehemiah the governor, and of Ezra the priest, the scribe.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 27] And at the dedication of the wall of Jerusalem they sought the Levites out of all their places, to bring them to Jerusalem, to hold the dedication with gladness, both with thanksgivings, and with singing, [with] cymbals, lutes and harps.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 28] And the children of the singers were assembled, both from the plain [of Jordan] round about Jerusalem, and from the villages of the Netophathites,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 29] also from Beth-Gilgal, and out of the fields of Geba and Azmaveth; for the singers had built themselves hamlets round about Jerusalem.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 30] And the priests and the Levites purified themselves; and they purified the people, and the gates and the wall.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 31] And I brought up the princes of Judah upon the wall, and appointed two great choirs and processions, on the right hand upon the wall towards the dung-gate.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 32] And after them went Hoshaiah, and half of the princes of Judah,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 33] and Azariah, Ezra, and Meshullam,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 34] Judah and Benjamin, and Shemaiah, and Jeremiah,
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 35] and [certain] of the priests' sons with trumpets: Zechariah the son of Jonathan, the son of Shemaiah, the son of Mattaniah, the son of Micaiah, the son of Zaccur, the son of Asaph;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 36] and his brethren, Shemaiah, and Azareel, Milalai, Gilalai, Maai, Nethaneel, and Judah, Hanani, with the musical instruments of David the man of God; and Ezra the scribe before them.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 37] And at the fountain-gate, and over against them, they went up by the stairs of the city of David, at the ascent of the wall, above the house of David, even to the water-gate eastward.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 38] And the second choir went in the opposite direction upon the wall, and I after them, and the half of the people, from beyond the tower of the furnaces even to the broad wall;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 39] and from above the gate of Ephraim, and above the gate of the old [wall], and above the fish-gate, and the tower of Hananeel, and the tower of Meah, even to the sheep-gate; and they stood still in the prison-gate.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 40] And both choirs stood in the house of God, and I, and the half of the rulers with me;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 41] and the priests, Eliakim, Maaseiah, Miniamin, Micaiah, Elioenai, Zechariah, Hananiah, with trumpets;
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 42] and Maaseiah, and Shemaiah, and Eleazar, and Uzzi, and Jehohanan, and Malchijah, and Elam, and Ezer. And the singers sang loud; and Jizrahiah was their overseer.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 43] And that day they offered great sacrifices, and rejoiced: for God had made them rejoice with great joy; and also the women and the children rejoiced. And the joy of Jerusalem was heard even afar off.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 44] And at that time men were appointed over the chambers of the treasures for the heave-offerings, for the first-fruits, and for the tithes, to gather into them, out of the fields of the cities, the portions assigned by the law for the priests and the Levites; for Judah rejoiced over the priests, and over the Levites that waited.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 45] And, with the singers and the doorkeepers, they kept the ward of their God, and the ward of the purification, according to the commandment of David [and] of Solomon his son.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 46] For of old, in the days of David and Asaph, there were the chiefs of the singers, and songs of praise and thanksgivings to God.
[DARBY | EN | OT | Nehemiah | Chapter 12 | Verse 47] And all Israel, in the days of Zerubbabel and in the days of Nehemiah, gave the portions of the singers and the doorkeepers, every day what was needed, and they consecrated things for the Levites; and the Levites consecrated for the children of Aaron.
