[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 1] And it came to pass when the wall was built, and I had set up the doors, that the doorkeepers and the singers and the Levites were appointed.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 2] And I gave my brother Hanani, and Hananiah the ruler of the citadel, charge over Jerusalem; for he was a faithful man and feared God above many.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 3] And I said to them that the gates of Jerusalem should not be opened until the sun was hot, and that they should shut the doors and bar them while they stood by; and that there should be appointed watches of the inhabitants of Jerusalem, every one in his watch, and every one over against his house.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 4] Now the city was large and great; but the people in it were few, and no houses were built.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 5] And my God put into my heart to gather together the nobles, and the rulers, and the people, for registration by genealogy. And I found a genealogical register of those that had come up at the first, and I found written in it:
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 6] These are the children of the province that went up out of the captivity of those that had been carried away, whom Nebuchadnezzar the king of Babylon had carried away, and who came again to Jerusalem and to Judah, every one to his city;
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 7] those who came with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. The number of the men of the people of Israel:
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 8] The children of Parosh, two thousand one hundred and seventy-two.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 9] The children of Shephatiah, three hundred and seventy-two.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 10] The children of Arah, six hundred and fifty-two.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 11] The children of Pahath-Moab, of the children of Jeshua and Joab, two thousand eight hundred and eighteen.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 12] The children of Elam, a thousand two hundred and fifty-four.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 13] The children of Zattu, eight hundred and forty-five.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 14] The children of Zaccai, seven hundred and sixty.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 15] The children of Binnui, six hundred and forty-eight.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 16] The children of Bebai, six hundred and twenty-eight.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 17] The children of Azgad, two thousand three hundred and twenty-two.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 18] The children of Adonikam, six hundred and sixty-seven.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 19] The children of Bigvai, two thousand and sixty-seven.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 20] The children of Adin, six hundred and fifty-five.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 21] The children of Ater of [the family of] Hezekiah, ninety-eight.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 22] The children of Hashum, three hundred and twenty-eight.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 23] The children of Bezai, three hundred and twenty-four.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 24] The children of Hariph, a hundred and twelve.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 25] The children of Gibeon, ninety-five.
