[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 1] And at the head of those that sealed were Nehemiah the Tirshatha, the son of Hachaliah, and Zedekiah.
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 2] — Seraiah, Azariah, Jeremiah,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 3] Pashhur, Amariah, Malchijah,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 4] Hattush, Shebaniah, Malluch,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 5] Harim, Meremoth, Obadiah,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 6] Daniel, Ginnethon, Baruch,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 7] Meshullam, Abijah, Mijamin,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 8] Maaziah, Bilgai, Shemaiah: these were the priests.
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 9] — And the Levites: Jeshua the son of Azaniah; Binnui, of the sons of Henadad; Kadmiel,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 10] and their brethren, Shebaniah, Hodijah, Kelita, Pelaiah, Hanan,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 11] Mica, Rehob, Hashabiah,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 12] Zaccur, Sherebiah, Shebaniah,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 13] Hodijah, Bani, Beninu.
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 14] — The chief of the people: Parosh, Pahath-Moab, Elam, Zatthu, Bani,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 15] Bunni, Azgad, Bebai,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 16] Adonijah, Bigvai, Adin,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 17] Ater, Hezekiah, Azzur,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 18] Hodijah, Hashum, Bezai,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 19] Hariph, Anathoth, Nebai,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 20] Magpiash, Meshullam, Hezir,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 21] Meshezabeel, Zadok, Jaddua,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 22] Pelatiah, Hanan, Anaiah,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 23] Hoshea, Hananiah, Hashub,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 24] Hallohesh, Pilha, Shobek,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 25] Rehum, Hashabnah, Maaseiah,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 26] and Ahijah, Hanan, Anan,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 27] Malluch, Harim, Baanah.
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 28] And the rest of the people, the priests, the Levites, the doorkeepers, the singers, the Nethinim, and all they that had separated themselves from the peoples of the lands to the law of God, their wives, their sons and their daughters, every one having knowledge [and] having understanding,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 29] joined with their brethren, their nobles, and entered into a curse and into an oath, to walk in the law of God, which had been given by Moses the servant of God, and to keep and do all the commandments of Jehovah our Lord, and his ordinances and his statutes;
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 30] and that we would not give our daughters to the peoples of the land, nor take their daughters for our sons:
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 31] and that if the peoples of the land brought wares or any grain on the sabbath day to sell, we would not take it of them on the sabbath, or on [any] holy day; and that we would leave [the land uncultivated] the seventh year, and the exaction of every debt.
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 32] And we made ordinances for us, to charge ourselves yearly with the third part of a shekel for the service of the house of our God,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 33] for the bread to be set in rows, and for the continual oblation, and for the continual burnt-offering, [for that] of the sabbaths [and] of the new moons, for the set feasts and for the holy [things], and for the sin-offerings to make an atonement for Israel, and [for] all the work of the house of our God.
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 34] And we cast the lots among the priests, the Levites, and the people, for the wood-offering, to bring [it] into the house of our God, according to our fathers' houses, at times appointed year by year, to burn upon the altar of Jehovah our God, as it is written in the law;
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 35] and to bring the first-fruits of our land, and the first-fruits of all fruit of all trees, year by year to the house of Jehovah,
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 36] and the firstborn of our sons and of our cattle, as it is written in the law; and to bring the firstlings of our herds and of our flocks to the house of our God, to the priests that minister in the house of our God;
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 37] and that we should bring the first-fruits of our coarse meal and our heave-offerings, and the fruit of all manner of trees, new wine and oil, to the priests, into the chambers of the house of our God, and the tithes of our ground to the Levites, that they, the Levites, should take the tithes in all the cities of our tillage.
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 38] And the priest the son of Aaron shall be with the Levites, when the Levites take tithes; and the Levites shall bring up the tithe of the tithes to the house of our God, into the chambers of the treasure-house.
[DARBY | EN | OT | Nehemiah | Chapter 10 | Verse 39] For the children of Israel and the children of Levi shall bring the heave-offering of the corn, of the new wine and the oil, into the chambers, where are the vessels of the sanctuary, and the priests that minister, and the doorkeepers and the singers. And we will not forsake the house of our God.
