[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 1] And it came to pass that when Sanballat heard that we built the wall, he was angry and very indignant, and mocked the Jews.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 2] And he spoke before his brethren and the army of Samaria, and said, What do these feeble Jews? shall they be permitted to go on? Will they offer sacrifices? Will they finish in a day? Will they revive the stones out of the heaps of rubbish, when they are burned?
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 3] And Tobijah the Ammonite was by him, and he said, Even that which they build, if a fox went up, it would break down their stone wall. —
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 4] Hear, our God, for we are despised, and turn their reproach upon their own head, and give them for a prey in a land of captivity!
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 5] And cover not their iniquity, and let not their sin be blotted out from before thee; for they have provoked the builders.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 6] But we built the wall; and all the wall was joined together to the half thereof; for the people had a mind to work.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 7] And it came to pass, when Sanballat, and Tobijah, and the Arabians, and the Ammonites, and the Ashdodites heard that the walls of Jerusalem were being repaired, that the breaches began to be stopped, then they were very wroth,
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 8] and conspired all of them together to come to fight against Jerusalem, and to hinder it.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 9] Then we prayed to our God, and set a watch against them day and night, because of them.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 10] And Judah said, The strength of the bearers of burdens faileth, and there is much rubbish; so that we are not able to build at the wall.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 11] And our adversaries said, They shall not know, neither see, till we come into the midst of them and kill them, and put an end to the work.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 12] And it came to pass that when the Jews that dwelt by them came and told us so ten times, from all the places whence they returned to us,
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 13] I set in the lower places behind the wall in exposed places, I even set the people, according to their families, with their swords, their spears and their bows.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 14] And I looked, and rose up, and said to the nobles, and to the rulers, and to the rest of the people, Be not afraid of them: remember the Lord who is great and terrible, and fight for your brethren, your sons and your daughters, your wives and your houses.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 15] And it came to pass that when our enemies heard that it was known to us, and that God had defeated their counsel, we returned all of us to the wall, every one to his work.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 16] And from that time forth the half of my servants wrought in the work, and the other half of them held the spears, and the shields, and the bows, and the corslets; and the captains were behind all the house of Judah.
[DARBY | EN | OT | Nehemiah | Chapter 4 | Verse 17] They that built on the wall, and they that bore burdens, with those that loaded, wrought in the work with one hand, and with the other they held a weapon.
