[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 1] And it came to pass in the month Nisan, in the twentieth year of Artaxerxes the king, [that] wine was before him, and I took up the wine and gave it to the king. Now, I had never been sad in his presence.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 2] And the king said to me, Why is thy face sad, seeing thou art not sick? this is nothing else but sadness of heart. And I was very sore afraid.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 3] And I said to the king, Let the king live for ever! Why should not my countenance be sad, when the city, the place of my fathers' sepulchres, lies waste, and its gates are consumed with fire?
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 4] And the king said to me, For what dost thou make request? So I prayed to the God of the heavens.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 5] And I said to the king, If it please the king, and if thy servant have found favour in thy sight, that thou wouldest send me to Judah, to the city of my fathers' sepulchres, that I may build it.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 6] And the king said to me — the queen also sitting by him, — For how long shall thy journey be, and when wilt thou return? And it pleased the king to send me; and I set him a time.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 7] And I said to the king, If it please the king, let letters be given me to the governors beyond the river, that they may set me forward till I come into Judah;
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 8] and a letter to Asaph the keeper of the king's forest, that he may give me timber to make beams for the gates of the palace which [appertains] to the house, and for the wall of the city, and for the house that I shall enter into. And the king granted me, according to the good hand of my God upon me.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 9] And I came to the governors beyond the river, and gave them the king's letters. Now the king had sent captains of a force and horsemen with me.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 10] And when Sanballat the Horonite, and Tobijah the servant, the Ammonite, heard [of it], it grieved them exceedingly that there had come a man to seek the welfare of the children of Israel.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 11] And I came to Jerusalem, and was there three days.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 12] And I arose in the night, I and some few men with me — but I told no man what my God had put in my heart to do for Jerusalem — and there was no beast with me, except the beast that I rode upon.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 13] And I went out by night by the valley-gate, even toward the jackal-fountain, and to the dung-gate; and I viewed the walls of Jerusalem, which were in ruins, and its gates were consumed with fire.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 14] And I went on to the fountain-gate, and to the king's pool; and there was no place for the beast under me to pass.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 15] And I went up in the night through the valley, and viewed the wall, and turned back, and entered by the valley-gate and returned.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 16] And the rulers did not know whither I went or what I did, for I had not as yet told it to the Jews, nor to the priests, nor to the nobles, nor to the rulers, nor to the rest that did the work.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 17] And I said to them, Ye see the distress that we are in, that Jerusalem lies waste, and its gates are burned with fire. Come, and let us build up the wall of Jerusalem, that we be no more a reproach.
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 18] And I told them of the hand of my God which had been good upon me; as also of the king's words which he had said unto me. And they said, Let us rise up and build. And they strengthened their hands for the good [work].
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 19] And Sanballat the Horonite, and Tobijah the servant, the Ammonite, and Geshem the Arabian, heard it; and they mocked us and despised us, and said, What is this thing which ye do? will ye rebel against the king?
[DARBY | EN | OT | Nehemiah | Chapter 2 | Verse 20] And I answered them, and said to them, The God of the heavens, he will prosper us, and we his servants will arise and build; but ye have no portion, nor right, nor memorial in Jerusalem.
