[BBE | EN | OT | Psalms | Chapter 88 | Verse 1] O Lord, God of my salvation, I have been crying to you for help by day and by night:
[BBE | EN | OT | Psalms | Chapter 88 | Verse 2] Let my prayer come before you; give ear to my cry:
[BBE | EN | OT | Psalms | Chapter 88 | Verse 3] For my soul is full of evils, and my life has come near to the underworld.
[BBE | EN | OT | Psalms | Chapter 88 | Verse 4] I am numbered among those who go down into the earth; I have become like a man for whom there is no help:
[BBE | EN | OT | Psalms | Chapter 88 | Verse 5] My soul is among the dead, like those in the underworld, to whom you give no more thought; for they are cut off from your care.
[BBE | EN | OT | Psalms | Chapter 88 | Verse 6] You have put me in the lowest deep, even in dark places.
[BBE | EN | OT | Psalms | Chapter 88 | Verse 7] The weight of your wrath is crushing me, all your waves have overcome me. (Selah.)
[BBE | EN | OT | Psalms | Chapter 88 | Verse 8] You have sent my friends far away from me; you have made me a disgusting thing in their eyes: I am shut up, and not able to come out.
[BBE | EN | OT | Psalms | Chapter 88 | Verse 9] My eyes are wasting away because of my trouble: Lord, my cry has gone up to you every day, my hands are stretched out to you.
[BBE | EN | OT | Psalms | Chapter 88 | Verse 10] Will you do works of wonder for the dead? will the shades come back to give you praise? (Selah.)
[BBE | EN | OT | Psalms | Chapter 88 | Verse 11] Will the story of your mercy be given in the house of the dead? will news of your faith come to the place of destruction?
[BBE | EN | OT | Psalms | Chapter 88 | Verse 12] May there be knowledge of your wonders in the dark? or of your righteousness where memory is dead?
[BBE | EN | OT | Psalms | Chapter 88 | Verse 13] But to you did I send up my cry, O Lord; in the morning my prayer came before you.
[BBE | EN | OT | Psalms | Chapter 88 | Verse 14] Lord, why have you sent away my soul? why is your face covered from me?
[BBE | EN | OT | Psalms | Chapter 88 | Verse 15] I have been troubled and in fear of death from the time when I was young; your wrath is hard on me, and I have no strength.
[BBE | EN | OT | Psalms | Chapter 88 | Verse 16] The heat of your wrath has gone over me; I am broken by your cruel punishments.
[BBE | EN | OT | Psalms | Chapter 88 | Verse 17] They are round me all the day like water; they have made a circle about me.
[BBE | EN | OT | Psalms | Chapter 88 | Verse 18] You have sent my friends and lovers far from me; I am gone from the memory of those who are dear to me.
