[BBE | EN | OT | Psalms | Chapter 39 | Verse 1] I said, I will give attention to my ways, so that my tongue may do no wrong; I will keep my mouth under control, while the sinner is before me.
[BBE | EN | OT | Psalms | Chapter 39 | Verse 2] I made no sound, I said no word, even of good; and I was moved with sorrow.
[BBE | EN | OT | Psalms | Chapter 39 | Verse 3] My heart was burning in my breast; while I was deep in thought the fire was lighted; then I said with my tongue,
[BBE | EN | OT | Psalms | Chapter 39 | Verse 4] Lord, give me knowledge of my end, and of the measure of my days, so that I may see how feeble I am.
[BBE | EN | OT | Psalms | Chapter 39 | Verse 5] You have made my days no longer than a hand's measure; and my years are nothing in your eyes; truly, every man is but a breath. (Selah.)
[BBE | EN | OT | Psalms | Chapter 39 | Verse 6] Truly, every man goes on his way like an image; he is troubled for no purpose: he makes a great store of wealth, and has no knowledge of who will get it.
[BBE | EN | OT | Psalms | Chapter 39 | Verse 7] And now, Lord, what am I waiting for? my hope is in you.
[BBE | EN | OT | Psalms | Chapter 39 | Verse 8] Make me free from all my sins; do not let me be shamed by the man of evil behaviour.
[BBE | EN | OT | Psalms | Chapter 39 | Verse 9] I was quiet, and kept my mouth shut; because you had done it.
[BBE | EN | OT | Psalms | Chapter 39 | Verse 10] No longer let your hand be hard on me; I am wasted by the blows of your hand.
[BBE | EN | OT | Psalms | Chapter 39 | Verse 11] By the weight of your wrath against man's sin, the glory of his form is wasted away; truly every man is but a breath. (Selah.)
[BBE | EN | OT | Psalms | Chapter 39 | Verse 12] Let my prayer come to your ears, O Lord, and give attention to my cry, make an answer to my weeping: for my time here is short before you, and in a little time I will be gone, like all my fathers.
[BBE | EN | OT | Psalms | Chapter 39 | Verse 13] Let your wrath be turned away from me, so that I may be comforted, before I go away from here, and become nothing.
