[BBE | EN | OT | Psalms | Chapter 148 | Verse 1] Give praise to the Lord. Let the Lord be praised from the heavens: give him praise in the skies.
[BBE | EN | OT | Psalms | Chapter 148 | Verse 2] Give praise to him, all you his angels: give praise to him, all his armies.
[BBE | EN | OT | Psalms | Chapter 148 | Verse 3] Give praise to him, you sun and moon: give praise to him, all you stars of light.
[BBE | EN | OT | Psalms | Chapter 148 | Verse 4] Give praise to him, you highest heavens, and you waters which are over the heavens.
[BBE | EN | OT | Psalms | Chapter 148 | Verse 5] Let them give praise to the name of the Lord: for he gave the order, and they were made.
[BBE | EN | OT | Psalms | Chapter 148 | Verse 6] He has put them in their places for ever; he has given them their limits which may not be broken.
[BBE | EN | OT | Psalms | Chapter 148 | Verse 7] Give praise to the Lord from the earth, you great sea-beasts, and deep places:
[BBE | EN | OT | Psalms | Chapter 148 | Verse 8] Fire and rain of ice, snow and mists; storm-wind, doing his word:
[BBE | EN | OT | Psalms | Chapter 148 | Verse 9] Mountains and all hills; fruit-trees and all trees of the mountains:
[BBE | EN | OT | Psalms | Chapter 148 | Verse 10] Beasts and all cattle; insects and winged birds:
[BBE | EN | OT | Psalms | Chapter 148 | Verse 11] Kings of the earth, and all peoples; rulers and all judges of the earth:
[BBE | EN | OT | Psalms | Chapter 148 | Verse 12] Young men and virgins; old men and children:
[BBE | EN | OT | Psalms | Chapter 148 | Verse 13] Let them give glory to the name of the Lord: for his name only is to be praised: his kingdom is over the earth and the heaven.
[BBE | EN | OT | Psalms | Chapter 148 | Verse 14] He has put on high the horn of his people, for the praise of all his saints; even the children of Israel, a people which is near to him. Let the Lord be praised.
