[BBE | EN | OT | Psalms | Chapter 83 | Verse 1] O God, do not keep quiet: let your lips be open and take no rest, O God.
[BBE | EN | OT | Psalms | Chapter 83 | Verse 2] For see! those who make war on you are out of control; your haters are lifting up their heads.
[BBE | EN | OT | Psalms | Chapter 83 | Verse 3] They have made wise designs against your people, talking together against those whom you keep in a secret place.
[BBE | EN | OT | Psalms | Chapter 83 | Verse 4] They have said, Come, let us put an end to them as a nation; so that the name of Israel may go out of man's memory.
[BBE | EN | OT | Psalms | Chapter 83 | Verse 5] For they have all come to an agreement; they are all joined together against you:
[BBE | EN | OT | Psalms | Chapter 83 | Verse 6] The tents of Edom and the Ishmaelites; Moab and the Hagarites;
[BBE | EN | OT | Psalms | Chapter 83 | Verse 7] Gebal and Ammon and Amalek; the Philistines and the people of Tyre;
[BBE | EN | OT | Psalms | Chapter 83 | Verse 8] Assur is joined with them; they have become the support of the children of Lot. (Selah.)
[BBE | EN | OT | Psalms | Chapter 83 | Verse 9] Do to them what you did to the Midianites; what you did to Sisera and Jabin, at the stream of Kishon:
[BBE | EN | OT | Psalms | Chapter 83 | Verse 10] Who came to destruction at En-dor; their bodies became dust and waste.
[BBE | EN | OT | Psalms | Chapter 83 | Verse 11] Make their chiefs like Oreb and Zeeb; and all their rulers like Zebah and Zalmunna:
[BBE | EN | OT | Psalms | Chapter 83 | Verse 12] Who have said, Let us take for our heritage the resting-place of God.
[BBE | EN | OT | Psalms | Chapter 83 | Verse 13] O my God, make them like the rolling dust; like dry stems before the wind.
[BBE | EN | OT | Psalms | Chapter 83 | Verse 14] As fire burning a wood, and as a flame causing fire on the mountains,
[BBE | EN | OT | Psalms | Chapter 83 | Verse 15] So go after them with your strong wind, and let them be full of fear because of your storm.
[BBE | EN | OT | Psalms | Chapter 83 | Verse 16] Let their faces be full of shame; so that they may give honour to your name, O Lord.
[BBE | EN | OT | Psalms | Chapter 83 | Verse 17] Let them be overcome and troubled for ever; let them be put to shame and come to destruction;
[BBE | EN | OT | Psalms | Chapter 83 | Verse 18] So that men may see that you only, whose name is Yahweh, are Most High over all the earth.
