[BBE | EN | OT | Psalms | Chapter 60 | Verse 1] God, you have put us away from you, you have sent us in all directions, you have been angry; O be turned to us again.
[BBE | EN | OT | Psalms | Chapter 60 | Verse 2] By the power of your hand the earth is shaking and broken; make it strong again, for it is moved.
[BBE | EN | OT | Psalms | Chapter 60 | Verse 3] You have made the people see hard times; you have given us the wine of shaking for our drink.
[BBE | EN | OT | Psalms | Chapter 60 | Verse 4] Give a safe place to those who have fear of you, where they may go in flight from before the bow. (Selah.)
[BBE | EN | OT | Psalms | Chapter 60 | Verse 5] So that your loved ones may be made safe, let your right hand be my salvation, and give me an answer.
[BBE | EN | OT | Psalms | Chapter 60 | Verse 6] God has said in his holy place, I will be glad: I will make a division of Shechem, and the valley of Succoth will be measured out.
[BBE | EN | OT | Psalms | Chapter 60 | Verse 7] Gilead is mine, and Manasseh is mine; and Ephraim is the strength of my head; Judah is my law-giver;
[BBE | EN | OT | Psalms | Chapter 60 | Verse 8] Moab is my washpot; over Edom will I put out my shoe; over Philistia will a glad cry be sounded.
[BBE | EN | OT | Psalms | Chapter 60 | Verse 9] Who will take me into the strong town? who will be my guide into Edom?
[BBE | EN | OT | Psalms | Chapter 60 | Verse 10] Have not you put us away, O God? and you have not gone out with our armies.
[BBE | EN | OT | Psalms | Chapter 60 | Verse 11] Give us help in our trouble; for there is no help in man.
[BBE | EN | OT | Psalms | Chapter 60 | Verse 12] Through God we will do great things, for through him our haters will be crushed under our feet.
