[BBE | EN | OT | Psalms | Chapter 29 | Verse 1] Give to the Lord, you sons of the gods, give to the Lord glory and strength.
[BBE | EN | OT | Psalms | Chapter 29 | Verse 2] Give to the Lord the full glory of his name; give him worship in holy robes.
[BBE | EN | OT | Psalms | Chapter 29 | Verse 3] The voice of the Lord is on the waters: the God of glory is thundering, the Lord is on the great waters.
[BBE | EN | OT | Psalms | Chapter 29 | Verse 4] The voice of the Lord is full of power; the voice of the Lord has a noble sound.
[BBE | EN | OT | Psalms | Chapter 29 | Verse 5] By the voice of the Lord are the cedar-trees broken, even the cedars of Lebanon are broken by the Lord.
[BBE | EN | OT | Psalms | Chapter 29 | Verse 6] He makes them go jumping about like a young ox; Lebanon and Sirion like a young mountain ox.
[BBE | EN | OT | Psalms | Chapter 29 | Verse 7] At the voice of the Lord flames of fire are seen.
[BBE | EN | OT | Psalms | Chapter 29 | Verse 8] At the voice of the Lord there is a shaking in the waste land, even a shaking in the waste land of Kadesh.
[BBE | EN | OT | Psalms | Chapter 29 | Verse 9] At the voice of the Lord the roes give birth, the leaves are taken from the trees: in his Temple everything says, Glory.
[BBE | EN | OT | Psalms | Chapter 29 | Verse 10] The Lord had his seat as king when the waters came on the earth; the Lord is seated as king for ever.
[BBE | EN | OT | Psalms | Chapter 29 | Verse 11] The Lord will give strength to his people; the Lord will give his people the blessing of peace.
