[BBE | EN | OT | Psalms | Chapter 85 | Verse 1] Lord, you were good to your land: changing the fate of Jacob.
[BBE | EN | OT | Psalms | Chapter 85 | Verse 2] The wrongdoing of your people had forgiveness; all their sin had been covered. (Selah.)
[BBE | EN | OT | Psalms | Chapter 85 | Verse 3] You were no longer angry: you were turned from the heat of your wrath.
[BBE | EN | OT | Psalms | Chapter 85 | Verse 4] Come back to us, O God of our salvation, and be angry with us no longer.
[BBE | EN | OT | Psalms | Chapter 85 | Verse 5] Will you go on being angry with us for ever? will you keep your wrath against us through all the long generations?
[BBE | EN | OT | Psalms | Chapter 85 | Verse 6] Will you not give us life again, so that your people may be glad in you?
[BBE | EN | OT | Psalms | Chapter 85 | Verse 7] Let us see your mercy, O Lord, and give us your salvation.
[BBE | EN | OT | Psalms | Chapter 85 | Verse 8] I will give ear to the voice of the Lord; for he will say words of peace to his people and to his saints; but let them not go back to their foolish ways.
[BBE | EN | OT | Psalms | Chapter 85 | Verse 9] Truly, his salvation is near to his worshippers; so that glory may be in our land.
[BBE | EN | OT | Psalms | Chapter 85 | Verse 10] Mercy and faith have come together; righteousness and peace have given one another a kiss.
[BBE | EN | OT | Psalms | Chapter 85 | Verse 11] Faith comes up from the earth like a plant; righteousness is looking down from heaven.
[BBE | EN | OT | Psalms | Chapter 85 | Verse 12] The Lord will give what is good; and our land will give its increase.
[BBE | EN | OT | Psalms | Chapter 85 | Verse 13] Righteousness will go before him, making a way for his footsteps.
