[BBE | EN | OT | Psalms | Chapter 16 | Verse 1] Keep me safe, O God: for in you I have put my faith.
[BBE | EN | OT | Psalms | Chapter 16 | Verse 2] O my soul, you have said to the Lord, You are my Lord: I have no good but you.
[BBE | EN | OT | Psalms | Chapter 16 | Verse 3] As for the saints who are in the earth, they are the noble in whom is all my delight.
[BBE | EN | OT | Psalms | Chapter 16 | Verse 4] Their sorrows will be increased who go after another god: I will not take drink offerings from their hands, or take their names on my lips.
[BBE | EN | OT | Psalms | Chapter 16 | Verse 5] The Lord is my heritage and the wine of my cup; you are the supporter of my right.
[BBE | EN | OT | Psalms | Chapter 16 | Verse 6] Fair are the places marked out for me; I have a noble heritage.
[BBE | EN | OT | Psalms | Chapter 16 | Verse 7] I will give praise to the Lord who has been my guide; knowledge comes to me from my thoughts in the night.
[BBE | EN | OT | Psalms | Chapter 16 | Verse 8] I have put the Lord before me at all times; because he is at my right hand, I will not be moved.
[BBE | EN | OT | Psalms | Chapter 16 | Verse 9] Because of this my heart is glad, and my glory is full of joy: while my flesh takes its rest in hope.
[BBE | EN | OT | Psalms | Chapter 16 | Verse 10] For you will not let my soul be prisoned in the underworld; you will not let your loved one see the place of death.
[BBE | EN | OT | Psalms | Chapter 16 | Verse 11] You will make clear to me the way of life; where you are joy is complete; in your right hand there are pleasures for ever and ever.
