[BBE | EN | OT | Psalms | Chapter 84 | Verse 1] How dear are your tents, O Lord of armies!
[BBE | EN | OT | Psalms | Chapter 84 | Verse 2] The passion of my soul's desire is for the house of the Lord; my heart and my flesh are crying out for the living God.
[BBE | EN | OT | Psalms | Chapter 84 | Verse 3] The little birds have places for themselves, where they may put their young, even your altars, O Lord of armies, my King and my God.
[BBE | EN | OT | Psalms | Chapter 84 | Verse 4] Happy are they whose resting-place is in your house: they will still be praising you. (Selah.)
[BBE | EN | OT | Psalms | Chapter 84 | Verse 5] Happy is the man whose strength is in you; in whose heart are the highways to Zion.
[BBE | EN | OT | Psalms | Chapter 84 | Verse 6] Going through the valley of balsam-trees, they make it a place of springs; it is clothed with blessings by the early rain.
[BBE | EN | OT | Psalms | Chapter 84 | Verse 7] They go from strength to strength; every one of them comes before God in Zion.
[BBE | EN | OT | Psalms | Chapter 84 | Verse 8] O Lord God of armies, let my prayer come to you: give ear, O God of Jacob. (Selah.)
[BBE | EN | OT | Psalms | Chapter 84 | Verse 9] O God, let your eyes be on him who is our safe cover, and let your heart be turned to your king.
[BBE | EN | OT | Psalms | Chapter 84 | Verse 10] For a day in your house is better than a thousand. It is better to be a door-keeper in the house of my God, than to be living in the tents of sin.
[BBE | EN | OT | Psalms | Chapter 84 | Verse 11] The Lord God is our sun and our strength: the Lord will give grace and glory: he will not keep back any good thing from those whose ways are upright.
[BBE | EN | OT | Psalms | Chapter 84 | Verse 12] O Lord of armies, happy is the man whose hope is in you.
