[BBE | EN | OT | Psalms | Chapter 90 | Verse 1] Lord, you have been our resting-place in all generations.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 2] Before the mountains were made, before you had given birth to the earth and the world, before time was, and for ever, you are God.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 3] You send man back to his dust; and say, Go back, you children of men.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 4] For to you a thousand years are no more than yesterday when it is past, and like a watch in the night.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 5] ...
[BBE | EN | OT | Psalms | Chapter 90 | Verse 6] In the morning it is green; in the evening it is cut down, and becomes dry.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 7] We are burned up by the heat of your passion, and troubled by your wrath.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 8] You have put our evil doings before you, our secret sins in the light of your face.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 9] For all our days have gone by in your wrath; our years come to an end like a breath.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 10] The measure of our life is seventy years; and if through strength it may be eighty years, its pride is only trouble and sorrow, for it comes to an end and we are quickly gone.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 11] Who has knowledge of the power of your wrath, or who takes note of the weight of your passion?
[BBE | EN | OT | Psalms | Chapter 90 | Verse 12] So give us knowledge of the number of our days, that we may get a heart of wisdom.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 13] Come back, O Lord; how long? let your purpose for your servants be changed.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 14] In the morning give us your mercy in full measure; so that we may have joy and delight all our days.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 15] Make us glad in reward for the days of our sorrow, and for the years in which we have seen evil.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 16] Make your work clear to your servants, and your glory to their children.
[BBE | EN | OT | Psalms | Chapter 90 | Verse 17] Let the pleasure of the Lord our God be on us: O Lord, give strength to the work of our hands.
