[BBE | EN | OT | Psalms | Chapter 116 | Verse 1] I have given my love to the Lord, because he has given ear to the voice of my cry and my prayer.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 2] He has let my request come before him, and I will make my prayer to him all my days.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 3] The nets of death were round me, and the pains of the underworld had me in their grip; I was full of trouble and sorrow.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 4] Then I made my prayer to the Lord, saying, O Lord, take my soul out of trouble.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 5] The Lord is full of grace and righteousness; truly, he is a God of mercy.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 6] The Lord keeps the simple; I was made low, and he was my saviour.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 7] Come back to your rest, O my soul; for the Lord has given you your reward.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 8] You have taken my soul from the power of death, keeping my eyes from weeping, and my feet from falling.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 9] I will go before the Lord in the land of the living.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 10] I still had faith, though I said, I am in great trouble;
[BBE | EN | OT | Psalms | Chapter 116 | Verse 11] Though I said in my fear, All men are false.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 12] What may I give to the Lord for all the good things which he has done for me?
[BBE | EN | OT | Psalms | Chapter 116 | Verse 13] I will take the cup of salvation, and give praise to the name of the Lord.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 14] I will make the offering of my oath to the Lord, even before all his people.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 15] Dear in the eyes of the Lord is the death of his saints.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 16] O Lord, truly I am your servant; I am your servant, the son of her who is your servant; by you have my cords been broken.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 17] I will give an offering of praise to you, and make my prayer in the name of the Lord.
[BBE | EN | OT | Psalms | Chapter 116 | Verse 18] I will make the offerings of my oath, even before all his people;
[BBE | EN | OT | Psalms | Chapter 116 | Verse 19] In the Lord's house, even in Jerusalem. Praise be to the Lord.
