[BBE | EN | OT | Psalms | Chapter 140 | Verse 1] O Lord, take me out of the power of the evil man; keep me safe from the violent man:
[BBE | EN | OT | Psalms | Chapter 140 | Verse 2] For their hearts are full of evil designs; and they are ever making ready causes of war.
[BBE | EN | OT | Psalms | Chapter 140 | Verse 3] Their tongues are sharp like the tongue of a snake; the poison of snakes is under their lips. (Selah.)
[BBE | EN | OT | Psalms | Chapter 140 | Verse 4] O Lord, take me out of the hands of sinners; keep me safe from the violent man: for they are designing my downfall.
[BBE | EN | OT | Psalms | Chapter 140 | Verse 5] The men of pride have put secret cords for my feet; stretching nets in my way, so that they may take me with their tricks. (Selah.)
[BBE | EN | OT | Psalms | Chapter 140 | Verse 6] I have said to the Lord, You are my God: give ear, O Lord, to the voice of my prayer.
[BBE | EN | OT | Psalms | Chapter 140 | Verse 7] O Lord God, the strength of my salvation, you have been a cover over my head in the day of the fight.
[BBE | EN | OT | Psalms | Chapter 140 | Verse 8] O Lord, give not the wrongdoer his desire; give him no help in his evil designs, or he may be uplifted in pride. (Selah.)
[BBE | EN | OT | Psalms | Chapter 140 | Verse 9] As for those who come round me, let their heads be covered by the evil of their lips.
[BBE | EN | OT | Psalms | Chapter 140 | Verse 10] Let burning flames come down on them: let them be put into the fire, and into deep waters, so that they may not get up again.
[BBE | EN | OT | Psalms | Chapter 140 | Verse 11] Let not a man of evil tongue be safe on earth: let destruction overtake the violent man with blow on blow.
[BBE | EN | OT | Psalms | Chapter 140 | Verse 12] I am certain that the Lord will take care of the cause of the poor, and of the rights of those who are troubled.
[BBE | EN | OT | Psalms | Chapter 140 | Verse 13] Truly, the upright will give praise to your name: the holy will have a place in your house.
