[BBE | EN | OT | Psalms | Chapter 91 | Verse 1] Happy is he whose resting-place is in the secret of the Lord, and under the shade of the wings of the Most High;
[BBE | EN | OT | Psalms | Chapter 91 | Verse 2] Who says of the Lord, He is my safe place and my tower of strength: he is my God, in whom is my hope.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 3] He will take you out of the bird-net, and keep you safe from wasting disease.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 4] You will be covered by his feathers; under his wings you will be safe: his good faith will be your salvation.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 5] You will have no fear of the evil things of the night, or of the arrow in flight by day,
[BBE | EN | OT | Psalms | Chapter 91 | Verse 6] Or of the disease which takes men in the dark, or of the destruction which makes waste when the sun is high.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 7] You will see a thousand falling by your side, and ten thousand at your right hand; but it will not come near you.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 8] Only with your eyes will you see the reward of the evil-doers.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 9] Because you have said, I am in the hands of the Lord, the Most High is my safe resting-place;
[BBE | EN | OT | Psalms | Chapter 91 | Verse 10] No evil will come on you, and no disease will come near your tent.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 11] For he will give you into the care of his angels to keep you wherever you go.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 12] In their hands they will keep you up, so that your foot may not be crushed against a stone.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 13] You will put your foot on the lion and the snake; the young lion and the great snake will be crushed under your feet.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 14] Because he has given me his love, I will take him out of danger: I will put him in a place of honour, because he has kept my name in his heart.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 15] When his cry comes up to me, I will give him an answer: I will be with him in trouble; I will make him free from danger and give him honour.
[BBE | EN | OT | Psalms | Chapter 91 | Verse 16] With long life will he be rewarded; and I will let him see my salvation.
