[BBE | EN | OT | Psalms | Chapter 44 | Verse 1] It has come to our ears, O God, our fathers have given us the story, of the works which you did in their days, in the old times,
[BBE | EN | OT | Psalms | Chapter 44 | Verse 2] Uprooting the nations with your hand, and planting our fathers in their place; cutting down the nations, but increasing the growth of your people.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 3] For they did not make the land theirs by their swords, and it was not their arms which kept them safe; but your right hand, and your arm, and the light of your face, because you had pleasure in them.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 4] You are my King and my God; ordering salvation for Jacob.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 5] Through you will we overcome our haters; by your name will they be crushed under our feet who are violent against us.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 6] I will not put faith in my bow, my sword will not be my salvation.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 7] But it is you who have been our saviour from those who were against us, and have put to shame those who had hate for us.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 8] Our pride is in God at all times, to his name we give praise for ever. (Selah.)
[BBE | EN | OT | Psalms | Chapter 44 | Verse 9] But now you have sent us away from you, and put us to shame; you do not go out with our armies.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 10] Because of this we are turned back by the attacker: those who have hate for us take our goods for themselves.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 11] You have made us like sheep which are taken for meat; we are put to flight among the nations.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 12] You let your people go for nothing; your wealth is not increased by their price.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 13] You have made us to be looked down on by our neighbours, we are laughed at and shamed by those who are round about us.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 14] Our name is a word of shame among the nations, a sign for the shaking of heads among the peoples.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 15] My downfall is ever before me, and I am covered with the shame of my face;
[BBE | EN | OT | Psalms | Chapter 44 | Verse 16] Because of the voice of him who says sharp and bitter words; because of the hater and him who is the instrument of punishment.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 17] All this has come on us, but still we have kept you in our memory; and we have not been false to your word.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 18] Our hearts have not gone back, and our steps have not been turned out of your way;
[BBE | EN | OT | Psalms | Chapter 44 | Verse 19] Though you have let us be crushed in the place of jackals, though we are covered with darkest shade.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 20] If the name of our God has gone out of our minds, or if our hands have been stretched out to a strange god,
[BBE | EN | OT | Psalms | Chapter 44 | Verse 21] Will not God make search for it? for he sees the secrets of the heart.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 22] Truly, because of you we are put to death every day; we are numbered like sheep for destruction.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 23] Why are you sleeping, O Lord? awake! and come to our help, do not give us up for ever.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 24] Why is your face covered, and why do you give no thought to our trouble and our cruel fate?
[BBE | EN | OT | Psalms | Chapter 44 | Verse 25] For our souls are crushed down to the dust: our bodies are stretched out on the earth.
[BBE | EN | OT | Psalms | Chapter 44 | Verse 26] Up! and come to our help, and give us salvation because of your mercy.
