[BBE | EN | OT | Psalms | Chapter 106 | Verse 1] Let the Lord be praised. O give praise to the Lord, for he is good: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 2] Who is able to give an account of the great acts of the Lord, or to make clear all his praise?
[BBE | EN | OT | Psalms | Chapter 106 | Verse 3] Happy are they whose decisions are upright, and he who does righteousness at all times.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 4] Keep me in mind, O Lord, when you are good to your people; O let your salvation come to me;
[BBE | EN | OT | Psalms | Chapter 106 | Verse 5] So that I may see the well-being of the people of your selection, and have a part in the joy of your nation, and take pride in your heritage.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 6] We are sinners like our fathers, we have done wrong, our acts are evil.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 7] Our fathers did not give thought to your wonders in Egypt; they did not keep in memory the great number of your mercies, but gave you cause for wrath at the sea, even at the Red Sea.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 8] But he was their saviour because of his name, so that men might see his great power.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 9] By his word the Red Sea was made dry: and he took them through the deep waters as through the waste land.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 10] And he took them safely out of the hands of their haters, and kept them from the attacks of those who were against them.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 11] And the waters went over their haters; all of them came to an end.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 12] Then they had faith in his words; they gave him songs of praise.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 13] But their memory of his works was short; not waiting to be guided by him,
[BBE | EN | OT | Psalms | Chapter 106 | Verse 14] They gave way to their evil desires in the waste land, and put God to the test in the dry places.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 15] And he gave them their request, but sent a wasting disease into their souls.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 16] They were full of envy against Moses among the tents, and against Aaron, the holy one of the Lord.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 17] The earth opening put an end to Dathan, covering up Abiram and his band.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 18] And a fire was lighted among their tents; the sinners were burned up by the flames.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 19] They made a young ox in Horeb, and gave worship to an image of gold.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 20] And their glory was changed into the image of an ox, whose food is grass.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 21] They had no memory of God their saviour, who had done great things in Egypt;
[BBE | EN | OT | Psalms | Chapter 106 | Verse 22] Works of wonder in the land of Ham, and things of fear by the Red Sea.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 23] And he was purposing to put an end to them if Moses, his special servant, had not gone up before him, between him and his people, turning back his wrath, to keep them from destruction.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 24] They were disgusted with the good land; they had no belief in his word;
[BBE | EN | OT | Psalms | Chapter 106 | Verse 25] Talking against him secretly in their tents, they did not give ear to the voice of the Lord.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 26] So he made an oath against them, to put an end to them in the waste land:
[BBE | EN | OT | Psalms | Chapter 106 | Verse 27] That their children might be mixed among the nations, and sent away into other lands.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 28] And they were joined to Baal-peor, and took part in the offerings to the dead.
