[BBE | EN | OT | Psalms | Chapter 109 | Verse 1] God of my praise, let my prayer be answered;
[BBE | EN | OT | Psalms | Chapter 109 | Verse 2] For the mouth of the sinner is open against me in deceit: his tongue has said false things against me.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 3] Words of hate are round about me; they have made war against me without cause.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 4] For my love they give me back hate; but I have given myself to prayer.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 5] They have put on me evil for good; hate in exchange for my love.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 6] Put an evil man over him; and let one be placed at his right hand to say evil of him.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 7] When he is judged, let the decision go against him; and may his prayer become sin.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 8] Let his life be short; let another take his position of authority.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 9] Let his children have no father, and his wife be made a widow.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 10] Let his children be wanderers, looking to others for their food; let them be sent away from the company of their friends.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 11] Let his creditor take all his goods; and let others have the profit of his work.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 12] Let no man have pity on him, or give help to his children when he is dead.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 13] Let his seed be cut off; in the coming generation let their name go out of memory.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 14] Let the Lord keep in mind the wrongdoing of his fathers; and may the sin of his mother have no forgiveness.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 15] Let them be ever before the eyes of the Lord, so that the memory of them may be cut off from the earth.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 16] Because he had no mercy, but was cruel to the low and the poor, designing the death of the broken-hearted.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 17] As he took pleasure in cursing, so let it come on him; and as he had no delight in blessing, let it be far from him.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 18] He put on cursing like a robe, and it has come into his body like water, and into his bones like oil.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 19] Let it be to him as a robe which he puts on, let it be like a band which is round him at all times.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 20] Let this be the reward given to my haters from the Lord, and to those who say evil of my soul.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 21] But, O Lord God, give me your help, because of your name; take me out of danger, because your mercy is good.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 22] For I am poor and in need, and my heart is wounded in me.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 23] I am gone like the shade when it is stretched out: I am forced out of my place like a locust.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 24] My knees are feeble for need of food; there is no fat on my bones.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 25] As for me, they make sport of me; shaking their heads when they see me.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 26] Give me help, O Lord my God; in your mercy be my saviour;
[BBE | EN | OT | Psalms | Chapter 109 | Verse 27] So that they may see that it is the work of your hand; that you, Lord, have done it.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 28] They may give curses but you give blessing; when they come up against me, put them to shame; but let your servant be glad.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 29] Let my haters be clothed with shame, covering themselves with shame as with a robe.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 30] I will give the Lord great praise with my mouth; yes, I will give praise to him among all the people.
[BBE | EN | OT | Psalms | Chapter 109 | Verse 31] For he is ever at the right hand of the poor, to take him out of the hands of those who go after his soul.
