[BBE | EN | OT | Psalms | Chapter 76 | Verse 1] In Judah is the knowledge of God; his name is great in Israel,
[BBE | EN | OT | Psalms | Chapter 76 | Verse 2] In Salem is his tent, his resting-place in Zion.
[BBE | EN | OT | Psalms | Chapter 76 | Verse 3] There were the arrows of the bow broken, there he put an end to body-cover, sword, and fight. (Selah.)
[BBE | EN | OT | Psalms | Chapter 76 | Verse 4] You are shining and full of glory, more than the eternal mountains.
[BBE | EN | OT | Psalms | Chapter 76 | Verse 5] Gone is the wealth of the strong, their last sleep has overcome them; the men of war have become feeble.
[BBE | EN | OT | Psalms | Chapter 76 | Verse 6] At the voice of your wrath, O God of Jacob, deep sleep has overcome carriage and horse.
[BBE | EN | OT | Psalms | Chapter 76 | Verse 7] You, you are to be feared; who may keep his place before you in the time of your wrath?
[BBE | EN | OT | Psalms | Chapter 76 | Verse 8] From heaven you gave your decision; the earth, in its fear, gave no sound,
[BBE | EN | OT | Psalms | Chapter 76 | Verse 9] When God took his place as judge, for the salvation of the poor on the earth. (Selah.)
[BBE | EN | OT | Psalms | Chapter 76 | Verse 10] The ... will give you praise; the rest of ...
[BBE | EN | OT | Psalms | Chapter 76 | Verse 11] Give to the Lord your God what is his by right; let all who are round him give offerings to him who is to be feared.
[BBE | EN | OT | Psalms | Chapter 76 | Verse 12] He puts an end to the wrath of rulers; he is feared by the kings of the earth.
