[BBE | EN | OT | Psalms | Chapter 136 | Verse 1] O give praise to the Lord, for he is good: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 2] O give praise to the God of gods: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 3] O give praise to the Lord of lords: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 4] To him who only does great wonders: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 5] To him who by wisdom made the heavens: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 6] To him by whom the earth was stretched out over the waters: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 7] To him who made great lights: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 8] The sun to have rule by day: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 9] The moon and the stars to have rule by night: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 10] To him who put to death the first-fruits of Egypt: for his mercy is unchanging for ever:
[BBE | EN | OT | Psalms | Chapter 136 | Verse 11] And took out Israel from among them: for his mercy is unchanging for ever:
[BBE | EN | OT | Psalms | Chapter 136 | Verse 12] With a strong hand and an outstretched arm: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 13] To him who made a way through the Red Sea: for his mercy is unchanging for ever:
[BBE | EN | OT | Psalms | Chapter 136 | Verse 14] And let Israel go through it: for his mercy is unchanging for ever:
[BBE | EN | OT | Psalms | Chapter 136 | Verse 15] By him Pharaoh and his army were overturned in the Red Sea: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 16] To him who took his people through the waste land: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 17] To him who overcame great kings: for his mercy is unchanging for ever:
[BBE | EN | OT | Psalms | Chapter 136 | Verse 18] And put noble kings to death: for his mercy is unchanging for ever:
[BBE | EN | OT | Psalms | Chapter 136 | Verse 19] Sihon, king of the Amorites: for his mercy is unchanging for ever:
[BBE | EN | OT | Psalms | Chapter 136 | Verse 20] And Og, king of Bashan: for his mercy is unchanging for ever:
[BBE | EN | OT | Psalms | Chapter 136 | Verse 21] And gave their land to his people for a heritage: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 22] Even a heritage for his servant Israel: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 23] Who kept us in mind when we were in trouble: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 24] And has taken us out of the hands of our haters: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 25] Who gives food to all flesh: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 136 | Verse 26] O give praise to the God of heaven: for his mercy is unchanging for ever.
