[BBE | EN | OT | Psalms | Chapter 34 | Verse 1] I will be blessing the Lord at all times; his praise will be ever in my mouth.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 2] My soul will say great things of the Lord: the poor in spirit will have knowledge of it and be glad.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 3] O give praise to the Lord with me; let us be witnesses together of his great name.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 4] I was searching for the Lord, and he gave ear to my voice, and made me free from all my fears.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 5] Let your eyes be turned to him and you will have light, and your faces will not be shamed.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 6] This poor man's cry came before the Lord, and he gave him salvation from all his troubles.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 7] The angel of the Lord is ever watching over those who have fear of him, to keep them safe.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 8] By experience you will see that the Lord is good; happy is the man who has faith in him.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 9] Keep yourselves in the fear of the Lord, all you his saints; for those who do so will have no need of anything.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 10] The young lions are in need and have no food; but those who are looking to the Lord will have every good thing.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 11] Come, children, give attention to me; I will be your teacher in the fear of the Lord.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 12] What man has a love of life, and a desire that his days may be increased so that he may see good?
[BBE | EN | OT | Psalms | Chapter 34 | Verse 13] Keep your tongue from evil, and your lips from words of deceit.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 14] Be turned from evil, and do good; make a search for peace, desiring it with all your heart.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 15] The eyes of the Lord are on the upright, and his ears are open to their cry.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 16] The face of the Lord is against those who do evil, to take away the memory of them from the earth.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 17] The cry of the upright comes before the Lord, and he takes them out of all their troubles.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 18] The Lord is near the broken-hearted; he is the saviour of those whose spirits are crushed down.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 19] Great are the troubles of the upright: but the Lord takes him safely out of them all.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 20] He keeps all his bones: not one of them is broken.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 21] Evil will put an end to the sinner, and those who are haters of righteousness will come to destruction.
[BBE | EN | OT | Psalms | Chapter 34 | Verse 22] The Lord will be the saviour of the souls of his servants, and no one who has faith in him will be put to shame.
