[BBE | EN | OT | Psalms | Chapter 104 | Verse 1] Give praise to the Lord, O my soul. O Lord my God, you are very great; you are robed with honour and power.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 2] You are clothed with light as with a robe; stretching out the heavens like a curtain:
[BBE | EN | OT | Psalms | Chapter 104 | Verse 3] The arch of your house is based on the waters; you make the clouds your carriage; you go on the wings of the wind:
[BBE | EN | OT | Psalms | Chapter 104 | Verse 4] He makes winds his angels, and flames of fire his servants.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 5] He has made the earth strong on its bases, so that it may not be moved for ever and ever;
[BBE | EN | OT | Psalms | Chapter 104 | Verse 6] Covering it with the sea as with a robe: the waters were high over the mountains;
[BBE | EN | OT | Psalms | Chapter 104 | Verse 7] At the voice of your word they went in flight; at the sound of your thunder they went away in fear;
[BBE | EN | OT | Psalms | Chapter 104 | Verse 8] The mountains came up and the valleys went down into the place which you had made ready for them.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 9] You made a limit over which they might not go, so that the earth would never again be covered by them.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 10] You sent the springs into the valleys; they are flowing between the hills.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 11] They give drink to every beast of the field; the mountain asses come to them for water.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 12] The birds of the air have their resting-places by them, and make their song among the branches.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 13] He sends down rain from his store-houses on the hills: the earth is full of the fruit of his works.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 14] He makes the grass come up for the cattle, and plants for the use of man; so that bread may come out of the earth;
[BBE | EN | OT | Psalms | Chapter 104 | Verse 15] And wine to make glad the heart of man, and oil to make his face shining, and bread giving strength to his heart.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 16] The trees of the Lord are full of growth, the cedars of Lebanon of his planting;
[BBE | EN | OT | Psalms | Chapter 104 | Verse 17] Where the birds have their resting-places; as for the stork, the tall trees are her house.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 18] The high hills are a safe place for the mountain goats, and the rocks for the small beasts.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 19] He made the moon for a sign of the divisions of the year; teaching the sun the time of its going down.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 20] When you make it dark, it is night, when all the beasts of the woods come quietly out of their secret places.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 21] The young lions go thundering after their food; searching for their meat from God.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 22] The sun comes up, and they come together, and go back to their secret places to take their rest.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 23] Man goes out to his work, and to his business, till the evening.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 24] O Lord, how great is the number of your works! in wisdom you have made them all; the earth is full of the things you have made.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 25] There is the great, wide sea, where there are living things, great and small, more than may be numbered.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 26] There go the ships; there is that great beast, which you have made as a plaything.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 27] All of them are waiting for you, to give them their food in its time.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 28] They take what you give them; they are full of the good things which come from your open hand.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 29] If your face is veiled, they are troubled; when you take away their breath, they come to an end, and go back to the dust.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 30] If you send out your spirit, they are given life; you make new the face of the earth.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 31] Let the glory of the Lord be for ever; let the Lord have joy in his works:
[BBE | EN | OT | Psalms | Chapter 104 | Verse 32] At whose look the earth is shaking; at whose touch the mountains send out smoke.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 33] I will make songs to the Lord all my life; I will make melody to my God while I have my being.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 34] Let my thoughts be sweet to him: I will be glad in the Lord.
[BBE | EN | OT | Psalms | Chapter 104 | Verse 35] Let sinners be cut off from the earth, and let all evil-doers come to an end. Give praise to the Lord, O my soul. Give praise to the Lord.
