[BBE | EN | OT | Psalms | Chapter 77 | Verse 1] I was crying to God with my voice; even to God with my voice, and he gave ear to me.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 2] In the day of my trouble, my heart was turned to the Lord: my hand was stretched out in the night without resting; my soul would not be comforted.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 3] I will keep God in memory, with sounds of grief; my thoughts are troubled, and my spirit is overcome. (Selah.)
[BBE | EN | OT | Psalms | Chapter 77 | Verse 4] You keep my eyes from sleep; I am so troubled that no words come.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 5] My thoughts go back to the days of the past, to the years which are gone.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 6] The memory of my song comes back to me in the night; my thoughts are moving in my heart; my spirit is searching with care.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 7] Will the Lord put me away for ever? will he be kind no longer?
[BBE | EN | OT | Psalms | Chapter 77 | Verse 8] Is his mercy quite gone for ever? has his word come to nothing?
[BBE | EN | OT | Psalms | Chapter 77 | Verse 9] Has God put away the memory of his pity? are his mercies shut up by his wrath? (Selah.)
[BBE | EN | OT | Psalms | Chapter 77 | Verse 10] And I said, It is a weight on my spirit; but I will keep in mind the years of the right hand of the Most High.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 11] I will keep in mind the works of Jah: I will keep the memory of your wonders in the past.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 12] I will give thought to all your work, while my mind goes over your acts of power.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 13] Your way, O God, is holy: what god is so great as our God?
[BBE | EN | OT | Psalms | Chapter 77 | Verse 14] You are the God who does works of power: you have made your strength clear to the nations.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 15] With your arm you have made your people free, the sons of Jacob and Joseph. (Selah.)
[BBE | EN | OT | Psalms | Chapter 77 | Verse 16] The waters saw you, O God; the waters saw you, they were in fear: even the deep was troubled.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 17] The clouds sent out water; the skies gave out a sound; truly, your arrows went far and wide.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 18] The voice of your thunder went rolling on; the world was flaming with the light of the storm; the earth was shaking.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 19] Your way was in the sea, and your road in the great waters; there was no knowledge of your footsteps.
[BBE | EN | OT | Psalms | Chapter 77 | Verse 20] You were guiding your people like a flock, by the hand of Moses and Aaron.
