[BBE | EN | NT | Colossians | Chapter 4 | Verse 1] Masters, give your servants what is right and equal, conscious that you have a Master in heaven.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 2] Give yourselves to prayer at all times, keeping watch with praise;
[BBE | EN | NT | Colossians | Chapter 4 | Verse 3] And making prayer for us, that God may give us an open door for the preaching of the word, the secret of Christ, for which I am now in chains;
[BBE | EN | NT | Colossians | Chapter 4 | Verse 4] So that I may make it clear, as it is right for me to do.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 5] Be wise in your behaviour to those who are outside, making good use of the time.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 6] Let your talk be with grace, mixed with salt, so that you may be able to give an answer to everyone.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 7] Tychicus will give you news of all my business: he is a dear brother and true servant and helper in the word;
[BBE | EN | NT | Colossians | Chapter 4 | Verse 8] And I have sent him to you for this very purpose, so that you may have news of how we are, and so that he may give your hearts comfort;
[BBE | EN | NT | Colossians | Chapter 4 | Verse 9] And with him I have sent Onesimus, the true and well-loved brother, who is one of you. They will give you word of everything which is taking place here.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 10] Aristarchus, my brother-prisoner, sends his love to you, and Mark, a relation of Barnabas (about whom you have been given orders: if he comes to you, be kind to him),
[BBE | EN | NT | Colossians | Chapter 4 | Verse 11] And Jesus, whose other name is Justus; these are of the circumcision: they are my only brother-workers for the kingdom of God, who have been a comfort to me.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 12] Epaphras, who is one of you, a servant of Christ Jesus, sends you his love, ever taking thought for you in his prayers, that you may be complete and fully certain of all the purpose of God.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 13] For I give witness of him that he has undergone much trouble for you and for those in Laodicea and in Hierapolis.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 14] Luke, our well-loved medical friend, and Demas, send you their love.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 15] Give my love to the brothers in Laodicea and to Nymphas and the church in their house.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 16] And when this letter has been made public among you, let the same be done in the church of Laodicea; and see that you have the letter from Laodicea.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 17] Say to Archippus, See that you do the work which the Lord has given you to do.
[BBE | EN | NT | Colossians | Chapter 4 | Verse 18] I, Paul, give you this word of love in my handwriting. Keep in memory that I am a prisoner. Grace be with you.
