[IRV | KN | NT | James | Chapter 4 | Verse 1] ನಿಮ್ಮಲ್ಲಿ ಜಗಳಗಳೂ, ಕಾದಾಟಗಳೂ ಎಲ್ಲಿಂದ ಬರುತ್ತವೆ? ನಿಮ್ಮ ಇಂದ್ರಿಯಗಳಲ್ಲಿ ಹೋರಾಡುವ ದುರಾಶೆಗಳಿಂದ ಬರುತ್ತವಲ್ಲವೇ?
[IRV | KN | NT | James | Chapter 4 | Verse 2] ನೀವು ಬಯಸಿದ್ದು ಹೊಂದದೆ ಇದ್ದೀರಿ. ನೀವು ಕೊಲೆ ಮಾಡಿದರೂ, ಹೊಟ್ಟೆಕಿಚ್ಚುಪಟ್ಟರೂ ಬಯಸಿದ್ದನ್ನು ಸಂಪಾದಿಸಲಾರದೆ ಇದ್ದೀರಿ; ನೀವು ಕಾದಾಡುತ್ತೀರಿ, ಜಗಳವಾಡುತ್ತೀರಿ. ಅದರೂ ನೀವು ದೇವರನ್ನು ಬೇಡಿಕೊಳ್ಳದ ಕಾರಣ ನಿಮಗೇನೂ ಪಡೆದುಕೊಳ್ಳಲಾಗುತ್ತಿಲ್ಲ.
[IRV | KN | NT | James | Chapter 4 | Verse 3] ನೀವು ಬೇಡಿದರೂ ಬೇಡಿದ್ದನ್ನು ನಿಮ್ಮ ಭೋಗಾಭಿಲಾಷೆಗಳಿಗಾಗಿ ದುರುಪಯೋಗಪಡಿಸಿಕೊಳ್ಳಬೇಕೆಂಬ ದುರುದ್ದೇಶದಿಂದ ಬೇಡಿಕೊಳ್ಳುವುದರಿಂದ ನಿಮಗೆ ದೊರೆಯುತ್ತಿಲ್ಲ.
[IRV | KN | NT | James | Chapter 4 | Verse 4] ವ್ಯಭಿಚಾರಿಗಳೇ, ಇಹಲೋಕದ ಗೆಳೆತನವು ದೇವರಿಗೆ ಹಗೆತನವೆಂದು ನಿಮಗೆ ತಿಳಿಯದೋ? ಆದ್ದರಿಂದ ಲೋಕಕ್ಕೆ ಸ್ನೇಹಿತನಾಗಿರಬೇಕೆಂದಿರುವವನು ತನ್ನನ್ನು ದೇವರಿಗೆ ವಿರೋಧಿಯನ್ನಾಗಿ ಮಾಡಿಕೊಳ್ಳುತ್ತಾನೆ.
[IRV | KN | NT | James | Chapter 4 | Verse 5] ದೇವರು ನಮ್ಮಲ್ಲಿ ಇರಿಸಿರುವ ಪವಿತ್ರಾತ್ಮನು ಅಭಿಮಾನತಾಪದಿಂದ ನಮಗೋಸ್ಕರ ಹಂಬಲಿಸುತ್ತಾನೆಂಬ ವೇದೋಕ್ತಿ ಬರಿ ಮಾತೆಂದು ನೀವು ಭಾವಿಸುತ್ತೀರೋ?
[IRV | KN | NT | James | Chapter 4 | Verse 6] ಆತನು ನಮಗೆ ಹೆಚ್ಚಾದ ಕೃಪೆಯನ್ನು ಕೊಡುತ್ತಾನೆ. ಆದುದರಿಂದ, “ದೇವರು ಅಹಂಕಾರಿಗಳಿಗೆ ಎದುರಾಳಿಯಾಗಿದ್ದಾನೆ, ದೀನರಿಗಾದರೋ ಕೃಪೆಯನ್ನು ಅನುಗ್ರಹಿಸುತ್ತಾನೆ” ಎಂದು ಧರ್ಮಶಾಸ್ತ್ರವು ಹೇಳುತ್ತದೆ.
[IRV | KN | NT | James | Chapter 4 | Verse 7] ಹೀಗಿರಲಾಗಿ ದೇವರಿಗೆ ಅಧೀನರಾಗಿದ್ದು ಸೈತಾನನನ್ನು ಎದುರಿಸಿರಿ, ಆಗ ಅವನು ನಿಮ್ಮನ್ನು ಬಿಟ್ಟು ಓಡಿ ಹೋಗುವನು.
[IRV | KN | NT | James | Chapter 4 | Verse 8] ದೇವರ ಸಮೀಪಕ್ಕೆ ಬನ್ನಿರಿ, ಆಗ ಆತನು ನಿಮ್ಮ ಸಮೀಪಕ್ಕೆ ಬರುವನು. ಪಾಪಿಗಳೇ, ನಿಮ್ಮ ಕೈಗಳನ್ನು ಶುಚಿಮಾಡಿಕೊಳ್ಳಿರಿ; ಎರಡು ಮನಸ್ಸುಳ್ಳವರೇ, ನಿಮ್ಮ ಹೃದಯಗಳನ್ನು ನಿರ್ಮಲಮಾಡಿಕೊಳ್ಳಿರಿ.
[IRV | KN | NT | James | Chapter 4 | Verse 9] ದುಃಖಿಸಿರಿ, ಗೋಳಾಡಿರಿ, ಕಣ್ಣೀರಿಡಿರಿ; ನಿಮ್ಮ ನಗುವನ್ನು ಬಿಟ್ಟು ಗೋಳಾಡಿರಿ. ಸಂತೋಷವನ್ನು ಬಿಟ್ಟು ಶೋಕಿಸಿರಿ.
[IRV | KN | NT | James | Chapter 4 | Verse 10] ಕರ್ತನ ಮುಂದೆ ನಿಮ್ಮನ್ನು ತಗ್ಗಿಸಿಕೊಳ್ಳಿರಿ; ಆಗ ಆತನು ನಿಮ್ಮನ್ನು ಮೇಲಕ್ಕೆತ್ತುವನು.
[IRV | KN | NT | James | Chapter 4 | Verse 11] ಸಹೋದರರೇ, ಒಬ್ಬರನ್ನೊಬ್ಬರು ನಿಂದಿಸಬೇಡಿರಿ. ಯಾವನಾದರೂ ತನ್ನ ಸಹೋದರನನ್ನು ನಿಂದಿಸಿದರೆ ಅಥವಾ ತನ್ನ ಸಹೋದರನ ವಿಷಯವಾಗಿ ತೀರ್ಪು ಮಾಡಿದರೆ ಅವನು ಧರ್ಮಶಾಸ್ತ್ರವನ್ನು ನಿಂದಿಸಿ ಧರ್ಮಶಾಸ್ತ್ರದ ವಿಷಯದಲ್ಲಿ ತೀರ್ಪು ಮಾಡಿದ ಹಾಗಾಗುವುದು. ಆದರೆ ನೀನು ಧರ್ಮಶಾಸ್ತ್ರದ ವಿಷಯದಲ್ಲಿ ತೀರ್ಪುಮಾಡಿದರೆ ನೀನು ನ್ಯಾಯಾಧಿಪತಿಯೆನಿಸಿಕೊಳ್ಳುವಿಯೇ ಹೊರತು ಅದನ್ನು ಅನುಸರಿಸುವವನಲ್ಲ.
