[IRV | ML | OT | Psalms | Chapter 90 | Verse 1] കർത്താവേ, നീ തലമുറതലമുറയായി ഞങ്ങളുടെ സങ്കേതമായിരിക്കുന്നു;
[IRV | ML | OT | Psalms | Chapter 90 | Verse 2] പർവ്വതങ്ങൾ ഉണ്ടായതിന്നും നീ ഭൂമിയെയും ഭൂമണ്ഡലത്തെയും നിർമ്മിച്ചതിന്നും മുമ്പെ നീ അനാദിയായും ശാശ്വതമായും ദൈവം ആകുന്നു.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 3] നീ മർത്യനെ പൊടിയിലേക്കു മടങ്ങിച്ചേരുമാറാക്കുന്നു; മനുഷ്യപുത്രന്മാരെ, തിരികെ വരുവിൻ എന്നും അരുളിച്ചെയ്യുന്നു.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 4] ആയിരം സംവത്സരം നിന്റെ ദൃഷ്ടിയിൽ ഇന്നലെ കഴിഞ്ഞുപോയ ദിവസംപോലെയും രാത്രിയിലെ ഒരു യാമംപോലെയും മാത്രം ഇരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 5] നീ അവരെ ഒഴുക്കിക്കളയുന്നു; അവർ ഉറക്കംപോലെ അത്രേ; അവർ രാവിലെ മുളെച്ചുവരുന്ന പുല്ലുപോലെ ആകുന്നു.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 6] അതു രാവിലെ തഴെച്ചുവളരുന്നു; വൈകുന്നേരം അതു അരിഞ്ഞു വാടിപ്പോകുന്നു.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 7] ഞങ്ങൾ നിന്റെ കോപത്താൽ ക്ഷയിച്ചും നിന്റെ ക്രോധത്താൽ ഭ്രമിച്ചുംപോകുന്നു.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 8] നീ ഞങ്ങളുടെ അകൃത്യങ്ങളെ നിന്റെ മുമ്പിലും ഞങ്ങളുടെ രഹസ്യപാപങ്ങളെ നിന്റെ മുഖപ്രകാശത്തിലും വെച്ചിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 9] ഞങ്ങളുടെ നാളുകളൊക്കയും നിന്റെ ക്രോധത്തിൽ കഴിഞ്ഞുപോയി; ഞങ്ങളുടെ സംവത്സരങ്ങളെ ഞങ്ങൾ ഒരു നെടുവീർപ്പുപോലെ കഴിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 10] ഞങ്ങളുടെ ആയുഷ്കാലം എഴുപതു സംവത്സരം; ഏറെ ആയാൽ എണ്പതു സംവത്സരം; അതിന്റെ പ്രതാപം പ്രയാസവും ദുഃഖവുമത്രേ; അതു വേഗം തീരുകയും ഞങ്ങൾ പറന്നു പോകയും ചെയ്യുന്നു.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 11] നിന്റെ കോപത്തിന്റെ ശക്തിയെയും നിന്നെ ഭയപ്പെടുവാന്തക്കവണ്ണം നിന്റെ ക്രോധത്തെയും ഗ്രഹിക്കുന്നവൻ ആർ?
[IRV | ML | OT | Psalms | Chapter 90 | Verse 12] ഞങ്ങൾ ജ്ഞാനമുള്ളോരു ഹൃദയം പ്രാപിക്കത്തക്കവണ്ണം ഞങ്ങളുടെ നാളുകളെ എണ്ണുവാൻ ഞങ്ങളെ ഉപദേശിക്കേണമേ.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 13] യഹോവേ, മടങ്ങിവരേണമേ; എത്രത്തോളം താമസം? അടിയങ്ങളോടു സഹതാപം തോന്നേണമേ.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 14] കാലത്തു തന്നേ ഞങ്ങളെ നിന്റെ ദയകൊണ്ടു തൃപ്തരാക്കേണമേ; എന്നാൽ ഞങ്ങളുടെ ആയുഷ്കാലമൊക്കെയും ഞങ്ങൾ ഘോഷിച്ചാനന്ദിക്കും.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 15] നീ ഞങ്ങളെ ക്ലേശിപ്പിച്ച ദിവസങ്ങൾക്കും ഞങ്ങൾ അനർത്ഥം അനുഭവിച്ച സംവത്സരങ്ങൾക്കും തക്കവണ്ണം ഞങ്ങളെ സന്തോഷിപ്പിക്കേണമേ.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 16] നിന്റെ ദാസന്മാർക്കു നിന്റെ പ്രവൃത്തിയും അവരുടെ മക്കൾക്കു നിന്റെ മഹത്വവും വെളിപ്പെടുമാറാകട്ടെ.
[IRV | ML | OT | Psalms | Chapter 90 | Verse 17] ഞങ്ങളുടെ ദൈവമായ യഹോവയുടെ പ്രസാദം ഞങ്ങളുടെമേൽ ഇരിക്കുമാറാകട്ടെ; ഞങ്ങളുടെ കൈകളുടെ പ്രവൃത്തിയെ സാദ്ധ്യമാക്കി തരേണമേ; അതേ, ഞങ്ങളുടെ കൈകളുടെ പ്രവൃത്തിയെ സാദ്ധ്യമാക്കി തരേണമേ.
