[IRV | ML | OT | Psalms | Chapter 118 | Verse 1] യഹോവെക്കു സ്തോത്രം ചെയ്‌വിൻ; അവൻ നല്ലവനല്ലോ; അവന്റെ ദയ എന്നേക്കുമുള്ളതു.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 2] അവന്റെ ദയ എന്നേക്കുമുള്ളതു എന്നു യിസ്രായേൽ പറയട്ടെ.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 3] അവന്റെ ദയ എന്നേക്കുമുള്ളതു എന്നു അഹരോൻഗൃഹം പറയട്ടെ.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 4] അവന്റെ ദയ എന്നേക്കുമുള്ളതു എന്നു യഹോവാഭക്തർ പറയട്ടെ.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 5] ഞെരുക്കത്തിൽ ഞാൻ യഹോവയെ വിളിച്ചപേക്ഷിച്ചു, യഹോവ ഉത്തരമരുളി എന്നെ വിശാലസ്ഥലത്താക്കി.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 6] യഹോവ എന്റെ പക്ഷത്തുണ്ടു; ഞാൻ പേടിക്കയില്ല; മനുഷ്യൻ എന്നോടു എന്തു ചെയ്യും?
[IRV | ML | OT | Psalms | Chapter 118 | Verse 7] എന്നെ സഹായിക്കുന്നവരോടുകൂടെ യഹോവ എന്റെ പക്ഷത്തുണ്ടു; ഞാൻ എന്നെ പകെക്കുന്നവരെ കണ്ടു രസിക്കും.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 8] മനുഷ്യനിൽ ആശ്രയിക്കുന്നതിനെക്കാൾ യഹോവയിൽ ആശ്രയിക്കുന്നതു നല്ലതു.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 9] പ്രഭുക്കന്മാരിൽ ആശ്രയിക്കുന്നതിനേക്കാൾ യഹോവയിൽ ആശ്രയിക്കുന്നതു നല്ലതു.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 10] സകലജാതികളും എന്നെ ചുറ്റിവളഞ്ഞു; യഹോവയുടെ നാമത്തിൽ ഞാൻ അവരെ ഛേദിച്ചുകളയും.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 11] അവർ എന്നെ വളഞ്ഞു; അതേ, അവർ എന്നെ വളഞ്ഞു; യഹോവയുടെ നാമത്തിൽ ഞാൻ അവരെ ഛേദിച്ചുകളയും.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 12] അവർ തേനീച്ചപോലെ എന്നെ ചുറ്റിവളഞ്ഞു; മുൾതീപോലെ അവർ കെട്ടുപോയി; യഹോവയുടെ നാമത്തിൽ ഞാൻ അവരെ ഛേദിച്ചുകളയും.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 13] ഞാൻ വീഴുവാൻ തക്കവണ്ണം നീ എന്നെ തള്ളി; എങ്കിലും യഹോവ എന്നെ സഹായിച്ചു.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 14] യഹോവ എന്റെ ബലവും എന്റെ കീർത്തനവും ആകുന്നു; അവൻ എനിക്കു രക്ഷയായും തീർന്നു.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 15] ഉല്ലാസത്തിന്റെയും ജയത്തിന്റെയും ഘോഷം നീതിമാന്മാരുടെ കൂടാരങ്ങളിൽ ഉണ്ടു; യഹോവയുടെ വലങ്കൈ വീര്യം പ്രവർത്തിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 16] യഹോവയുടെ വലങ്കൈ ഉയർന്നിരിക്കുന്നു; യഹോവയുടെ വലങ്കൈ വീര്യം പ്രവർത്തിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 17] ഞാൻ മരിക്കയില്ല; ഞാൻ ജീവനോടെയിരുന്നു യഹോവയുടെ പ്രവൃത്തികളെ വർണ്ണിക്കും.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 18] യഹോവ എന്നെ കഠിനമായി ശിക്ഷിച്ചു; എന്നാലും അവൻ എന്നെ മരണത്തിന്നു ഏല്പിച്ചിട്ടില്ല.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 19] നീതിയുടെ വാതിലുകൾ എനിക്കു തുറന്നു തരുവിൻ; ഞാൻ അവയിൽകൂടി കടന്നു യഹോവെക്കു സ്തോത്രം ചെയ്യും.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 20] യഹോവയുടെ വാതിൽ ഇതു തന്നേ; നീതിമാന്മാർ അതിൽകൂടി കടക്കും.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 21] നീ എനിക്കു ഉത്തരമരുളി എന്റെ രക്ഷയായി തീർന്നിരിക്കയാൽ ഞാൻ നിനക്കു സ്തോത്രം ചെയ്യും.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 22] വീടുപണിയുന്നവർ തള്ളിക്കളഞ്ഞ കല്ലു മൂലക്കല്ലായി തീർന്നിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 23] ഇതു യഹോവയാൽ സംഭവിച്ചു നമ്മുടെ ദൃഷ്ടിയിൽ ആശ്ചര്യം ആയിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 24] ഇതു യഹോവ ഉണ്ടാക്കിയ ദിവസം; ഇന്നു നാം സന്തോഷിച്ചു ആനന്ദിക്ക.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 25] യഹോവേ, ഞങ്ങളെ രക്ഷിക്കേണമേ; യഹോവേ, ഞങ്ങൾക്കു ശുഭത നല്കേണമേ.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 26] യഹോവയുടെ നാമത്തിൽ വരുന്നവൻ വാഴ്ത്തപ്പെട്ടവൻ; ഞങ്ങൾ യഹോവയുടെ ആലയത്തിൽനിന്നു നിങ്ങളെ അനുഗ്രഹിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 27] യഹോവ തന്നേ ദൈവം; അവൻ നമുക്കു പ്രകാശം തന്നിരിക്കുന്നു; യാഗപീഠത്തിന്റെ കൊമ്പുകളോളം യാഗപശുവിനെ കയറുകൊണ്ടു കെട്ടുവിൻ.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 28] നീ എന്റെ ദൈവമാകുന്നു; ഞാൻ നിനക്കു സ്തോത്രം ചെയ്യും; നീ എന്റെ ദൈവമാകുന്നു; ഞാൻ നിന്നെ പുകഴ്ത്തും.
[IRV | ML | OT | Psalms | Chapter 118 | Verse 29] യഹോവെക്കു സ്തോത്രം ചെയ്‌വിൻ; അവൻ നല്ലവനല്ലോ; അവന്റെ ദയ എന്നേക്കും ഉള്ളതാകുന്നു.
