[IRV | ML | OT | Psalms | Chapter 89 | Verse 1] യഹോവയുടെ കൃപകളെക്കുറിച്ചു ഞാൻ എന്നേക്കും പാടും; തലമുറതലമുറയോളം എന്റെ വായ് കൊണ്ടു നിന്റെ വിശ്വസ്തതയെ അറിയിക്കും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 2] ദയ എന്നേക്കും ഉറച്ചുനില്ക്കും എന്നു ഞാൻ പറയുന്നു; നിന്റെ വിശ്വസ്തതയെ നീ സ്വർഗ്ഗത്തിൽ സ്ഥിരമാക്കിയിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 3] എന്റെ വൃതനോടു ഞാൻ ഒരു നിയമവും എന്റെ ദാസനായ ദാവീദിനോടു സത്യവും ചെയ്തിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 4] നിന്റെ സന്തതിയെ ഞാൻ എന്നേക്കും സ്ഥിരപ്പെടുത്തും; നിന്റെ സിംഹാസനത്തെ തലമുറതലമുറയോളം ഉറപ്പിക്കും. സേലാ.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 5] യഹോവേ, സ്വർഗ്ഗം നിന്റെ അത്ഭുതങ്ങളെയും വിശുദ്ധന്മാരുടെ സഭയിൽ നിന്റെ വിശ്വസ്തതയെയും സ്തുതിക്കും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 6] സ്വർഗ്ഗത്തിൽ യഹോവയോടു സദൃശനായവൻ ആർ? ദേവപുത്രന്മാരിൽ യഹോവെക്കു തുല്യനായവൻ ആർ?
[IRV | ML | OT | Psalms | Chapter 89 | Verse 7] ദൈവം വിശുദ്ധന്മാരുടെ സംഘത്തിൽ ഏറ്റവും ഭയങ്കരനും അവന്റെ ചുറ്റുമുള്ള എല്ലാവർക്കും മീതെ ഭയപ്പെടുവാൻ യോഗ്യനും ആകുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 8] സൈന്യങ്ങളുടെ ദൈവമായ യഹോവേ, നിന്നെപ്പോലെ ബലവാൻ ആരുള്ളു? യഹോവേ, നിന്റെ വിശ്വസ്തത നിന്നെ ചുറ്റിയിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 9] നീ സമുദ്രത്തിന്റെ ഗർവ്വത്തെ അടക്കിവാഴുന്നു; അതിലെ തിരകൾ പൊങ്ങുമ്പോൾ നീ അവയെ അമർത്തുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 10] നീ രഹബിനെ ഒരു ഹതനെപ്പോലെ തകർത്തു; നിന്റെ ബലമുള്ള ഭുജംകൊണ്ടു നിന്റെ ശത്രുക്കളെ ചിതറിച്ചുകളഞ്ഞു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 11] ആകാശം നിനക്കുള്ളതു, ഭൂമിയും നിനക്കുള്ളതു; ഭൂതലവും അതിന്റെ പൂർണ്ണതയും നീ സ്ഥാപിച്ചിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 12] ദക്ഷിണോത്തരദിക്കുകളെ നീ സൃഷ്ടിച്ചിരിക്കുന്നു; താബോരും ഹെർമ്മോനും നിന്റെ നാമത്തിൽ ആനന്ദിക്കുന്നു;
[IRV | ML | OT | Psalms | Chapter 89 | Verse 13] നിനക്കു വീര്യമുള്ളോരു ഭുജം ഉണ്ടു; നിന്റെ കൈ ബലമുള്ളതും നിന്റെ വലങ്കൈ ഉന്നതവും ആകുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 14] നീതിയും ന്യായവും നിന്റെ സിംഹാസനത്തിന്റെ അടിസ്ഥാനമാകുന്നു; ദയയും വിശ്വസ്തതയും നിനക്കു മുമ്പായി നടക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 15] ജയഘോഷം അറിയുന്ന ജനത്തിന്നു ഭാഗ്യം; യഹോവേ, അവർ നിന്റെ മുഖപ്രകാശത്തിൽ നടക്കും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 16] അവർ ഇടവിടാതെ നിന്റെ നാമത്തിൽ ഘോഷിച്ചുല്ലസിക്കുന്നു; നിന്റെ നീതിയിൽ അവർ ഉയർന്നിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 17] നീ അവരുടെ ബലത്തിന്റെ മഹത്വമാകുന്നു; നിന്റെ പ്രസാദത്താൽ ഞങ്ങളുടെ കൊമ്പു ഉയർന്നിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 18] നമ്മുടെ പരിച യഹോവെക്കുള്ളതും നമ്മുടെ രാജാവു യിസ്രായേലിന്റെ പരിശുദ്ധന്നുള്ളവന്നും ആകുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 19] അന്നു നീ ദർശനത്തിൽ നിന്റെ ഭക്തന്മാരോടു അരുളിച്ചെയ്തതു; ഞാൻ വീരനായ ഒരുത്തന്നു സഹായം നല്കുകയും ജനത്തിൽനിന്നു ഒരു വൃതനെ ഉയർത്തുകയും ചെയ്തു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 20] ഞാൻ എന്റെ ദാസനായ ദാവീദിനെ കണ്ടെത്തി; എന്റെ വിശുദ്ധതൈലംകൊണ്ടു അവനെ അഭിഷേകം ചെയ്തു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 21] എന്റെ കൈ അവനോടുകൂടെ സ്ഥിരമായിരിക്കും; എന്റെ ഭുജം അവനെ ബലപ്പെടുത്തും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 22] ശത്രു അവനെ തോല്പിക്കയില്ല; വഷളൻ അവനെ പീഡിപ്പിക്കയും ഇല്ല.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 23] ഞാൻ അവന്റെ വൈരികളെ അവന്റെ മുമ്പിൽ തകർക്കും; അവനെ പകെക്കുന്നവരെ സംഹരിക്കും,
[IRV | ML | OT | Psalms | Chapter 89 | Verse 24] എന്നാൽ എന്റെ വിശ്വസ്തതയും ദയയും അവനോടുകൂടെ ഇരിക്കും; എന്റെ നാമത്തിൽ അവന്റെ കൊമ്പു ഉയർന്നിരിക്കും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 25] അവന്റെ കയ്യെ ഞാൻ സമുദ്രത്തിന്മേലും അവന്റെ വലങ്കയ്യെ നദികളുടെമേലും നീട്ടുമാറാക്കും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 26] അവൻ എന്നോടു: നീ എന്റെ പിതാവു, എന്റെ ദൈവം, എന്റെ രക്ഷയുടെ പാറ എന്നിങ്ങനെ വിളിച്ചുപറയും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 27] ഞാൻ അവനെ ആദ്യജാതനും ഭൂരാജാക്കന്മാരിൽ ശ്രേഷ്ഠനുമാക്കും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 28] ഞാൻ അവന്നു എന്റെ ദയയെ എന്നേക്കും കാണിക്കും; എന്റെ നിയമം അവന്നു സ്ഥിരമായി നില്ക്കും.
