[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 1] Καὶ σὺ υἱὲ ἀνθρώπου προφήτευσον ἐπὶ Γὼγ, καὶ εἰπὸν, τάδε λέγει Κύριος, ἰδοὺ ἐγὼ ἐπὶ σὲ Γὼγ ἄρχοντα Ῥὼς, Μεσὸχ, καὶ Θοβέλ.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 2] Καὶ συνάξω σε, καὶ καθοδηγήσω σε, καὶ ἀναβιβῶ σε ἐπʼ ἐσχάτου τοῦ Βοῤῥᾶ, καὶ ἀνάξω σε ἐπὶ τὰ ὄρη τῷ Ἰσραήλ.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 3] Καὶ ἀπολῶ τὸ τόκον σου ἀπὸ τῆς χειρός σου τῆς ἀριστερᾶς, καὶ τὰ τοξεύματά σου ἀπὸ τῆς χειρός σου τῆς δεξιᾶς, καὶ καταβαλῶ σε ἐπὶ τὰ ὄρη τὰ Ἰσραὴλ,
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 4] καὶ πεσῇ σὺ καὶ πάντες οἱ περὶ σὲ, καὶ τὰ ἔθνη τὰ μετὰ σοῦ δοθήσονται εἰς πλήθη ὀρνέων, παντὶ πετεινῷ, καὶ πᾶσι τοῖς θηρίοις τοῦ πεδίου δέδωκά σε καταβρωθῆναι.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 5] Ἐπὶ προσώπου τοῦ πεδίου πεσῇ, ὅτι ἐγὼ ἐλάλησα, λέγει Κύριος.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 6] Καὶ ἀποστελῶ πῦρ ἐπὶ Γὼγ, καὶ κατοικηθήσονται αἱ νῆσοι ἐπʼ εἰρήνης, καὶ γνώσονται ὅτι ἐγώ εἰμι Κύριος.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 7] Καὶ τὸ ὄνομά μου τὸ ἅγιον γνωσθήσεται ἐν μέσῳ λαοῦ μου Ἰσραὴλ, καὶ οὐ βεβηλωθήσεται τὸ ὄνομά μου τὸ ἅγιον οὐκέτι, καὶ γνώσονται τὰ ἔθνη ὅτι ἐγώ εἰμι Κύριος, ἅγιος ἐν Ἰσραήλ.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 8] Ἰδοὺ ἥκει, καὶ γνώσῃ ὅτι ἔσται, λέγει Κύριος Κύριος· αὕτη ἐστὶν ἡ ἡμέρα ἐν ᾗ ἐλάλησα.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 9] Καὶ ἐξελεύσονται οἱ κατοικοῦντες τὰς πόλεις Ἰσραὴλ, καὶ καύσουσιν ἐν τοῖς ὅπλοις, πέλταις καὶ κοντοῖς, καὶ τόξοις καὶ τοξεύμασι, καὶ ῥάβδοις χειρῶν, καὶ λόγχαις, καὶ καύσουσιν ἐν αὐτοῖς πῦρ ἑπτὰ ἔτη·
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 10] Καὶ οὐ μὴ λάβωσι ξύλα ἐκ τοῦ πεδίου, οὐδὲ μὴ κόψωσιν ἐκ τῶν δρυμῶν, ἀλλʼ ἢ τὰ ὅπλα κατακαύσουσι πυρί· καὶ προνομεύσουσι τοὺς προνομεύσαντας αὐτοὺς, καὶ σκυλεύσουσι τοὺς σκυλεύσαντας αὐτοὺς, λέγει Κύριος.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 11] Καὶ ἔσται, ἐν τῇ ἡμέρᾳ ἐκείνῃ δώσω τῷ Γὼγ τόπον ὀνομαστὸν, μνημεῖον ἐν Ἰσραὴλ, τὸ πολυάνδριον τῶν ἐπελθόντων πρὸς τῇ θαλάσσῃ καὶ περιοικοδομήσουσι τὸ περιστόμιον τῆς φάραγγος, καὶ κατορύξουσιν ἐκεῖ τὸν Γὼγ καὶ πᾶν τὸ πλῆθος αὐτοῦ, καὶ κληθήσεται τότε Τὸ πολυάνδριον τοῦ Γώγ.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 12] Καὶ κατορύξουσιν αὐτοὺς οἶκος Ἰσραὴλ, ἵνα καθαρισθῇ ἡ γῆ ἐν ἑπταμήνῳ.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 13] Καὶ κατορύξουσιν αὐτοὺς πᾶς ὁ λαὸς τῆς γῆς, καὶ ἔσται αὐτοῖς ὀνομαστὸν, ᾗ ἡμέρᾳ ἐδοξάσθη, λέγει Κύριος.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 14] Καὶ ἄνδρας διαπαντὸς διαστελοῦσιν ἐπιπορευομένους τὴν γῆν, θάψαι τοὺς καταλελειμμένους ἐπὶ προσώπου τῆς γῆς, καθαρίσαι αὐτὴν μετὰ τὴν ἐπτάμηνον, καὶ ἐκζητήσουσι.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 15] Καὶ πᾶς ὁ διαπορευόμενος τὴν γῆν, καὶ ἰδὼν ὀστοῦν ἀνθρώπου, οἰκοδομήσει παρʼ αὐτῷ σημεῖον, ἕως ὅτου θάψωσιν αὐτὸ οἱ θάπτοντες εἰς γαὶ τὸ πολυάνδριον τοῦ Γώγ.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 16] Καὶ γὰρ τὸ ὄνομα τῆς πόλεως, Πολυάνδριον· καὶ καθαρισθήσεται ἡ γῆ.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 17] Καὶ σὺ υἱὲ ἀνθρώπου εἰπὸν, τάδε λέγει Κύριος, εἰπὸν παντὶ ὀρνέῳ πετεινῷ, καὶ πρὸς πάντα τὰ θηρία τοῦ πεδίου, Συνάχθητε καὶ ἔρχεσθε, συνάχθητε ἀπὸ πάντων τῶν περικύκλῳ ἐπὶ τὴν θυσίαν μου, ἣν τέθυκα ὑμῖν θυσίαν μεγάλην ἐπὶ τὰ ὄρη Ἰσραὴλ, καὶ φάγεσθε κρέα, καὶ πίεσθε αἷμα.
[LXX | EL | OT | Ezekiel | Chapter 39 | Verse 18] Κρέα γιγάντων φάγεσθε, καὶ αἷμα ἀρχόντων τῆς γῆς πίεσθε· κριοὺς καὶ μόσχους καὶ τράγους, καὶ οἱ μόσχοι ἐστεατωμένοι πάντες.
