[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 1] Καὶ σὺ, υἱὲ ἀνθρώπου, λάβε σεαυτῷ πλίνθον, καὶ θήσεις αὐτὴν πρὸ προσώπου σου, καὶ διαγράψεις ἐπʼ αὐτὴν πόλιν τὴν Ἱερουσαλήμ.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 2] Καὶ δώσεις ἐπʼ αὐτὴν περιοχὴν, καὶ οἰκοδομήσεις ἐπʼ αὐτὴν προμαχῶνας, καὶ περιβαλεῖς ἐπʼ αὐτὴν χάρακα, καὶ δώσεις ἐπʼ αὐτὴν παρεμβολὰς, καὶ τάξεις τὰς βελοστάσεις κύκλῳ.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 3] Καὶ σὺ λάβε σεαυτῷ τήγανον σιδηροῦν, καὶ θήσεις αὐτὸ τοῖχον σιδηροῦν ἀναμέσον σου καὶ ἀναμέσον τῆς πόλεως, καὶ ἑτοιμάσεις τὸ πρόσωπόν σου ἐπʼ αὐτὴν, καὶ ἔσται ἐν συνκλεισμῷ, καὶ συγκλείσεις αὐτήν· σημεῖόν ἐστι τοῦτο τοῖς υἱοῖς Ἰσραήλ.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 4] Καὶ σὺ κοιμηθήσῃ ἐπὶ τὸ πλευρόν σου τὸ ἀριστερὸν, καὶ θήσεις τὰς ἀδικίας τοῦ οἴκου Ἰσραὴλ ἐπʼ αὐτοὺ, κατὰ ἀριθμὸν τῶν ἡμερῶν πεντήκοντα καὶ ἑκατὸν ἃς κοιμηθήσῃ ἐπʼ αὐτοῦ, καὶ λήψῃ τὰς ἀδικίας αὐτῶν.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 5] Καὶ ἐγὼ δέδωκά σοι τὰς ἀδικίας αὐτῶν εἰς ἀριθμὸν ἡμερῶν, ἐννενήκοντα καὶ ἑκατὸν ἡμέρας, καὶ λήψῃ τὰς ἀδικίας τοῦ οἴκου Ἰσραήλ.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 6] Καὶ συντελέσεις ταῦτα, καὶ κοιμηθήσῃ ἐπὶ τὸ πλευρόν σου τὸ δεξιὸν, καὶ λήψῃ τὰς ἀδικίας τοῦ οἴκου Ἰούδα τεσσαράκοντα ἡμέρας, ἡμέραν εἰς ἐνιαυτὸν τέθεικά σοι.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 7] Καὶ εἰς τὸν συγκλεισμὸν Ἱερουσαλὴμ ἑτοιμάσεις τὸ πρόσωπόν σου, καὶ τὸν βραχίονά σου στερεώσεις, καὶ προφητεύσεις ἐπʼ αὐτήν.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 8] Καὶ ἐγὼ ἰδοὺ δέδωκα ἐπὶ σὲ δεσμοὺς, καὶ μὴ στραφῇς ἀπὸ τοῦ πλευροῦ σου ἐπὶ τὸ πλευρόν σου, ἕως οὗ συντελεσθῶσιν ἡμέραι τοῦ συγκλεισμοῦ σου.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 9] Καὶ σὺ λάβε σεαυτῷ πυροὺς, καὶ κριθὰς, καὶ κύαμον, καὶ φακὸν, καὶ κέγχρον, καὶ ὀλύραν, καὶ ἐμβαλεῖς αὐτὰ εἰς ἄγγος ἓν ὀστράνικον, καὶ ποιήσεις αὐτὰ σεαυτῷ εἰς ἄρτους· καὶ κατὰ ἀριθμὸν τῶν ἡμερῶν, ἃς σὺ καθεύδεις ἐπὶ τοῦ πλευροῦ σου, ἐννενήκοντα καὶ ἑκατὸν ἡμέρας φάγεσαι αὐτά.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 10] Καὶ τὸ βρῶμά σου φάγεσαι ἐν σταθμῷ, εἴκοσι σίκλους τὴν ἡμέραν, ἀπὸ καιροῦ ἕως καιροῦ φάγεσαι αὐτά.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 11] Καὶ ὕδωρ ἐν μέτρῳ πίεσαι, καὶ τὸ ἕκτον τοῦ εἲν ἀπὸ καιροῦ ἕως καιροῦ πίεσαι.
[LXX | EL | OT | Ezekiel | Chapter 4 | Verse 12] Καὶ ἐγκρυφίαν κρίθινον φάγεσαι αὐτὰ, ἐν βολβίτοις κόπρου ἀνθρωπίνης ἐγκρύψεις αὐτὰ κατʼ ὀφθαλμοὺς αὐτῶν.
