[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 1] Καὶ σὺ λάβε θρῆνον ἐπὶ τὸν ἄρχοντα τοῦ Ἰσραὴλ,
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 2] καὶ ἐρεῖς, τί ἡ μήτηρ σου σκύμνος ἐν μέσῳ λεόντων ἐγενήθη; ἐν μέσῳ λεόντων ἐπλήθυεν σκύμνους αὐτῆς.
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 3] Καὶ ἀπεπήδησεν εἷς τῶν σκύμνων αὐτῆς, λέων ἐγένετο, καὶ ἔμαθε τοῦ ἁρπάζειν ἁρπάγματα, ἀνθρώπους ἔφαγε.
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 4] Καὶ ἤκουσαν κατʼ αὐτοῦ ἔθνη, ἐν τῇ διαφθορᾷ αὐτῶν συνελήφθη, καὶ ἤγαγον αὐτὸν ἐν κημῷ εἰς γῆν Αἰγύπτου.
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 5] Καὶ εἶδεν ὅτι ἀπῶσται ἀπʼ αὐτῆς, ἀπώλετο ἡ ὑπόστασις αὐτῆς· καὶ ἔλαβεν ἄλλον ἐκ τῶν σκύμνων αὐτῆς· λέοντα ἔταξεν αὐτὸν.
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 6] Καὶ ἀνεστρέφετο ἐν μέσῳ λεόντων, λέων ἐγένετο, καὶ ἔμαθεν ἁρπάζειν ἁρπάγματα, ἀνθρώπους ἔφαγε,
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 7] καὶ ἐνέμετο τῷ θράσει αὐτοῦ, καὶ τὰς πόλεις αὐτῶν ἐξηρήμωσε, καὶ ἠφάνισε γῆν, καὶ τὸ πλήρωμα αὐτῆς ἀπὸ φωνῆς ὠρυώματος αὐτοῦ.
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 8] Καὶ ἔδωκαν ἐπʼ αὐτὸν ἔθνη ἐκ χωρῶν κυκλόθεν, καὶ ἐξεπέτασαν ἐπʼ αὐτὸν δίκτυα αὐτῶν, ἐν διαφθορᾷ αὐτῶν συνελήφθη·
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 9] Καὶ ἔθεντο αὐτὸν ἐν κημῷ καὶ ἐν γαλεάγρᾳ, ἦλθε πρὸς βασιλέα Βαβυλῶνος, καὶ εἰσήγαγεν αὐτὸν εἰς φυλακὴν, ὅπως μὴ ἀκουσθῇ ἡ φωνὴ αὐτοῦ ἐπὶ τὰ ὄρη τοῦ Ἰσραήλ.
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 10] Ἡ μήτηρ σου ὡς ἄμπελος καὶ ὡς ἄνθος ἐν ῥοᾷ, ἐν ὕδατι πεφυτευμένη, ὁ καρπὸς αὐτῆς καὶ ὁ βλαστὸς αὐτῆς ἐγένετο ἐξ ὕδατος πολλοῦ.
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 11] Καὶ ἐγένετο αὕτη ῥάβδος ἐπὶ φυλὴν ἡγουμένων, καὶ ὑψώθη τῷ μεγέθει αὐτῆς ἐν μέσῳ στελεχῶν· καὶ εἶδε τὸ μέγεθος αὐτῆς ἐν πλήθει κλημάτων αὐτῆς.
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 12] Καὶ κατεκλάσθη ἐν θυμῷ, ἐπὶ γῆν ἐῤῥίφη, καὶ ἄνεμος ὁ καύσων ἐξήρανε τὰ ἐκλεκτὰ αὐτῆς· ἐξεδικήθησαν, καὶ ἐξηράνθη ἡ ῥάβδος ἰσχύος αὐτῆς· πῦρ ἀνήλωσεν αὐτήν.
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 13] Καὶ νῦν πεφύτευκαν αὐτὴν ἐν τῇ ἠρημῳ, ἐν γῇ ἀνύδρῳ.
[LXX | EL | OT | Ezekiel | Chapter 19 | Verse 14] Καὶ ἐξῆλθε πῦρ ἐκ ῥάβδου ἐκλεκτῶν αὐτῆς, καὶ κατέφαγεν αὐτὴν, καὶ οὐκ ἦν ἐν αὐτῇ ῥάβδος ἰσχύος· φυλὴ εἰς παραβολὴν θρήνου ἐστὶ, καὶ ἐσται εἰς θρῆνον.
