[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 1] Καὶ ἐγένετο λόγος Κυρίου πρὸς μὲ, ἐν τῷ ἔτει τῷ ἐννάτῳ, ἐν τῷ μηνὶ τῷ δεκάτῳ, δεκάτῃ τοῦ μηνὸς, λέγων,
[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 2] υἱὲ ἀνθρώπου γράψον σεαυτῷ εἰς ἡμέραν ἀπὸ τῆς ἡμέρας ταύτης, ἀφʼ ἧς ἀπηρείσατο βασιλεὺς Βαβυλῶνος ἐπὶ Ἰερουσαλήμ, ἀπὸ τῆς ἡμέρας τῆς σήμερον·
[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 3] Καὶ εἰπὸν ἐπὶ τὸν οἶκον τὸν παραπικραίνοντα παραβολήν, καὶ ἐρεῖς πρὸς αὐτούς Τάδε λέγει Κύριος, ἐπίστησον τὸν λέβητα, καὶ ἔγχεον εἰς αὐτὸν ὕδωρ,
[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 4] καὶ ἔμβαλε εἰς αὐτὸν τὰ διχοτομήματα, πᾶν διχοτόμημα καλὸν, σκέλος καὶ ὦμον ἐκσεσαρκισμένα ἀπὸ τῶν ὀστῶν,
[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 5] ἐξ ἐπιλέκτων κτηνῶν εἰλημμένων· καὶ ὑπόκαιε τὰ ὀστᾶ ὑποκάτω αὐτῶν, ἔζεσε καὶ ἥψηται τὰ ὀστᾶ αὐτῆς ἐν μέσῳ αὐτῆς.
[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 6] Διατοῦτο τάδε λέγει Κύριος, ὦ πόλις αἱμάτων, λέβης, ἐν ᾧ ἐστιν ἰὸς ἐν αὐτῷ, καὶ ὁ ἰὸς οὐκ ἐξῆλθεν ἐξ αὐτῆς, κατὰ μέλος αὐτῆς ἐξήνεγκεν, οὐκ ἐπεσεν ἐπʼ αὐτὴν κλῆρος.
[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 7] Ὅτι αἷμα αὐτῆς ἐν μέσῳ αὐτῆς ἐστιν, ἐπὶ λεωπετρίαν τέταχα αὐτό· οὐκ ἐκκέχυκα αὐτὸ ἐπὶ τὴν γῆν, τοῦ καλύψαι ἐπʼ αὐτὸ γῆν,
[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 8] τοῦ ἀναβῆναι θυμὸν εἰς ἐκδίκησιν ἐκδικηθῆναι· δέδωκα τὸ αἷμα αὐτῆς ἐπὶ λεωπετρίαν, τοῦ μὴ καλύψαι αὐτό.
[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 9] Διατοῦτο τάδε λέγει Κύριος, κᾀγὼ μεγαλυνῶ τὸν δαλόν·
[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 10] Καὶ πληθυνῶ τὰ ξύλα, καὶ ἀνακαύσω τὸ πῦρ, ὅπως τακῇ τὰ κρέα, καὶ ἐλαττωθῇ ὁ ζωμὸς,
[LXX | EL | OT | Ezekiel | Chapter 24 | Verse 11] καὶ στῇ ἐπὶ τοὺς ἄνθρακας, ὅπως προσκαυθῇ καὶ θερμανθῇ ὁ χαλκὸς αὐτῆς, καὶ τακῇ ἐν μέσῳ ἀκαθαρσίας αὐτῆς, καὶ ἐκλίπῃ ὁ ἰὸς αὐτῆς,
