[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 1] Καὶ ἐν τῷ καταμετρεῖσθαι ὑμᾶς τὴν γῆν ἐν κληρονομίᾳ, ἀφοριεῖτε ἀπαρχὴν τῷ Κυρίῳ, ἅγιον ἀπὸ τῆς γῆς πέντε καὶ εἴκοσι χιλιάδας μῆκος, καὶ εὖρος εἴκοσι χιλιάδας, ἅγιον ἔσται ἐν πᾶσι τοῖς ὁρίοις αὐτοῦ κυκλόθεν.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 2] Καὶ ἔσται ἐκ τούτου ἁγιάσματα, πεντακόσιοι ἐπὶ πεντακοσίους, τετράγωνον κυκλόθεν, καὶ πεντήκοντα πήχεις διάστημα αὐτῶν κυκλόθεν.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 3] Καὶ ἐκ ταύτης τῆς διαμετρήσεως διαμετρήσεις μῆκος πέντε καὶ εἴκοσι χιλιάδας, καὶ εὖρος εἴκοσι χιλιάδας· καὶ ἐν αὐτῇ ἔσται ἅγια τῶν ἁγίων·
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 4] Ἀπὸ τῆς γῆς ἔσται τοῖς ἱερεῦσι τοῖς λειτουργοῦσιν ἐν τῷ ἁγίῳ, καὶ ἔσται τοῖς ἐγγίζουσι λειτουργεῖν τῷ Κυρίῳ· καὶ ἔσται αὐτοῖς τόπος εἰς οἴκους ἀφωρισμένους τῷ ἁγιασμῷ αὐτῶν,
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 5] εἴκοσι καὶ πέντε χιλιάδας μῆκος, καὶ εὖρος εἴκοσι χιλιάδες· καὶ τοῖς Λευίταις τοῖς λειτουργοῦσι τῷ οἴκῳ, αὐτοῖς εἰς κατάσχεσιν πόλεις τοῦ κατοικεῖν.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 6] Καὶ τὴν κατάσχεσιν τῆς πόλεως δώσεις πέντε χιλιάδας εὖρος, καὶ μῆκος πέντε καὶ εἴκοσι χιλιάδας, ὃν τρόπον ἡ ἀπαρχὴ τῶν ἁγίων παντὶ οἴκῳ Ἰσραὴλ ἔσονται.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 7] Καὶ τῷ ἡγουμένῳ ἐκ τούτου, καὶ ἀπὸ τούτου εἰς τὰς ἀπαρχὰς τῶν ἁγίων, εἰς κατάσχεσιν τῆς πόλεως, κατὰ πρόσωπον τῶν ἀπαρχῶν τῶν ἁγίων, καὶ κατὰ πρόσωπον τῆς κατασχέσεως τῆς πόλεως τὰ πρὸς θάλασσαν, καὶ ἀπὸ τῶν πρὸς θάλασσαν πρὸς ἀνατολάς· καὶ τὸ μῆκος ὡς μία τῶν μερίδων ἀπὸ τῶν ὁρίων τῶν πρὸς θάλασσαν, καὶ τὸ μῆκος, ἐπὶ τὰ ὅρια τὰ πρὸς ἀνατολὰς τῆς γῆς.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 8] Καὶ ἔσται αὐτῷ εἰς κατάσχεσιν ἐν τῷ Ἰσραὴλ, καὶ οὐ καταδυναστεύσουσιν οὐκέτι οἱ ἀφηγούμενοι τοῦ Ἰσραὴλ τὸν λαόν μου, καὶ τὴν γῆν κατακληρονομήσουσιν οἶκος Ἰσραὴλ κατὰ φυλὰς αὐτῶν.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 9] Τάδε λέγει Κύριος Θεὸς, ἱκανούσθω ὑμῖν οἱ ἀφηγούμενοι τοῦ Ἰσραὴλ, ἀδικίαν καὶ ταλαιπωρίαν ἀφέλεσθε, κρίμα καὶ δικαιοσύνην ποιήσατε· ἐξάρατε καταδυναστείαν ἀπὸ τοῦ λαοῦ μου, λέγει Κύριος Θεός.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 10] Ζυγὸς δίκαιος, καὶ μέτρον δίκαιον, καὶ χοῖνιξ δικαία ἔσται ὑμῖν τοῦ μέτρου,
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 11] καὶ ἡ χοῖνιξ ὁμοίως μία ἔσται τοῦ λαμβάνειν· τὸ δέκατον τοῦ γομόρ, χοῖνιξ, καὶ τὸ δέκατον τοῦ γομόρ, πρὸς τὸ γομόρ ἔσται τὸ ἴσον.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 12] Καὶ τὰ στάθμια, εἴκοσι ὀβολοὶ, πέντε σίκλοι, πέντε καὶ σίκλοι δέκα, καὶ πεντήκοντα σίκλοι ἡ μνᾶ ἔσται ὑμῖν.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 13] Καὶ αὕτη ἡ ἀπαρχὴ ἣν ἀφοριεῖτε, ἕκτον μέτροο ἀπὸ τοῦ γυμὸρ τοῦ πυροῦ, καὶ τὸ ἕκτον αὐτοῦ τοῦ οἴφι ἀπὸ τοῦ κόρου τῶν κριθῶν.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 14] Καὶ τὸ πρόσταγμα τοῦ ἐλαίου κοτύλην ἐλαίου ἀπὸ δέκα κοτυλῶν, ὅτι αἱ δέκα κοτύλαι εἰσὶ γομόρ.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 15] Καὶ πρόβατον ἀπὸ τῶν προβάτων ἀπὸ δέκα ἀφαίρεμα ἐκ πασῶν τῶν πατριῶν τοῦ Ἰσραὴλ, εἰς θυσίας, καὶ εἰς ὁλοκαυτώματα, καὶ εἰς σωτηρίου, τοῦ ἐξιλάσκεσθαι περὶ ὑμῶν, λέγει Κύριος Θεός.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 16] Καὶ πᾶς ὁ λαὸς δώσει τὴν ἀπαρχὴν ταύτην τῷ ἀφηγουμένῳ τοῦ Ἰσραήλ.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 17] Καὶ διὰ τοῦ ἀφηγουμένου ἔσται τὰ ὁλοκαυτώματα, καὶ αἱ θυσίαι, καὶ αἱ σπονδαὶ ἐν ταῖς ἑορταῖς, καὶ ἐν ταῖς νουμηνίαις, καὶ ἐν τοῖς σαββάτοις, καὶ ἐν πάσαις ταῖς ἑορταῖς οἴκου Ἰσραήλ· αὐτὸς ποιήσει τὰ ὑπὲρ ἁμαρτίας, καὶ τὴν θυσίαν, καὶ τὰ ὁλοκαυτώματα, καὶ τὰ τοῦ σωτηρίου, τοῦ ἐξιλάσκεσθαι ὑπὲρ τοῦ οἴκου Ἰσραήλ.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 18] Τάδε λέγει Κύριος Θεὸς, ἐν τῷ πρώτῳ μηνὶ, μιᾷ τοῦ μηνὸς, λήμψεσθε μόσχον ἐκ βοῶν ἄμωμον, τοῦ ἐξιλάσασθαι τὸ ἅγιον.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 19] Καὶ λήψεται ὁ ἱερεὺς ἀπὸ τοῦ αἵματος τοῦ ἐξιλασμοῦ, καὶ δώσει ἐπὶ τὰς φλιὰς τοῦ οἴκου, καὶ ἐπὶ τὰς τέσσαρας γωνίας τοῦ ἱεροῦ, καὶ ἐπὶ τὸ θυσιαστήριον, καὶ ἐπὶ τὰς φλιὰς τῆς πύλης τῆς αὐλῆς τῆς ἐσωτέρας.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 20] Καὶ οὕτως ποιήσεις ἐν τῷ μηνὶ τῷ ἑβδόμῳ· μιᾷ τοῦ μηνὸς λήψῃ παρʼ ἑκάστου ἀπόμοιραν· καὶ ἐξιλάσεσθε τὸν οἶκον.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 21] Καὶ ἐν τῷ πρώτῳ, τεσσαρεσκαιδεκάτῃ τοῦ μηνὸς ἔσται ὑμῖν τὸ πάσχα ἑορτή· ἑπτὰ ἡμέρας ἄζυμα ἔδεσθε.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 22] Καὶ ποιήσει ὁ ἀφηγούμενος ἐν ἐκείνῃ τῇ ἡμέρᾳ ὑπὲρ αὐτοῦ, καὶ τοῦ οἴκου, καὶ ὑπὲρ παντὸς τοῦ λαοῦ τῆς γῆς, μόσχον ὑπὲρ ἁμαρτίας.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 23] Καὶ τὰς ἑπτὰ ἡμέρας τῆς ἑορτῆς ποιήσει ὁλοκαυτώματα τῷ Κυρίῳ ἑπτὰ μόσχους καὶ ἑπτὰ κριοὺς ἀμώμους καθʼ ἡμέραν, τὰς ἑπτὰ ἡμέρας, καὶ ὑπὲρ ἁμαρτίας ἔριφον αἰγῶν καθʼ ἡμέραν, καὶ θυσίαν.
[LXX | EL | OT | Ezekiel | Chapter 45 | Verse 24] Καὶ πέμμα τῷ μόσχῳ, καὶ πέμματα τῷ κριῷ ποιήσεις, καὶ ἐλαίου τὸ εἲν τῷ πεμματι.
