[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 1] Καὶ σὺ υἱὲ ἀνθρώπου προφήτευσον ἐπὶ τὰ ὄρη Ἰσραὴλ, καὶ εἰπὸν τοῖς ὄρεσι τοῦ Ἰσραὴλ, ἀκούσατε λόγον Κυρίου.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 2] Τάδε λέγει Κύριος Κύριος, ἀνθʼ οὗ εἶπεν ἐφʼ ὑμᾶς ὁ ἐχθρὸς, εὖγε ἔρημα αἰώνια εἰς κατάσχεσιν ἡμῖν ἐγενήθη·
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 3] Διατοῦτο προφήτευσον, καὶ εἰπὸν, τάδε λέγει Κύριος Κύριος, ἀντὶ τοῦ ἀτιμασθῆναι ὑμᾶς, καὶ μισηθῆναι ὑμᾶς ὑπὸ τῶν κύκλῳ ὑμῶν, τοῦ εἶναι ὑμᾶς εἰς κατάσχεσιν τοῖς καταλοίποις ἔθνεσι, καὶ ἀνέβητε λάλημα γλώσσῃ, καὶ εἰς ὀνείδισμα ἔθνεσι,
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 4] διατοῦτο ὄρη Ἰσραὴλ ἀκούσατε λόγον Κυρίου· τάδε λέγει Κύριος τοῖς ὄρεσι, καὶ τοῖς βουνοῖς, καὶ τοῖς χειμάῤῥοις, καὶ ταῖς φάραγξι, καὶ τοῖς ἐξηρημωμένοις καὶ ἠφανισμένοις, καὶ ταῖς πόλεσι ταῖς ἐγκαταλελειμμέναις, καὶ ἐγένοντο εἰς προνομὴν, καὶ εἰς καταπάτημα τοῖς καταλειφθεῖσιν ἔθνεσι περικύκλῳ.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 5] Διατοῦτο τάδε λέγει Κύριος Κύριος, εἰ μὴν ἐν πυρὶ θυμοῦ μου ἐλάλησα ἐπὶ τὰ λοιπὰ ἔθνη, καὶ ἐπὶ τὴν Ἰδουμαίαν πᾶσαν, ὅτι ἔδωκαν τὴν γῆν μου ἑαυτοῖς εἰς κατάσχεσιν μετʼ εὐφροσύνης, ἀτιμάσαντες ψυχὰς, τοῦ ἀφανίσαι ἐν προνομῇ·
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 6] Διατοῦτο προφήτευσον ἐπὶ τὴν γῆν τοῦ Ἰσραὴλ, καὶ εἰπὸν τοῖς ὄρεσι, καὶ τοῖς βουνοῖς, καὶ ταῖς φάραγξι, καὶ ταῖς νάπαις, τάδε λέγει Κύριος, ἰδοὺ ἐγὼ ἐν τῷ ζήλῳ μου, καὶ ἐν τῷ θυμῷ μου ἐλάλησα, ἀντὶ τοῦ ὀνειδισμοὺς ἐθνῶν ἐνέγκαι ὑμᾶς.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 7] Διατοῦτο ἐγὼ ἀρῶ τὴν χεῖρά μου ἐπὶ τὰ ἔθνη τὰ περικύκλῳ ὑμῶν, οὗτοι τὴν ἀτιμίαν αὐτῶν λήψονται.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 8] Ὑμῶν δὲ ὄρη Ἰσραὴλ τὴν σταφυλὴν καὶ τὸν καρπὸν ὑμῶν καταφάγεται ὁ λαός μου, ὅτι ἐλπίζουσι τοῦ ἐλθεῖν·
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 9] Ὅτι ἰδοὺ ἐγὼ ἐφʼ ὑμᾶς, καὶ ἐπιβλέψω ἐφʼ ὑμᾶς, καὶ κατεργασθήσεσθε, καὶ σπαρήσεσθε,
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 10] καὶ πληθυνῶ ἐφʼ ὑμᾶς ἀνθρώπους, πᾶν οἶκον Ἰσραὴλ εἰς τέλος, καὶ κατοικηθήσονται αἱ πόλεις, καὶ ἡ ἠρημωμένη οἰκοδομηθήσεται.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 11] Καὶ πληθυνῶ ἐφʼ ὑμᾶς ἀνθρώπους, καὶ κτήνη, καὶ κατοικιῶ ὑμᾶς ὡς τὸ ἐν ἀρχῇ ὑμῶν, καὶ εὖ ποιήσω ὑμᾶς, ὥσπερ τὰ ἔμπροσθεν ὑμῶν, καὶ γνώσεσθε ὅτι ἐγώ εἰμι Κύριος.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 12] Καὶ γεννήσω ἐφʼ ὑμᾶς ἀνθρώπους τὸν λαόν μου Ἰσραὴλ, καὶ κληρονομήσουσιν ὑμᾶς, καὶ ἔσεσθε αὐτοῖς εἰς κατάσχεσιν· καὶ οὐ μὴ προστεθῆτε ἔτι ἀτεκνωθῆναι ἀπʼ αὐτῶν.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 13] Τάδε λέγει Κύριος Κύριος, ἀνθʼ ὧν εἶπάν σοι, κατέσθουσα ἀνθρώπους εἶ, καὶ ἠτεκνωμένη ὑπὸ τοῦ ἔθνους σου ἐγένου·
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 14] Διατοῦτο ἀνθρώπους οὐκέτι φάγεσαι, καὶ τὸ ἔθνος σου οὐκ ἀτεκνώσεις ἔτι, λέγει Κύριος Κύριος.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 15] Καὶ οὐκ ἀκουσθήσεται οὐκέτι ἐφʼ ὑμᾶς ἀτιμία ἐθνῶν, καὶ ὀνειδισμοὺς λαῶν οὐ μὴ ἀνενέγκητε ἔτι, λέγει Κύριος Κύριος.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 16] Καὶ ἐγένετο λόγος Κυρίου πρὸς μὲ, λέγων,
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 17] υἱὲ ἀνθρώπου, οἶκος Ἰσραὴλ κατῴκησεν ἐπὶ τῆς γῆς αὐτῶν, καὶ ἐμίαναν αὐτὴν ἐν τῇ ὁδῷ αὐτῶν, καὶ ἐν τοῖς εἰδώλοις αὐτῶν, καὶ ἐν ταῖς ἀκαθαρσίαις αὐτῶν, καὶ κατὰ τὴν ἀκαθαρσίαν τῆς ἀποκαθημένης ἐγενήθη ἡ ὁδὸς αὐτῶν πρὸ προσώπου μου.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 18] Καὶ ἐξέχεα τὸν θυμόν μου ἐπʼ αὐτοὺς,
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 19] καὶ διέσπειρα αὐτοὺς εἰς τὰ ἔθνη, καὶ ἐλίκμησα αὐτοὺς εἰς τὰς χώρας, κατὰ τὴν ὁδὸν αὐτῶν, καὶ κατὰ τὴν ἁμαρτίαν αὐτῶν ἔκρινα αὐτούς.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 20] Καὶ εἰσῆλθον εἰς τὰ ἔθνη, οὗ εἰσῆλθον ἐκεῖ, καὶ ἐβεβήλωσαν τὸ ὄνομά μου τὸ ἅγιον ἐν τῷ λέγεσθαι αὐτοὺς, λαὸς Κυρίου οὗτοι, καὶ ἐκ τῆς γῆς αὐτοῦ ἐξεληλύθασι.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 21] Καὶ ἐπεισάμην αὐτῶν διὰ τὸ ὄνομά μου τὸ ἅγιον, ὃ ἐβεβήλωσαν οἶκος Ἰσραὴλ ἐν τοῖς ἔθνεσιν, οὗ εἰσήλθοσαν ἐκεῖ.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 22] Διατοῦτο εἰπὸν τῷ οἴκῳ Ἰσραὴλ, τάδε λέγει Κύριος, οὐχ ὑμῖν ἐγὼ ποιῶ οἶκος Ἰσραὴλ, ἀλλʼ ἢ διὰ τὸ ὄνομά μου τὸ ἅγιον, ὃ ἐβεβηλώσατε ἐν τοῖς ἔθνεσιν, οὗ εἰσήλθετε ἐκεῖ.
