[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 1] Καὶ ἐγένετο ἐν τῷ ἔτει τῷ ἑβδόμῳ τῇ πεντεκαιδεκάτῃ τοῦ μηνὸς, ἦλθον ἄνδρες ἐκ τῶν πρεσβυτέρων οἴκου Ἰσραὴλ, ἐπερωτῆσαι τὸν Κύριον, καὶ ἐκάθισαν πρὸ προσώπου μου.
[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 2] Καὶ ἐγένετο λόγος Κυρίου πρὸς μὲ, λέγων,
[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 3] υἱὲ ἀνθρώπου, λάλησον πρὸς τοὺς πρεσβυτέρους τοῦ οἴκου Ἰσραὴλ, καὶ ἐρεῖς πρὸς αὐτοὺς, τάδε λέγει Κύριος, εἰ ἐπερωτῆσαί με ὑμεῖς ἔρχεσθε; ζῶ ἐγὼ, εἰ ἀποκριθήσομαι ὑμῖν, λέγει Κύριος.
[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 4] Εἰ ἐκδικήσω αὐτοὺς ἐκδικήσει, υἱὲ ἀνθρώπου; τὰς ἀνομίας τῶν πατέρων αὐτῶν διαμάρτυραι αὐτοῖς,
[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 5] καὶ ἐρεῖς πρὸς αὐτοὺς, τάδε λέγει Κύριος, Ἀφʼ ἧς ἡμέρας ᾑρέτισα τὸν οἶκον Ἰσραὴλ, καὶ ἐγνωρίσθην τῷ σπέρματι οἴκου Ἰακώβ, καὶ ἐγνώσθην αὐτοῖς ἐν γῇ Αἰγύπτου, καὶ ἀντελαβόμην τῇ χειρί μου αὐτῶν, λέγων, ἐγὼ Κύριος ὁ Θεὸς ὑμῶν·
[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 6] Ἐν ἐκείνῃ τῇ ἡμέρᾳ ἀντελαβόμην τῇ χειρί μου αὐτῶν, τοῦ ἐξαγαγεῖν αὐτοὺς ἐκ γῆς Αἰγύπτου εἰς τὴν γῆν ἣν ἡτοίμασα αὐτοῖς, γῆν ῥέουσαν γάλα καὶ μέλι, κηρίον ἐστὶ παρὰ πᾶσαν τὴν γῆν.
[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 7] Καὶ εἶπα πρὸς αὐτοὺς, ἕκαστος βδελύγματα τῶν ὀφθαλμῶν αὐτοῦ ἀποῤῥιψάτω, καὶ ἐν τοῖς ἐπιτηδεύμασιν Αἰγύπτου μὴ μιαίνεσθε, ἐγὼ Κύριος ὁ Θεὸς ὑμῶν.
[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 8] Καὶ ἀπέστησαν ἀπʼ ἐμοῦ, καὶ οὐκ ἠθέλησαν εἰσακοῦσαί μου, τὰ βδελύγματα τῶν ὀφθαλμῶν αὐτῶν οὐκ ἀπέῤῥιψαν, καὶ τὰ ἐπιτηδεύματα Αἰγύπτου οὐκ ἐγκατέλιπον· καὶ εἶπα τοῦ ἐκχέαι τὸν θυμόν μου ἐπʼ αὐτοὺς, τοῦ συντελέσαι ὀργήν μου ἐν αὐτοῖς ἐν μέσῳ τῆς Αἰγύπτου.
[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 9] Καὶ ἐποίησα ὅπως τὸ ὄνομά μου τὸ παράπαν μὴ βεβηλωθῇ ἐνώπιον τῶν ἐθνῶν, ὧν αὐτοί εἰσιν ἐν μέσῳ αὐτῶν, ἐν οἷς ἐγνώσθην πρὸς αὐτοὺς ἐνώπιον αὐτῶν, τοῦ ἐξαγαγεῖν αὐτοὺς ἐκ γῆς Αἰγύπτου.
[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 10] Καὶ ἤγαγον αὐτοὺς εἰς τὴν ἔρημον,
[LXX | EL | OT | Ezekiel | Chapter 20 | Verse 11] καὶ ἔδωκα αὐτοῖς τὰ προστάγματά μου, καὶ τὰ δικαιώματά μου ἐγνώρισα αὐτοῖς, ὅσα ποιήσει αὐτὰ ἄνθρωπος, καὶ ζήσεται ἐν αὐτοῖς.
