[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 1] Ἐν τῷ ἔτει τῷ δωδεκάτῳ, ἐν τῷ δεκάτῳ μηνὶ, μιᾷ τοῦ μηνὸς, ἐγένετο λόγος Κυρίου πρὸς μὲ, λέγων,
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 2] υἱὲ ἀνθρώπου, στήρισον τὸ πρόσωπόν σου ἐπὶ Φαραὼ βασιλέα Αἰγύπτου, καὶ προφήτευσον ἐπʼ αὐτὸν καὶ ἐπʼ Αἴγυπτον ὅλην,
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 3] καὶ εἰπόν, Τάδε λέγει Κύριος, ἰδοὺ ἐγὼ ἐπὶ Φαραὼ, τὸν δράκοντα τὸν μέγαν τὸν ἐγκαθήμενον ἐν μέσῳ ποταμῶν αὐτοῦ, τὸν λέγοντα, ἐμοί εἰσιν οἱ ποταμοὶ, καὶ ἐγὼ ἐποίησα αὐτούς.
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 4] Καὶ ἐγὼ δώσω παγίδας εἰς τὰς σιαγόνας σου, καὶ προσκολλήσω τοὺς ἰχθῦας τοῦ ποταμοῦ σου πρὸς τὰς πτέρυγάς σου, καὶ ἀνάξω σε ἐκ μέσου τοῦ ποταμοῦ σου,
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 5] καὶ καταβαλῶ σε ἐν τάχει καὶ πάντας τοὺς ἰχθύας τοῦ ποταμοῦ σου· ἐπὶ πρόσωπον τοῦ πεδίου πέσῇ, καὶ οὐ μὴ συναχθῇς, καὶ οὐ μὴ περισταλῇς, τοῖς θηρίοις τῆς γῆς καὶ τοῖς πετεινοῖς τοῦ οὐρανοῦ δέδωκά σε εἰς κατάβρωμα·
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 6] Καὶ γνώσονται πάντες οἱ κατοικοῦντες Αἴγυπτον, ὅτι ἐγώ εἰμι Κύριος· ἀνθʼ ὧν ἐγενήθης ῥάβδος καλαμίνη τῷ οἴκῳ Ἰσραὴλ,
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 7] ὅτε ἐπελάβετό σου τῇ χειρὶ αὐτῶν, ἐθλάσθης· καὶ ὅτε ἐπεκρότησεν ἐπʼ αὐτοὺς πᾶσα χεὶρ, καὶ ὅτε ἐπανεπαύσαντο ἐπὶ σέ, συνετρίβης, καὶ συνέκλασας αὐτῶν πᾶσαν ὀσφύν.
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 8] Διατοῦτο τάδε λέγει Κύριος, ἰδοὺ ἐγὼ ἐπάγω ἐπὶ σὲ ῥομφαίαν, καὶ ἀπολῶ ἀπὸ σοῦ ἀνθρώπους καὶ κτήνη,
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 9] καὶ ἔσται ἡ γῆ Αἰγύπτου ἀπώλεια καὶ ἔρημος· καὶ γνώσονται ὅτι ἐγώ εἰμι Κύριος· ἀντὶ τοῦ λέγειν σε, οἱ ποταμοὶ ἐμοί εἰσι, καὶ ἐγὼ ἐποίησα αὐτοὺς,
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 10] Διατοῦτο ἰδοὺ ἐγὼ ἐπὶ σὲ, καὶ ἐπὶ πάντας τοὺς ποταμούς σου, καὶ δώσω γῆν Αἰγύπτου εἰς ἔρημον καὶ ῥομφαίαν καὶ ἀπώλειαν ἀπὸ Μαγδωλοῦ καὶ Συήνης καὶ ἕως ὁρίων Αἰθιόπων.
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 11] Οὐ μὴ διέλθῃ ἐν αὐτῇ ποὺς ἀνθρώπου, καὶ ποὺς κτήνους οὐ μὴ διέλθῃ αὐτὴν, καὶ οὐ κατοικηθήσεται τεσσαράκοντα ἔτη.
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 12] Καὶ δώσω τὴν γῆν αὐτῆς ἀπώλειαν ἐν μέσῳ γῆς ἠρημωμένης, καὶ αἱ πόλεις αὐτῆς ἐν μέσῳ πόλεων ἠρημωμένων ἔσονται τεσσεράκοντα ἔτη· καὶ διασπερῶ Αἴγυπτον ἐν τοῖς ἔθνεσι, καὶ λικμήσω αὐτοὺς εἰς τὰς χώρας.
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 13] Τάδε λέγει Κύριος, μετὰ τεσσεράκοντα ἔτη συνάξω Αἰγυπτίους ἀπὸ τῶν ἐθνῶν οὗ διεσκορπίσθησαν ἐκεῖ,
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 14] καὶ ἀποστρέψω τὴν αἰχμαλωσίαν τῶν Αἰγυπτίων, καὶ κατοικίσω αὐτοὺς ἐν γῇ Φαθωρῆς, ἐν τῇ γῇ ὅθεν ἐλήμφθησαν, καὶ ἔσται ἀρχὴ ταπεινὴ
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 15] παρὰ πάσας τὰς ἀρχάς· οὐ μὴ ὑψωθῇ ἔτι ἐπὶ τὰ ἔθνη· καὶ ὀλιγοστοὺς αὐτοὺς ποιήσω, τοῦ μὴ εἶναι αὐτοὺς πλείονας ἐν τοῖς ἔθνεσι.
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 16] Καὶ οὐκέτι ἔσονται τῷ οἴκῳ Ἰσραὴλ εἰς ἐλπίδα ἀναμιμνήσκουσαν ἀνομίαν, ἐν τῷ ἀκολουθῆσαι αὐτοὺς ὀπίσω ἀυτῶν, καὶ γνώσονται ὅτι ἐγώ εἰμι Κύριος.
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 17] Καὶ ἐγένετο ἐν τῷ ἑβδόμῳ καὶ εἰκοστῷ ἔτει, μιᾷ τοῦ μηνὸς τοῦ πρώτου, ἐγένετο λόγος Κυρίου πρὸς μὲ, λέγων,
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 18] Υἱὲ ἀνθρώπου, Ναβουχοδονόσορ βασιλεὺς Βαβυλῶνος κατεδουλώσατο τὴν δύναμιν αὐτοῦ δουλείᾳ μεγάλῃ ἐπὶ Τύρου, πᾶσα κεφαλὴ φαλακρὰ, καὶ πᾶς ὦμος μαδῶν· καὶ μισθὸς οὐκ ἐγενήθη αὐτῷ καὶ τῇ δυνάμει αὐτοῦ ἐπὶ Τύρον, καὶ τῆς δουλείας ἧς ἐδούλευσαν ἐπʼ αὐτήν.
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 19] Τάδε λέγει Κύριος Κύριος, ἰδοὺ ἐγὼ δίδωμι τῷ Ναβουχοδονόσορ βασιλεῖ Βαβυλῶνος γῆν Αἰγύπτου, καὶ προνομεύσει τὴν προνομὴν αὐτῆς, καὶ σκυλεύσει τὰ σκῦλα αὐτῆς· καὶ ἔσται μισθὸς τῇ δυνάμει αὐτοῦ,
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 20] ἀντὶ τῆς λειτουργίας αὐτοῦ ἧς ἐδούλευσεν ἐπὶ Τύρον, δέδωκα αὐτῷ γῆν Αἰγύπτου· τάδε λέγει Κύριος Κύριος.
[LXX | EL | OT | Ezekiel | Chapter 29 | Verse 21] Ἐν τῇ ἡμέρᾳ ἐκείνῃ ἀνατελεῖ κέρας παντὶ τῷ οἴκῳ Ἰσραὴλ, καὶ σοὶ δώσω στόμα ἀνεῳγμένον ἐν μέσῳ αὐτῶν, καὶ γνώσονται ὅτι ἐγώ εἰμι Κύριος.
