[BSB | EN | NT | Galatians | Chapter 4 | Verse 1] What I am saying is that as long as the heir is a child, he is no different from a slave, although he is the owner of everything.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 2] He is subject to guardians and trustees until the date set by his father.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 3] So also, when we were children, we were enslaved under the basic principles of the world.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 4] But when the time had fully come, God sent His Son, born of a woman, born under the law,
[BSB | EN | NT | Galatians | Chapter 4 | Verse 5] to redeem those under the law, that we might receive our adoption as sons.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 6] And because you are sons, God sent the Spirit of His Son into our hearts, crying out, “Abba, Father!”
[BSB | EN | NT | Galatians | Chapter 4 | Verse 7] So you are no longer a slave, but a son; and since you are a son, you are also an heir through God.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 8] Formerly, when you did not know God, you were slaves to those who by nature are not gods.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 9] But now that you know God, or rather are known by God, how is it that you are turning back to those weak and worthless principles? Do you wish to be enslaved by them all over again?
[BSB | EN | NT | Galatians | Chapter 4 | Verse 10] You are observing special days and months and seasons and years!
[BSB | EN | NT | Galatians | Chapter 4 | Verse 11] I fear for you, that my efforts for you may have been in vain.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 12] I beg you, brothers, become like me, for I became like you. You have done me no wrong.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 13] You know that it was because of an illness that I first preached the gospel to you.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 14] And although my illness was a trial to you, you did not despise or reject me. Instead, you welcomed me as if I were an angel of God, as if I were Christ Jesus Himself.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 15] What then has become of your blessing? For I can testify that, if it were possible, you would have torn out your eyes and given them to me.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 16] Have I now become your enemy by telling you the truth?
[BSB | EN | NT | Galatians | Chapter 4 | Verse 17] Those people are zealous for you, but not in a good way. Instead, they want to isolate you from us, so that you may be zealous for them.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 18] Nevertheless, it is good to be zealous if it serves a noble purpose—at any time, and not only when I am with you.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 19] My children, for whom I am again in the pains of childbirth until Christ is formed in you,
[BSB | EN | NT | Galatians | Chapter 4 | Verse 20] how I wish I could be with you now and change my tone, because I am perplexed about you.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 21] Tell me, you who want to be under the law, do you not understand what the law says?
[BSB | EN | NT | Galatians | Chapter 4 | Verse 22] For it is written that Abraham had two sons, one by the slave woman and the other by the free woman.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 23] His son by the slave woman was born according to the flesh, but his son by the free woman was born through the promise.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 24] These things serve as illustrations, for the women represent two covenants. One covenant is from Mount Sinai and bears children into slavery: This is Hagar.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 25] Now Hagar stands for Mount Sinai in Arabia and corresponds to the present-day Jerusalem, because she is in slavery with her children.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 26] But the Jerusalem above is free, and she is our mother.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 27] For it is written: “Rejoice, O barren woman, who bears no children; break forth and cry aloud, you who have never travailed; because more are the children of the desolate woman than of her who has a husband.”
[BSB | EN | NT | Galatians | Chapter 4 | Verse 28] Now you, brothers, like Isaac, are children of promise.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 29] At that time, however, the son born by the flesh persecuted the son born by the Spirit. It is the same now.
[BSB | EN | NT | Galatians | Chapter 4 | Verse 30] But what does the Scripture say? “Expel the slave woman and her son, for the slave woman’s son will never share in the inheritance with the free woman’s son.”
[BSB | EN | NT | Galatians | Chapter 4 | Verse 31] Therefore, brothers, we are not children of the slave woman, but of the free woman.
