[IRV | TA | OT | Job | Chapter 39 | Verse 1] “வரையாடுகள் பிறக்கும் காலத்தை அறிவாயோ? மான்கள் குட்டிபோடுகிறதைக் கவனித்தாயோ?
[IRV | TA | OT | Job | Chapter 39 | Verse 2] அவைகள் சினைப்பட்டிருந்து வருகிற மாதங்களை நீ எண்ணி, அவைகள் பிறக்கும் காலத்தை அறிவாயோ?
[IRV | TA | OT | Job | Chapter 39 | Verse 3] அவைகள் வேதனையுடன் குனிந்து தங்கள் குட்டிகளைப் பெற்று, தங்கள் வேதனைகளை நீக்கிவிடும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 4] அவைகளின் குட்டிகள் பலத்து, வனத்திலே வளர்ந்து, அவைகளிடத்தில் திரும்ப வராமல் போய்விடும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 5] காட்டுக்கழுதையைத் தன் விருப்பத்திற்கு சுற்றித்திரிய வைத்தவர் யார்? அந்தக் காட்டுக்கழுதையின் கட்டுகளை அவிழ்த்தவர் யார்?
[IRV | TA | OT | Job | Chapter 39 | Verse 6] அதற்கு நான் வனாந்திரத்தை வீடாகவும், உவர்நிலத்தை தங்கும் இடமாகவும் கொடுத்தேன்.
[IRV | TA | OT | Job | Chapter 39 | Verse 7] அது பட்டணத்தின் இரைச்சலை அலட்சியம்செய்து, ஓட்டுகிறவனுடைய சத்தத்தை மதிக்கிறதில்லை.
[IRV | TA | OT | Job | Chapter 39 | Verse 8] அது மலைகளிலே தன் மேய்ச்சலைக் கண்டுபிடித்து, எல்லாவிதப் பச்சைத் தாவரங்களையும் தேடித்திரியும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 9] காண்டாமிருகம் உன்னிடத்தில் வேலை செய்ய சம்மதிக்குமோ? அது உன் பண்ணையில் இரவு தங்குமோ?
[IRV | TA | OT | Job | Chapter 39 | Verse 10] வயலில் உழ நீ காண்டாமிருகத்தைக் கயிறுபோட்டு ஏரில் பூட்டுவாயோ? அது உனக்கு இசைந்து போரடிக்குமோ?
[IRV | TA | OT | Job | Chapter 39 | Verse 11] அது அதிக பெலமுள்ளதென்று நீ நம்பி அதினிடத்தில் வேலை வாங்குவாயோ?
[IRV | TA | OT | Job | Chapter 39 | Verse 12] உன் தானியத்தை அது உன்வீட்டில் கொண்டுவந்து, உன் களஞ்சியத்தில் சேர்க்கும் என்று நீ அதை நம்புவாயோ?
[IRV | TA | OT | Job | Chapter 39 | Verse 13] தீக்குருவிகள் தங்கள் இறக்கைகளை அடித்து ஓடுகிற ஓட்டம், நாரை தன் இறக்கைகளாலும் இறகுகளாலும் பறக்கிறதற்குச் சமானமல்லவோ?
[IRV | TA | OT | Job | Chapter 39 | Verse 14] அது தன் முட்டைகளைத் தரையிலே இட்டு, அவைகளை மணலிலே அனலுறைக்க வைத்துவிட்டுப்போய்,
[IRV | TA | OT | Job | Chapter 39 | Verse 15] காலால் மிதிபட்டு உடைந்துபோகும் என்பதையும், காட்டுமிருகங்கள் அவைகளை மிதித்துவிடும் என்பதையும் நினைக்கிறதில்லை.
[IRV | TA | OT | Job | Chapter 39 | Verse 16] அது தன் குஞ்சுகள் தன்னுடையது அல்ல என்பதுபோல அவைகளைப் பாதுகாக்காத கடினகுணமுள்ளதாயிருக்கும்; அவைகளுக்காக அதற்குக் கவலையில்லாததினால் அது பட்ட வருத்தம் வீணாகும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 17] தேவன் அதற்குப் புத்தியைக் கொடுக்காமல், ஞானத்தை விலக்கிவைத்தார்.
[IRV | TA | OT | Job | Chapter 39 | Verse 18] அது இறக்கை விரித்து எழும்பும்போது, குதிரையையும் அதின்மேல் ஏறியிருக்கிறவனையும் அலட்சியம் செய்யும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 19] குதிரைக்கு நீ வீரியத்தைக் கொடுத்தாயோ? அதின் தொண்டையில் குமுறலை வைத்தாயோ?
[IRV | TA | OT | Job | Chapter 39 | Verse 20] ஒரு வெட்டுக்கிளியை மிரட்டுகிறதுபோல அதை மிரட்டுவாயோ? அதினுடைய மூக்கின் கனைப்பு பயங்கரமாயிருக்கிறது.
[IRV | TA | OT | Job | Chapter 39 | Verse 21] அது தரையிலே உதைத்து, தன் பலத்தில் மகிழ்ந்து, ஆயுதங்களை அணிந்தவருக்கு எதிராகப் புறப்படும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 22] அது கலங்காமலும், பட்டயத்திற்குப் பின்வாங்காமலுமிருந்து, பயப்படுதலை புறக்கணிக்கும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 23] அம்புகள் வைக்கும் பையும், மின்னுகிற ஈட்டியும், கேடகமும் அதின்மேல் கலகலக்கும்போது,
[IRV | TA | OT | Job | Chapter 39 | Verse 24] கர்வமும் மூர்க்கமும்கொண்டு தரையை விழுங்கிவிடுகிறதுபோல நினைத்து, எக்காளத்தின் சத்தத்திற்கு பயப்படாமல் பாயும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 25] எக்காளம் தொனிக்கும்போது அது நிகியென்று கனைக்கும்; யுத்தத்தையும், படைத்தலைவரின் ஆர்ப்பரிப்பையும், சேனைகளின் ஆரவாரத்தையும் தூரத்திலிருந்து மோப்பம்பிடிக்கும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 26] உன் புத்தியினாலே ராஜாளி பறந்து, தெற்கு திசைக்கு நேராகத் தன் இறக்கைகளை விரிக்கிறதோ?
[IRV | TA | OT | Job | Chapter 39 | Verse 27] உன் கற்பனையினாலே கழுகு உயரப் பறந்து, உயரத்திலே தன் கூட்டைக் கட்டுமோ?
[IRV | TA | OT | Job | Chapter 39 | Verse 28] அது கன்மலையிலும், கன்மலையின் உச்சியிலும், பாதுகாப்பான இடத்திலும் தங்கியிருக்கும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 29] அங்கேயிருந்து இரையை நோக்கும்; அதின் கண்கள் தூரத்திலிருந்து அதைப் பார்க்கும்.
[IRV | TA | OT | Job | Chapter 39 | Verse 30] அதின் குஞ்சுகள் இரத்தத்தை உறிஞ்சும்; பிணம் எங்கேயோ அங்கே கழுகு சேரும்” என்றார்.
