[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 1] And David again gathered all the chosen men of Israel, thirty thousand.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 2] And David arose and went with all the people that were with him from Baale-Judah, to bring up from thence the ark of God which is called by the name, the name of Jehovah of hosts who sitteth between the cherubim.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 3] And they set the ark of God upon a new cart, and brought it out of the house of Abinadab, which was upon the hill; and Uzzah and Ahio, the sons of Abinadab, drove the new cart.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 4] And they brought it with the ark of God out of the house of Abinadab which was upon the hill; and Ahio went before the ark.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 5] And David and all the house of Israel played before Jehovah on all manner of [instruments made of] cypress wood, with harps, and with lutes, and with tambours, and with sistra, and with cymbals.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 6] And when they came to Nachon's threshing-floor, Uzzah reached after the ark of God, and took hold of it; for the oxen had stumbled.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 7] And the anger of Jehovah was kindled against Uzzah; and God smote him there for his error; and there he died by the ark of God.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 8] And David was indignant, because Jehovah had made a breach upon Uzzah; and he called that place Perez-Uzzah to this day.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 9] And David was afraid of Jehovah that day, and said, How shall the ark of Jehovah come to me?
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 10] So David would not bring the ark of Jehovah home unto himself into the city of David; but David carried it aside into the house of Obed-Edom the Gittite.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 11] And the ark of Jehovah remained in the house of Obed-Edom the Gittite three months; and Jehovah blessed Obed-Edom and all his household.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 12] And it was told king David, saying, Jehovah has blessed the house of Obed-Edom, and all that is his, because of the ark of God. And David went and brought up the ark of God from the house of Obed-Edom into the city of David with joy.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 13] And it was so, that when they that bore the ark of Jehovah had gone six paces, he sacrificed an ox and a fatted beast.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 14] And David danced before Jehovah with all his might; and David was girded with a linen ephod.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 15] And David and all the house of Israel brought up the ark of Jehovah with shouting, and with the sound of the trumpet.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 16] And as the ark of Jehovah came into the city of David, Michal the daughter of Saul looked through a window, and saw king David leaping and dancing before Jehovah; and she despised him in her heart.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 17] And they brought in the ark of Jehovah, and set it in its place, in the midst of the tent that David had spread for it. And David offered up burnt-offerings and peace-offerings before Jehovah.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 18] And when David had ended offering up the burnt-offerings and the peace-offerings, he blessed the people in the name of Jehovah of hosts.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 19] And he dealt to all the people, to the whole multitude of Israel, both men and women, to every one a cake of bread, and a measure [of wine], and a raisin-cake. And all the people departed every one to his house.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 20] And David returned to bless his household. And Michal the daughter of Saul came out to meet David, and said, How honourable did the king of Israel make himself to-day, who uncovered himself to-day in the eyes of the handmaids of his servants, as one of the lewd fellows shamelessly uncovers himself!
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 21] And David said to Michal, It was before Jehovah, who chose me rather than thy father, and than all his house, to appoint me ruler over the people of Jehovah, over Israel; and I played before Jehovah.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 22] And I will make myself yet more vile than thus, and will be base in mine own sight; and of the handmaids that thou hast spoken of, of them shall I be had in honour.
[DARBY | EN | OT | 2 Samuel | Chapter 6 | Verse 23] And Michal the daughter of Saul had no child to the day of her death.
