[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 1] And David spoke to Jehovah the words of this song in the day that Jehovah had delivered him out of the hand of all his enemies, and out of the hand of Saul.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 2] And he said, Jehovah is my rock, and my fortress, and my deliverer;
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 3] God is my rock, in him will I trust — My shield, and the horn of my salvation, My high tower, and my refuge, My saviour: thou wilt save me from violence.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 4] I will call upon Jehovah, who is to be praised; So shall I be saved from mine enemies.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 5] For the waves of death encompassed me, Torrents of Belial made me afraid.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 6] The bands of Sheol surrounded me; The cords of death encountered me;
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 7] In my distress I called upon Jehovah, And I cried to my God; And he heard my voice out of his temple, And my cry [came] into his ears.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 8] Then the earth shook, and quaked; The foundations of the heavens trembled And shook because he was wroth.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 9] There went up a smoke out of his nostrils, And fire out of his mouth devoured: Coals burned forth from it.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 10] And he bowed the heavens, and came down; And darkness was under his feet.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 11] And he rode upon a cherub, and did fly; And he was seen upon the wings of the wind.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 12] And he made darkness round about him a tent, Gatherings of waters, thick clouds of the skies.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 13] From the brightness before him Burned forth coals of fire.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 14] Jehovah thundered from the heavens, And the Most High uttered his voice.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 15] And he sent arrows, and scattered [mine enemies]; Lightning, and discomfited them.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 16] And the beds of the sea were seen, The foundations of the world were uncovered At the rebuke of Jehovah, At the blast of the breath of his nostrils.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 17] He reached forth from above, he took me, He drew me out of great waters;
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 18] He delivered me from my strong enemy, From them that hated me; For they were mightier than I.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 19] They encountered me in the day of my calamity; But Jehovah was my stay.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 20] And he brought me forth into a large place; He delivered me, because he delighted in me.
