[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 1] And it came to pass after this, that Absalom prepared for himself chariots and horses, and fifty men to run before him.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 2] And Absalom rose early, and stood beside the way of the gate; and it was so, that when any man who had a controversy had to come to the king for judgment, then Absalom called him, and said, Of what city art thou? And he said, Thy servant is of one of the tribes of Israel.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 3] And Absalom said to him, See, thy matters are good and right; but there is no man to hear thee [appointed] by the king.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 4] And Absalom said, Oh that I were made judge in the land, that every man who has any controversy and cause might come to me, and I would do him justice!
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 5] And it was so, that when any man came near to do him obeisance, he put forth his hand, and took him, and kissed him.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 6] And in this manner did Absalom to all Israel that came to the king for judgment; and Absalom stole the hearts of the men of Israel.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 7] And it came to pass at the end of forty years, that Absalom said to the king, I pray thee, let me go and pay in Hebron my vow which I have vowed to Jehovah.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 8] For thy servant vowed a vow while I abode in Geshur in Syria, saying, If Jehovah shall bring me again indeed to Jerusalem, then I will serve Jehovah.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 9] And the king said to him, Go in peace. And he rose up and went to Hebron.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 10] And Absalom sent emissaries into all the tribes of Israel, saying, When ye hear the sound of the trumpet, ye shall say, Absalom reigns in Hebron.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 11] And with Absalom went two hundred men out of Jerusalem, that were invited; and they went in their simplicity, and they knew nothing.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 12] And Absalom sent for Ahithophel the Gilonite, David's counsellor, from his city, from Giloh, while he offered the sacrifices. And the conspiracy gathered strength; and the people increased continually with Absalom.
[DARBY | EN | OT | 2 Samuel | Chapter 15 | Verse 13] And there came one to David who reported saying, The hearts of the men of Israel are after Absalom.
