[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 1] And it came to pass, whiles the lion spake these words unto the eagle, I saw,
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 2] and behold, the head that remained, and the four wings appeared no more, and the two went unto it, and set themselves up to reign, and their kingdom was small, and full of uproar.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 3] And I saw, and behold, they appeared no more, and the whole body of the eagle was burnt, so that the earth was in great fear: then awaked I out of the trouble and trance of my mind, and from great fear, and said unto my spirit,
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 4] Lo, this hast thou done unto me, in that thou searchest out the ways of the Highest.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 5] Lo, yet am I weary in my mind, and very weak in my spirit; and little strength is there in me, for the great fear wherewith I was affrighted this night.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 6] Therefore will I now beseech the Highest, that he will comfort me unto the end.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 7] And I said, Lord that bearest rule, if I have found grace before thy sight, and if I am justified with thee before many others, and if my prayer indeed be come up before thy face;
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 8] comfort me then, and shew me thy servant the interpretation and plain difference of this fearful vision, that thou mayest perfectly comfort my soul.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 9] For thou hast judged me worthy to shew me the last times.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 10] And he said unto me, This is the interpretation of the vision:
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 11] The eagle, whom thou sawest come up from the sea, is the kingdom which was seen in the vision of thy brother Daniel.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 12] But it was not expounded unto him, therefore now I declare it unto thee.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 13] Behold, the days will come, that there shall rise up a kingdom upon earth, and it shall be feared above all the kingdoms that were before it.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 14] In the same shall twelve kings reign, one after another:
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 15] whereof the second shall begin to reign, and shall have more time than any of the twelve.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 16] And this do the twelve wings signify, which thou sawest.
