[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 1] And he answered me, saying, The most High hath made this world for many, but the world to come for few.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 2] I will tell thee a similitude, Esdras; As when thou askest the earth, it shall say unto thee, that it giveth much mould whereof earthen vessels are made, but little dust that gold cometh of: even so is the course of this present world.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 3] There be many created, but few shall be saved.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 4] So answered I and said, Swallow then down, O my soul, understanding, and devour wisdom.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 5] For thou hast agreed to give ear, and art willing to prophesy: for thou hast no longer space than only to live.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 6] O Lord, if thou suffer not thy servant, that we may pray before thee, and thou give us seed unto our heart, and culture to our understanding, that there may come fruit of it; how shall each man live that is corrupt, who beareth the place of a man?
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 7] For thou art alone, and we all one workmanship of thine hands, like as thou hast said.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 8] For when the body is fashioned now in the mother’s womb, and thou givest it members, thy creature is preserved in fire and water, and nine months doth thy workmanship endure thy creature which is created in her.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 9] But that which keepeth and is kept shall both be preserved: and when the time cometh, the womb preserved delivereth up the things that grew in it.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 10] For thou hast commanded out of the parts of the body, that is to say, out of the breasts, milk to be given, which is the fruit of the breasts,
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 11] that the thing which is fashioned may be nourished for a time, till thou disposest it to thy mercy.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 12] Thou broughtest it up with thy righteousness, and nurturedst it in thy law, and reformedst it with thy judgment.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 13] And thou shalt mortify it as thy creature, and quicken it as thy work.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 14] If therefore thou shalt destroy him which with so great labour was fashioned, it is an easy thing to be ordained by thy commandment, that the thing which was made might be preserved.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 15] Now therefore, Lord, I will speak; touching man in general, thou knowest best: but touching thy people, for whose sake I am sorry;
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 16] and for thine inheritance, for whose cause I mourn; and for Israel, for whom I am heavy; and for Jacob, for whose sake I am troubled;
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 17] therefore will I begin to pray before thee for myself and for them: for I see the falls of us that dwell in the land.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 18] But I have heard the swiftness of the judge which is to come.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 19] Therefore hear my voice, and understand my words, and I shall speak before thee. This is the beginning of the words of Esdras, before he was taken up: and I said,
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 20] O Lord, thou that dwellest in everlastingness, which beholdest from above things in the heaven and in the air;
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 21] whose throne is inestimable; whose glory may not be comprehended; before whom the hosts of angels stand with trembling,
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 22] (whose service is conversant in wind and fire,) whose word is true, and sayings constant; whose commandment is strong, and ordinance fearful;
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 23] whose look drieth up the depths, and indignation maketh the mountains to melt away; which the truth witnesseth:
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 24] O hear the prayer of thy servant, and give ear to the petition of thy creature.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 25] For while I live I will speak, and so long as I have understanding I will answer.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 26] O look not upon the sins of thy people; but on them which serve thee in truth.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 27] Regard not the wicked inventions of the heathen, but the desire of those that keep thy testimonies in afflictions.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 28] Think not upon those that have walked feignedly before thee: but remember them, which according to thy will have known thy fear.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 29] Let it not be thy will to destroy them which have lived like beasts; but to look upon them that have clearly taught thy law.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 30] Take thou no indignation at them which are deemed worse than beasts; but love them that always put their trust in thy righteousness and glory.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 31] For we and our fathers do languish of such diseases: but because of us sinners thou shalt be called merciful.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 32] For if thou hast a desire to have mercy upon us, thou shalt be called merciful, to us namely, that have no works of righteousness.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 33] For the just, which have many good works laid up with thee, shall out of their own deeds receive reward.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 34] For what is man, that thou shouldest take displeasure at him? or what is a corruptible generation, that thou shouldest be so bitter toward it?
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 35] For in truth there is no man among them that be born, but he hath dealt wickedly; and among the faithful there is none which hath not done amiss.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 36] For in this, O Lord, thy righteousness and thy goodness shall be declared, if thou be merciful unto them which have not the confidence of good works.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 37] Then answered he me, and said, Some things hast thou spoken aright, and according unto thy words it shall be.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 38] For indeed I will not think on the disposition of them which have sinned before death, before judgment, before destruction:
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 39] but I will rejoice over the disposition of the righteous, and I will remember also their pilgrimage, and the salvation, and the reward that they shall have.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 40] Like as I have spoken now, so shall it come to pass.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 41] For as the husbandman soweth much seed upon the ground, and planteth many trees, and yet the thing that is sown good in his season cometh not up, neither doth all that is planted take root: even so is it of them that are sown in the world; they shall not all be saved.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 42] I answered then and said, If I have found grace, let me speak.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 43] Like as the husbandman’s seed perisheth, if it come not up, and receive not thy rain in due season; or if there come too much rain, and corrupt it:
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 44] even so perisheth man also, which is formed with thy hands, and is called thine own image, because thou art like unto him, for whose sake thou hast made all things, and likened him unto the husbandman’s seed.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 45] Be not wroth with us, but spare thy people, and have mercy upon thine own inheritance: for thou art merciful unto thy creature.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 46] Then answered he me, and said, Things present are for the present, and things to come for such as be to come.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 47] For thou comest far short that thou shouldest be able to love my creature more than I: but I have ofttimes drawn nigh unto thee, and unto it, but never to the unrighteous.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 48] In this also thou art marvellous before the most High:
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 49] in that thou hast humbled thyself, as it becometh thee, and hast not judged thyself worthy to be much glorified among the righteous.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 50] For many great miseries shall be done to them that in the latter time shall dwell in the world, because they have walked in great pride.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 51] But understand thou for thyself, and seek out the glory for such as be like thee.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 52] For unto you is paradise opened, the tree of life is planted, the time to come is prepared, plenteousness is made ready, a city is builded, and rest is allowed, yea, perfect goodness and wisdom.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 53] The root of evil is sealed up from you, weakness and the moth is hid from you, and corruption is fled into hell to be forgotten:
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 54] sorrows are passed, and in the end is shewed the treasure of immortality.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 55] And therefore ask thou no more questions concerning the multitude of them that perish.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 56] For when they had taken liberty, they despised the most High, thought scorn of his law, and forsook his ways.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 57] Moreover they have trodden down his righteous,
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 58] and said in their heart, that there is no God; yea, and that knowing they must die.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 59] For as the things aforesaid shall receive you, so thirst and pain are prepared for them: for it was not his will that men should come to nought:
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 60] but they which be created have defiled the name of him that made them, and were unthankful unto him which prepared life for them.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 61] And therefore is my judgment now at hand.
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 62] These things have I not shewed unto all men, but unto thee, and a few like thee. Then answered I and said,
[KJV | EN | OT | 2 Esdras | Chapter 8 | Verse 63] Behold, O Lord, now hast thou shewed me the multitude of the wonders, which thou wilt begin to do in the last times: but at what time, thou hast not shewed me.
