[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 1] And the angel that was sent unto me, whose name was Uriel, gave me an answer,
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 2] and said, Thy heart hath gone too far in this world, and thinkest thou to comprehend the way of the most High?
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 3] Then said I, Yea, my Lord. And he answered me, and said, I am sent to shew thee three ways, and to set forth three similitudes before thee:
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 4] whereof if thou canst declare me one, I will shew thee also the way that thou desirest to see, and I shall shew thee from whence the wicked heart cometh.
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 5] And I said, Tell on, my Lord. Then said he unto me; Go thy way, weigh me the weight of the fire, or measure me the blast of the wind, or call me again the day that is past.
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 6] Then answered I and said, What man is able to do that, that thou shouldest ask such things of me?
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 7] And he said unto me, If I should ask thee how great dwellings are in the midst of the sea, or how many springs are in the beginning of the deep, or how many springs are above the firmament, or which are the outgoings of paradise:
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 8] peradventure thou wouldest say unto me, I never went down into the deep, nor as yet into hell, neither did I ever climb up into heaven.
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 9] Nevertheless now have I asked thee but only of the fire and wind, and of the day wherethrough thou hast passed, and of things from which thou canst not be separated, and yet canst thou give me no answer of them.
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 10] He said moreover unto me, Thine own things, and such as are grown up with thee, canst thou not know;
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 11] how should thy vessel then be able to comprehend the way of the Highest, and, the world being now outwardly corrupted, to understand the corruption that is evident in my sight?
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 12] Then said I unto him, It were better that we were not at all, than that we should live still in wickedness, and to suffer, and not to know wherefore.
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 13] He answered me, and said, I went into a forest into a plain, and the trees took counsel,
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 14] and said, Come, let us go and make war against the sea, that it may depart away before us, and that we may make us more woods.
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 15] The floods of the sea also in like manner took counsel, and said, Come, let us go up and subdue the woods of the plain, that there also we may make us another country.
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 16] The thought of the wood was in vain, for the fire came and consumed it.
[KJV | EN | OT | 2 Esdras | Chapter 4 | Verse 17] The thought of the floods of the sea came likewise to nought, for the sand stood up and stopped them.
