[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 1] And it came to pass upon the third day, I sat under an oak, and behold, there came a voice out of a bush over against me, and said, Esdras, Esdras.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 2] And I said, Here am I, Lord. And I stood up upon my feet.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 3] Then said he unto me, In the bush I did manifestly reveal myself unto Moses, and talked with him, when my people served in Egypt:
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 4] and I sent him, and led my people out of Egypt, and brought him up to the mount of Sinai, where I held him by me a long season,
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 5] and told him many wondrous things, and shewed him the secrets of the times, and the end; and commanded him, saying,
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 6] These words shalt thou declare, and these shalt thou hide.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 7] And now I say unto thee,
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 8] That thou lay up in thy heart the signs that I have shewed, and the dreams that thou hast seen, and the interpretations which thou hast heard:
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 9] for thou shalt be taken away from all, and from henceforth thou shalt remain with my Son, and with such as be like thee, until the times be ended.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 10] For the world hath lost his youth, and the times begin to wax old.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 11] For the world is divided into twelve parts, and the ten parts of it are gone already, and half of a tenth part:
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 12] and there remaineth that which is after the half of the tenth part.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 13] Now therefore set thine house in order, and reprove thy people, comfort such of them as be in trouble, and now renounce corruption,
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 14] let go from thee mortal thoughts, cast away the burdens of man, put off now the weak nature,
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 15] and set aside the thoughts that are most heavy unto thee, and haste thee to flee from these times.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 16] For yet greater evils than those which thou hast seen happen shall be done hereafter.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 17] For look how much the world shall be weaker through age, so much the more shall evils increase upon them that dwell therein.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 18] For the truth is fled far away, and leasing is hard at hand: for now hasteth the vision to come, which thou hast seen.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 19] Then answered I before thee, and said,
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 20] Behold, Lord, I will go, as thou hast commanded me, and reprove the people which are present: but they that shall be born afterward, who shall admonish them? thus the world is set in darkness, and they that dwell therein are without light.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 21] For thy law is burnt, therefore no man knoweth the things that are done of thee, or the works that shall begin.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 22] But if I have found grace before thee, send the Holy Ghost into me, and I shall write all that hath been done in the world since the beginning, which were written in thy law, that men may find thy path, and that they which will live in the latter days may live.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 23] And he answered me, saying, Go thy way, gather the people together, and say unto them, that they seek thee not for forty days.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 24] But look thou prepare thee many box trees, and take with thee Sarea, Dabria, Selemia, Ecanus, and Asiel, these five which are ready to write swiftly;
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 25] and come hither, and I shall light a candle of understanding in thine heart, which shall not be put out, till the things be performed which thou shalt begin to write.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 26] And when thou hast done, some things shalt thou publish, and some things shalt thou shew secretly to the wise: to morrow this hour shalt thou begin to write.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 27] Then went I forth, as he commanded, and gathered all the people together, and said,
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 28] Hear these words, O Israel.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 29] Our fathers at the beginning were strangers in Egypt, from whence they were delivered:
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 30] and received the law of life, which they kept not, which ye also have transgressed after them.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 31] Then was the land, even the land of Sion, parted among you by lot: but your fathers, and ye yourselves, have done unrighteousness, and have not kept the ways which the Highest commanded you.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 32] And forasmuch as he is a righteous judge, he took from you in time the thing that he had given you.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 33] And now are you here, and your brethren among you.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 34] Therefore if so be that you will subdue your own understanding, and reform your hearts, ye shall be kept alive, and after death ye shall obtain mercy.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 35] For after death shall the judgment come, when we shall live again: and then shall the names of the righteous be manifest, and the works of the ungodly shall be declared.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 36] Let no man therefore come unto me now, nor seek after me these forty days.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 37] So I took the five men, as he commanded me, and we went into the field, and remained there.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 38] And the next day, behold, a voice called me, saying, Esdras, open thy mouth, and drink that I give thee to drink.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 39] Then opened I my mouth, and behold, he reached me a full cup, which was full as it were with water, but the colour of it was like fire.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 40] And I took it, and drank: and when I had drunk of it, my heart uttered understanding, and wisdom grew in my breast, for my spirit strengthened my memory:
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 41] and my mouth was opened, and shut no more.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 42] The Highest gave understanding unto the five men, and they wrote the wonderful visions of the night that were told, which they knew not: and they sat forty days, and they wrote in the day, and at night they ate bread.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 43] As for me, I spake in the day, and held not my tongue by night.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 44] In forty days they wrote two hundred and four books.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 45] And it came to pass, when the forty days were fulfilled, that the Highest spake, saying, The first that thou hast written publish openly, that the worthy and unworthy may read it:
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 46] but keep the seventy last, that thou mayest deliver them only to such as be wise among the people:
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 47] for in them is the spring of understanding, the fountains of wisdom, and the stream of knowledge.
[KJV | EN | OT | 2 Esdras | Chapter 14 | Verse 48] And I did so.
