[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 1] Behold, speak thou in the ears of my people the words of prophecy, which I will put in thy mouth, saith the Lord:
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 2] and cause them to be written in paper: for they are faithful and true.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 3] Fear not the imaginations against thee, let not the incredulity of them trouble thee, that speak against thee.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 4] For all the unfaithful shall die in their unfaithfulness.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 5] Behold, saith the Lord, I will bring plagues upon the world; the sword, famine, death, and destruction.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 6] For wickedness hath exceedingly polluted the whole earth, and their hurtful works are fulfilled.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 7] Therefore saith the Lord,
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 8] I will hold my tongue no more as touching their wickedness, which they profanely commit, neither will I suffer them in those things, in which they wickedly exercise themselves: behold, the innocent and righteous blood crieth unto me, and the souls of the just complain continually.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 9] And therefore, saith the Lord, I will surely avenge them, and receive unto me all the innocent blood from among them.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 10] Behold, my people is led as a flock to the slaughter: I will not suffer them now to dwell in the land of Egypt:
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 11] but I will bring them with a mighty hand and a stretched out arm, and smite Egypt with plagues, as before, and will destroy all the land thereof.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 12] Egypt shall mourn, and the foundation of it shall be smitten with the plague and punishment that God shall bring upon it.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 13] They that till the ground shall mourn: for their seeds shall fail through the blasting and hail, and with a fearful constellation.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 14] Woe to the world and them that dwell therein!
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 15] For the sword and their destruction draweth nigh, and one people shall stand up to fight against another, and swords in their hands.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 16] For there shall be sedition among men, and invading one another; they shall not regard their kings nor princes, and the course of their actions shall stand in their power.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 17] A man shall desire to go into a city, and shall not be able.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 18] For because of their pride the cities shall be troubled, the houses shall be destroyed, and men shall be afraid.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 19] A man shall have no pity upon his neighbour, but shall destroy their houses with the sword, and spoil their goods, because of the lack of bread, and for great tribulation.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 20] Behold, saith God, I will call together all the kings of the earth to reverence me, which are from the rising of the sun, from the south, from the east, and Libanus; to turn themselves one against another, and repay the things that they have done to them.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 21] Like as they do yet this day unto my chosen, so will I do also, and recompense in their bosom. Thus saith the Lord God;
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 22] My right hand shall not spare the sinners, and my sword shall not cease over them that shed innocent blood upon earth.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 23] The fire is gone forth from his wrath, and hath consumed the foundations of the earth, and the sinners, like the straw that is kindled.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 24] Woe to them that sin, and keep not my commandments! saith the Lord.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 25] I will not spare them: go your way, ye children, from the power, defile not my sanctuary.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 26] For the Lord knoweth all them that sin against him, and therefore delivereth he them unto death and destruction.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 27] For now are the plagues come upon the whole earth, and ye shall remain in them: for God shall not deliver you, because ye have sinned against him.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 28] Behold a horrible vision, and the appearance thereof from the east:
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 29] where the nations of the dragons of Arabia shall come out with many chariots, and the multitude of them shall be carried as the wind upon earth, that all they which hear them may fear and tremble.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 30] Also the Carmanians raging in wrath shall go forth as the wild boars of the wood, and with great power shall they come, and join battle with them, and shall waste a portion of the land of the Assyrians.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 31] And then shall the dragons have the upper hand, remembering their nature; and if they shall turn themselves, conspiring together in great power to persecute them,
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 32] then these shall be troubled, and keep silence through their power, and shall flee.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 33] And from the land of the Assyrians shall the enemy besiege them, and consume some of them, and in their host shall be fear and dread, and strife among their kings.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 34] Behold clouds from the east and from the north unto the south, and they are very horrible to look upon, full of wrath and storm.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 35] They shall smite one upon another, and they shall smite down a great multitude of stars upon the earth, even their own star; and blood shall be from the sword unto the belly,
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 36] and dung of men unto the camel’s hough.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 37] And there shall be great fearfulness and trembling upon earth: and they that see the wrath shall be afraid, and trembling shall come upon them.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 38] And then shall there come great storms from the south, and from the north, and another part from the west.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 39] And strong winds shall arise from the east, and shall open it; and the cloud which he raised up in wrath, and the star stirred to cause fear toward the east and west wind, shall be destroyed.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 40] The great and mighty clouds shall be lifted up full of wrath, and the star, that they may make all the earth afraid, and them that dwell therein; and they shall pour out over every high and eminent place a horrible star,
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 41] fire, and hail, and flying swords, and many waters, that all fields may be full, and all rivers, with the abundance of great waters.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 42] And they shall break down the cities and walls, mountains and hills, trees of the wood, and grass of the meadows, and their corn.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 43] And they shall go stedfastly unto Babylon, and make her afraid.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 44] They shall come to her, and besiege her, the star and all wrath shall they pour out upon her: then shall the dust and smoke go up unto the heaven, and all they that be about her shall bewail her.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 45] And they that remain under her shall do service unto them that have put her in fear.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 46] And thou, Asia, that art partaker of the hope of Babylon, and art the glory of her person:
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 47] woe be unto thee, thou wretch, because thou hast made thyself like unto her; and hast deckt thy daughters in whoredom, that they might please and glory in thy lovers, which have alway desired to commit whoredom with thee!
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 48] Thou hast followed her that is hated in all her works and inventions: therefore saith God,
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 49] I will send plagues upon thee; widowhood, poverty, famine, sword, and pestilence, to waste thy houses with destruction and death.
