[WEB | EN | OT | Sirach | Chapter 17 | Verse 1] The Lord created mankind out of earth, and turned them back to it again.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 2] He gave them days by number, and a set time, and gave them authority over the things that are on it.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 3] He endowed them with strength proper to them, and made them according to his own image.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 4] He put the fear of man upon all flesh, and gave him dominion over beasts and birds.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 6] He gave them counsel, tongue, eyes, ears, and heart to have understanding.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 7] He filled them with the knowledge of wisdom, and showed them good and evil.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 8] He set his eye upon their hearts, to show them the majesty of his works.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 10] And they will praise his holy name, that they may declare the majesty of his works.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 11] He added to them knowledge, and gave them a law of life for a heritage.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 12] He made an everlasting covenant with them, and showed them his decrees.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 13] Their eyes saw the majesty of his glory. Their ears heard the glory of his voice.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 14] He said to them, “Beware of all unrighteousness.” So he gave them commandment, each man concerning his neighbor.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 15] Their ways are ever before him. They will not be hidden from his eyes.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 17] For every nation he appointed a ruler, but Israel is the Lord’s portion.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 19] All their works are as clear as the sun before him. His eyes are continually upon their ways.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 20] Their iniquities are not hidden from him. All their sins are before the Lord.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 22] With him the alms of a man is as a signet. He will keep a man’s kindness as the pupil of the eye.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 23] Afterwards he will rise up and repay them, and render their repayment upon their head.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 24] However to those who repent he grants a return. He comforts those who are losing hope.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 25] Return to the Lord, and forsake sins. Make your prayer before his face offend less.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 26] Turn again to the Most High, and turn away from iniquity. Greatly hate the abominable thing.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 27] Who will give praise to the Most High in Hades, in place of the living who return thanks?
[WEB | EN | OT | Sirach | Chapter 17 | Verse 28] Thanksgiving perishes from the dead, as from one who doesn’t exist. He who is in life and health will praise the Lord.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 29] How great is the mercy of the Lord, and his forgiveness to those who turn to him!
[WEB | EN | OT | Sirach | Chapter 17 | Verse 30] For humans are not capable of everything, because the son of man is not immortal.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 31] What is brighter than the sun? Yet even this can be eclipsed. So flesh and blood devise evil.
[WEB | EN | OT | Sirach | Chapter 17 | Verse 32] He looks upon the power of the height of heaven, while all men are earth and ashes.
