[WEB | EN | OT | Sirach | Chapter 8 | Verse 1] Don’t contend with a mighty man, lest perhaps you fall into his hands.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 2] Don’t strive with a rich man, lest perhaps he overpower you; for gold has destroyed many, and turned away the hearts of kings.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 3] Don’t argue with a loudmouthed man. Don’t heap wood upon his fire.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 4] Don’t make fun of a rude man, lest your ancestors be dishonored.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 5] Don’t reproach a man when he turns from sin. Remember that we are all worthy of punishment.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 6] Don’t dishonor a man in his old age, for some of us are also growing old.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 7] Don’t rejoice over anyone’s death. Remember that we all die.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 8] Don’t neglect the discourse of the wise. Be conversant with their proverbs; for from them you will learn discipline and how to serve great men.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 9] Don’t miss the discourse of the aged, for they also learned from their parents, because from them you will learn understanding, and to give an answer in time of need.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 10] Don’t kindle the coals of a sinner, lest you be burned with the flame of his fire.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 11] Don’t rise up from the presence of an insolent man, lest he lie in wait as an ambush for your mouth.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 12] Don’t lend to a man who is stronger than you; and if you lend, count it as a loss.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 13] Don’t be surety beyond your means. If you give surety, think as one who will have to pay.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 14] Don’t go to law with a judge; for according to his honor they will give judgment for him.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 15] Don’t travel with a reckless man, lest he be burdensome to you; for he will do as he pleases, and you will perish with his folly.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 16] Don’t fight with a wrathful man. Don’t travel with him through the desert, for blood is as nothing in his sight. Where there is no help, he will overthrow you.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 17] Don’t consult with a fool, for he will not be able to keep a secret.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 18] Do no secret thing before a stranger, for you don’t know what it will cause.
[WEB | EN | OT | Sirach | Chapter 8 | Verse 19] Don’t open your heart to every man. Don’t let him return you a favor.
