[WEB | EN | OT | Sirach | Chapter 14 | Verse 1] Blessed is the man who has not slipped with his mouth, and doesn’t suffer from sorrow for sins.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 2] Blessed is he whose soul does not condemn him, and who has not given up hope.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 3] Riches are not appropriate for a stingy person. What would a miser do with money?
[WEB | EN | OT | Sirach | Chapter 14 | Verse 4] He who gathers by denying himself gathers for others. Others will revel in his goods.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 5] If one is mean to himself, to whom will he be good? He won’t enjoy his possessions.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 6] There is none more evil than he who is grudging to himself. This is a punishment for his wickedness.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 7] Even if he does good, he does it in forgetfulness. In the end, he reveals his wickedness.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 8] A miser is evil. He turns away and disregards souls.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 9] A covetous man’s eye is not satisfied with his portion. Wicked injustice dries up his soul.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 10] A miser begrudges bread, and it is lacking at his table.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 11] My son, according to what you have, treat yourself well, and bring worthy offerings to the Lord.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 12] Remember that death will not wait, and that the covenant of Hades hasn’t been shown to you.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 13] Do good to your friends before you die. According to your ability, reach out and give to them.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 14] Don’t deprive yourself of a good day. Don’t let your share of a desired good pass you by.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 15] Won’t you leave your labors to another, and your toils be divided by lot?
[WEB | EN | OT | Sirach | Chapter 14 | Verse 16] Give, take, and treat yourself well, because there is no seeking of luxury in Hades.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 17] All flesh grows old like a garment, for the covenant from the beginning is, “You must die!”
[WEB | EN | OT | Sirach | Chapter 14 | Verse 18] Like the leaves flourishing on a thick tree, some it sheds, and some grow, so also are the generations of flesh and blood: one comes to an end and another is born.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 19] Every work rots and falls away, and its builder will depart with it.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 20] Blessed is the man who meditates on wisdom, and who reasons by his understanding.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 21] He who considers her ways in his heart will also have knowledge of her secrets.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 22] Go after her like a hunter, and lie in wait in her paths.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 23] He who peers in at her windows will also listen at her doors.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 24] He who lodges close to her house will also fasten a nail in her walls.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 25] He will pitch his tent near at hand to her, and will lodge in a lodging where good things are.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 26] He will set his children under her shelter, and will rest under her branches.
[WEB | EN | OT | Sirach | Chapter 14 | Verse 27] By her he will be covered from heat, and will lodge in her glory.
