[WEB | EN | OT | Sirach | Chapter 46 | Verse 1] Joshua the son of Nun was valiant in war, and was the successor of Moses in prophecies. He was made great according to his name for the saving of God’s elect, to take vengeance on the enemies that rose up against them, that he might give Israel their inheritance.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 2] How was he glorified in the lifting up his hands, and in stretching out his sword against the cities!
[WEB | EN | OT | Sirach | Chapter 46 | Verse 3] Who before him stood so firm? For the Lord himself brought his enemies to him.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 4] Didn’t the sun go back by his hand? Didn’t one day become as two?
[WEB | EN | OT | Sirach | Chapter 46 | Verse 5] He called upon the Most High, the Mighty One, when his foes pressed in all around him, and the great Lord heard him.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 6] With hailstones of mighty power, he caused war to break violently upon the nation, and on the slope he destroyed those who resisted, so that the nations might know his armor, how he fought in the sight of the Lord; for he followed the Mighty One.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 7] Also in the time of Moses, he did a work of mercy— he and Caleb the son of Jephunneh— in that they withstood the adversary, hindered the people from sin, and stilled their wicked complaining.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 8] And of six hundred thousand people on foot, they two alone were preserved to bring them into their inheritance, into a land flowing with milk and honey.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 9] The Lord gave strength to Caleb, and it remained with him to his old age, so that he entered the hill country, and his offspring obtained it for an inheritance,
[WEB | EN | OT | Sirach | Chapter 46 | Verse 10] that all the children of Israel might see that it is good to follow the Lord.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 11] Also the judges, every one by his name, all whose hearts didn’t engage in immorality, and who didn’t turn away from the Lord— may their memory be blessed!
[WEB | EN | OT | Sirach | Chapter 46 | Verse 12] May their bones flourish again out of their place. May the name of those who have been honored be renewed in their children.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 13] Samuel, the prophet of the Lord, loved by his Lord, established a kingdom and anointed princes over his people.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 14] By the law of the Lord he judged the congregation, and the Lord watched over Jacob.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 15] By his faithfulness he was proved to be a prophet. By his words he was known to be faithful in vision.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 16] When his enemies pressed on him on every side, he called upon the Lord, the Mighty One, with the offering of the suckling lamb.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 17] Then the Lord thundered from heaven. He made his voice heard with a mighty sound.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 18] He utterly destroyed the rulers of the Tyrians and all the princes of the Philistines.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 19] Before the time of his age-long sleep, he testified in the sight of the lord and his anointed, “I have not taken any man’s goods, so much as a sandal;” and no one accused him.
[WEB | EN | OT | Sirach | Chapter 46 | Verse 20] Even after he fell asleep, he prophesied, and showed the king his end, and lifted up his voice from the earth in prophecy, to blot out the wickedness of the people.
