[WEB | EN | OT | Sirach | Chapter 33 | Verse 1] No evil will happen to him who fears the Lord, but in trials once and again he will deliver him.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 2] A wise man will not hate the law, but he who is a hypocrite about it is like a boat in a storm.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 3] A man of understanding will put his trust in the law. And the law is faithful to him, as when one asks a divine oracle.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 4] Prepare your speech, and so you will be heard. Bind up instruction, and make your answer.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 5] The heart of a fool is like a cartwheel. His thoughts are like a rolling axle.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 6] A stallion horse is like a mocking friend. He neighs under every one who sits upon him.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 7] Why does one day excel another, when all the light of every day in the year is from the sun?
[WEB | EN | OT | Sirach | Chapter 33 | Verse 8] They were distinguished by the Lord’s knowledge, and he varied seasons and feasts.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 9] Some of them he exalted and hallowed, and some of them he has made ordinary days.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 10] And all men are from the ground. Adam was created from dust.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 11] In the abundance of his knowledge the Lord distinguished them, and made their ways different.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 12] Some of them he blessed and exalted, and some of them he made holy and brought near to himself. Some of them he cursed and brought low, and overthrew them from their place.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 13] As the clay of the potter in his hand, all his ways are according to his good pleasure, so men are in the hand of him who made them, to render to them according to his judgment.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 14] Good is the opposite of evil, and life is the opposite of death; so the sinner is the opposite of the godly.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 15] Look upon all the works of the Most High like this, they come in pairs, one against another.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 16] I was the last on watch, like one who gleans after the grape gatherers.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 17] By the Lord’s blessing I arrived before them, and filled my winepress like one who gathers grapes.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 18] Consider that I labored not for myself alone, but for all those who seek instruction.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 19] Hear me, you great men of the people, and listen with your ears, you rulers of the congregation.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 20] To son and wife, to brother and friend, don’t give power over yourself while you live, and don’t give your goods to another, lest you regret it and must ask for them.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 21] While you still live and breath is in you, don’t give yourself over to anybody.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 22] For it is better that your children should ask from you than that you should look to the hand of your children.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 23] Excel in all your works. Don’t bring a stain on your honor.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 24] In the day that you end the days of your life, in the time of death, distribute your inheritance.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 25] Fodder, a stick, and burdens are for a donkey. Bread, discipline, and work are for a servant.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 26] Set your slave to work, and you will find rest. Leave his hands idle, and he will seek liberty.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 27] Yoke and whip will bow the neck. For an evil slave there are racks and tortures.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 28] Send him to labor, that he not be idle, for idleness teaches much mischief.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 29] Set him to work, as is fit for him. If he doesn’t obey, make his fetters heavy.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 30] Don’t be excessive toward any. Do nothing unjust.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 31] If you have a slave, treat him like yourself, because you have bought him with blood.
[WEB | EN | OT | Sirach | Chapter 33 | Verse 32] If you have a slave, treat him like yourself. For like your own soul, you will need him. If you treat him ill, and he departs and runs away,
[WEB | EN | OT | Sirach | Chapter 33 | Verse 33] which way will you go to seek him?
